Sample	cutadapt_version	pairs_processed	r1_with_adapters	r2_with_adapters	pairs_too_short	pairs_too_many_N	pairs_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
1AS	4.6	49260255	3892770	3878093	1081686	26	48178543	14778076500	50539884	14311286926	3.1586625904934245
1AW	4.6	64895869	5583004	5541380	1379191	27	63516651	19468760700	56547930	18866423113	3.093867125296784
1BS	4.6	55107846	5332861	5276876	1358328	22	53749496	16532353800	47637260	15939894323	3.5836365720651346
1BW	4.6	56903707	5318089	5252577	1309058	36	55594613	17071112100	53977079	16493153009	3.3855971867234125
1CS	4.6	57573776	4745179	4671126	1220320	32	56353424	17272132800	56695606	16741453224	3.072461184411458
1CW	4.6	50257014	4038157	3975232	923421	23	49333570	15077104200	46976112	14665502990	2.729975229593492
1DS	4.6	50195192	4162557	4104837	986775	37	49208380	15058557600	44750313	14621377206	2.9032023226447663
1DW	4.6	59963812	5248179	5207035	1255042	32	58708738	17989143600	53202623	17435894492	3.075461068641422
2AS	4.6	56459948	4219375	4179840	908224	36	55551688	16937984400	52159519	16528747220	2.416091373894523
2AW	4.6	60648670	5314767	5261906	1197217	31	59451422	18194601000	53288920	17658346804	2.9473259457572056
2BS	4.6	51335985	4662188	4589366	1215876	16	50120093	15400795500	46515545	14874107611	3.419874570764867
2BW	4.6	44852582	3750575	3694548	878327	29	43974226	13455774600	41194641	13066809641	2.890691696039558
2CS	4.6	55565888	5145693	5116926	1359748	29	54206111	16669766400	51594244	16079688679	3.539807978352954
2CW	4.6	62244800	5232691	5197589	1209049	24	61035727	18673440000	56743167	18134780996	2.88462652837399
2DS	4.6	55538755	5082522	5020584	1326985	30	54211740	16661626500	52670915	16085494607	3.4578370425000227
2DW	4.6	56896224	4924143	4868250	1204912	33	55691279	17068867200	51363109	16540742888	3.094079447756205
3AS	4.6	57175714	4888151	4843718	1182572	30	55993112	17152714200	52066042	16631738201	3.0372802398818024
3AW	4.6	56911890	4704270	4662014	1138309	25	55773556	17073567000	50479604	16573433859	2.9292832657639734
3BS	4.6	54240957	4450981	4406828	1063647	33	53177277	16272287100	49820739	15802948894	2.884279284870779
3BW	4.6	56229134	5028522	4985626	1334035	33	54895066	16868740200	52421761	16291758064	3.4204222079370217
3CS	4.6	58507664	5278380	5214234	1311561	21	57196082	17552299200	53360785	16977175617	3.276628186693627
3CW	4.6	65447659	5562439	5508037	1330429	33	64117197	19634297700	59109096	19047380268	2.9892458643937134
3DS	4.6	57830455	5161276	5110992	1231789	28	56598638	17349136500	50540593	16806103411	3.1300294916695135
3DW	4.6	80895491	7438573	7361089	1961912	49	78933530	24268647300	71020582	23422929617	3.4848159130814023
