Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1AS_R1	1AS_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48178543.0	7.1 Gbp	0.0	50-150	48.0	84.72848557672854	148.52638962120545	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
1AS_R1_001	1AS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49260255.0	7.3 Gbp	0.0	150.0	48.0	84.53739937609856	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	pass
1AS_R2	1AS_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48178543.0	7.1 Gbp	0.0	50-150	49.0	83.68944819565047	148.40436737574234	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
1AS_R2_001	1AS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49260255.0	7.3 Gbp	0.0	150.0	49.0	83.33266737990827	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	pass	fail	pass
1AW_R1	1AW_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63516651.0	9.4 Gbp	0.0	50-150	46.0	84.12665613921504	148.51141625839185	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
1AW_R1_001	1AW_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64895869.0	9.7 Gbp	0.0	150.0	46.0	83.85860179142077	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
1AW_R2	1AW_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63516651.0	9.4 Gbp	0.0	50-150	47.0	83.3354415993928	148.41178740673843	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	fail	pass
1AW_R2_001	1AW_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64895869.0	9.7 Gbp	0.0	150.0	46.0	82.84367680720102	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	fail	pass
1BS_R1	1BS_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53749496.0	7.9 Gbp	0.0	50-150	45.0	84.71544349401042	148.25069542977667	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
1BS_R1_001	1BS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55107846.0	8.2 Gbp	0.0	150.0	45.0	84.441957638303	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
1BS_R2	1BS_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53749496.0	7.9 Gbp	0.0	50-150	45.0	83.83735220579462	148.20613145842336	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	fail	pass
1BS_R2_001	1BS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55107846.0	8.2 Gbp	0.0	150.0	45.0	83.41146453795083	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	fail	pass
1BW_R1	1BW_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55594613.0	8.2 Gbp	0.0	50-150	46.0	83.8985180567029	148.32756164702505	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
1BW_R1_001	1BW_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56903707.0	8.5 Gbp	0.0	150.0	45.0	83.5962900043554	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
1BW_R2	1BW_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55594613.0	8.2 Gbp	0.0	50-150	46.0	83.1205941903075	148.23333269718057	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
1BW_R2_001	1BW_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56903707.0	8.5 Gbp	0.0	150.0	46.0	82.68352599753524	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	fail	pass
1CS_R1	1CS_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56353424.0	8.3 Gbp	0.0	50-150	46.0	85.01547258233435	148.53827204891755	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
1CS_R1_001	1CS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57573776.0	8.6 Gbp	0.0	150.0	46.0	84.75368930057203	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
