Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1AS	3.1586625904934245						
1AS_R1		15.271514423271455	48.0	148.52638962120545	150	9.090909090909092	48178543.0
1AS_R1_001		15.462600623901437	48.0	150.0	150	9.090909090909092	49260255.0
1AS_R2		16.31055180434953	49.0	148.40436737574234	150	18.181818181818183	48178543.0
1AS_R2_001		16.667332620091727	49.0	150.0	150	27.27272727272727	49260255.0
1AW	3.093867125296784						
1AW_R1		15.873343860784956	46.0	148.51141625839185	150	9.090909090909092	63516651.0
1AW_R1_001		16.141398208579233	46.0	150.0	150	9.090909090909092	64895869.0
1AW_R2		16.664558400607206	47.0	148.41178740673843	150	18.181818181818183	63516651.0
1AW_R2_001		17.15632319279898	46.0	150.0	150	18.181818181818183	64895869.0
1BS	3.5836365720651346						
1BS_R1		15.284556505989585	45.0	148.25069542977667	150	9.090909090909092	53749496.0
1BS_R1_001		15.558042361697005	45.0	150.0	150	9.090909090909092	55107846.0
1BS_R2		16.162647794205384	45.0	148.20613145842336	150	18.181818181818183	53749496.0
1BS_R2_001		16.588535462049165	45.0	150.0	150	18.181818181818183	55107846.0
1BW	3.3855971867234125						
1BW_R1		16.101481943297102	46.0	148.32756164702505	150	9.090909090909092	55594613.0
1BW_R1_001		16.403709995644604	45.0	150.0	150	9.090909090909092	56903707.0
1BW_R2		16.8794058096925	46.0	148.23333269718057	150	18.181818181818183	55594613.0
1BW_R2_001		17.31647400246476	46.0	150.0	150	18.181818181818183	56903707.0
1CS	3.072461184411458						
1CS_R1		14.984527417665646	46.0	148.53827204891755	150	9.090909090909092	56353424.0
1CS_R1_001		15.246310699427966	46.0	150.0	150	9.090909090909092	57573776.0
1CS_R2		15.915160506699479	47.0	148.41864231710215	150	18.181818181818183	56353424.0
1CS_R2_001		16.361247550395944	47.0	150.0	150	18.181818181818183	57573776.0
1CW	2.729975229593492						
1CW_R1		15.711820756723199	47.0	148.62863532884404	150	9.090909090909092	49333570.0
1CW_R1_001		15.949889113758346	47.0	150.0	150	9.090909090909092	50257014.0
1CW_R2		16.512035463242768	48.0	148.5305098941755	150	18.181818181818183	49333570.0
1CW_R2_001		16.960658377056163	48.0	150.0	150	18.181818181818183	50257014.0
1DS	2.9032023226447663						
1DS_R1		14.247564087335633	47.0	148.54865752540522	150	9.090909090909092	49208380.0
1DS_R1_001		14.483016823809976	47.0	150.0	150	9.090909090909092	50195192.0
1DS_R2		15.091235089342462	48.0	148.46578749391873	150	18.181818181818183	49208380.0
1DS_R2_001		15.540782322377126	48.0	150.0	150	18.181818181818183	50195192.0
1DW	3.075461068641422						
1DW_R1		16.628828143124508	46.0	148.47348130699046	150	9.090909090909092	58708738.0
1DW_R1_001		16.946012294228268	46.0	150.0	150	9.090909090909092	59963812.0
1DW_R2		17.591795759358448	47.0	148.40978804552057	150	18.181818181818183	58708738.0
