Sample	Total_Reads	Unique_Mapped	Unique_Pct	Multi_Pct	Unmapped_Pct
2CS	54206111	38212440	70.49%	17.36%	11.88%
2DS	54211740	37974465	70.05%	17.72%	11.94%
1CW	49333570	31072777	62.99%	22.27%	14.51%
1BW	55594613	39031268	70.21%	17.67%	11.88%
1CS	56353424	38393327	68.13%	18.55%	13.08%
3CW	64117197	42940195	66.97%	20.19%	12.60%
3DW	78933530	57176712	72.44%	16.01%	11.30%
3BW	54895066	38463292	70.07%	17.42%	12.23%
3CS	57196082	39106674	68.37%	18.88%	12.52%
2DW	55691279	37511602	67.36%	19.53%	12.88%
2BS	50120093	35505695	70.84%	17.29%	11.60%
2BW	43974226	28703849	65.27%	20.81%	13.71%
3AS	55993112	36494200	65.18%	21.49%	13.07%
1DS	49208380	30867864	62.73%	22.47%	14.57%
2AS	55551688	39848550	71.73%	12.89%	14.64%
1DW	58708738	39011882	66.45%	19.91%	13.40%
