Sample	Assigned	MultiMapping	NoFeatures	Ambiguous	Total	Assign_Rate	Multi_Rate
Chr	2189727	0	53314497	199035	63377100	3.5%	0.0%
Start	15098731	0	56942092	1429153	81264727	18.6%	0.0%
End	4278202	0	56548943	389991	67303082	6.4%	0.0%
Strand	9011	0	62896522	1668	69644440	0.0%	0.0%
Length	10267	0	63518735	1933	71038437	0.0%	0.0%
1AS	12444	0	56649994	2259	63937622	0.0%	0.0%
1AW	12884	0	56442953	2303	63739558	0.0%	0.0%
1BS	13353	0	66790312	2477	74814557	0.0%	0.0%
1BW	33889343	0	30897304	3179698	76508973	44.3%	0.0%
1CS	14079	0	67882975	2622	76138983	0.0%	0.0%
1CW	8142	0	56855697	1523	62811658	0.0%	0.0%
1DS	9839	0	50188246	1903	56321189	0.0%	0.0%
1DW	9505	0	61521221	1640	68116225	0.0%	0.0%
2AS	19118325	0	52063167	1977294	81222990	23.5%	0.0%
2AW	9070	0	61624002	1743	68264264	0.0%	0.0%
2BS	12072	0	63514420	2244	70830930	0.0%	0.0%
2BW	13935	0	64770552	2611	72250411	0.0%	0.0%
2CS	12033	0	63564773	2021	71178808	0.0%	0.0%
2CW	14072	0	61207943	2465	68607440	0.0%	0.0%
2DS	12565	0	62048703	1913	68931627	0.0%	0.0%
2DW	11191	0	65123898	2057	72430212	0.0%	0.0%
3AS	14595	0	73300638	2667	81546812	0.0%	0.0%
3AW	316988	0	65111020	31320	72528540	0.4%	0.0%
3BS	11637	0	88528257	2187	97662246	0.0%	0.0%
