Geneid	1AS	1AW	1BS	1BW	1CS	1CW	1DS	1DW	2AS	2AW	2BS	2BW	2CS	2CW	2DS	2DW	3AS	3AW	3BS	3BW	3CS	3CW	3DS	3DW
evm.model.scf7180000353723.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353723.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353723.4	22	127	53	0	0	0	0	0	421	0	0	0	0	214	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000353723.2	0	1	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354189.2	3	16	3	0	0	0	0	0	17	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000354189.4	33	128	36	0	0	0	0	0	355	0	0	0	0	91	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000354189.1	151	522	163	0	0	0	0	0	1127	0	0	0	0	538	0	0	0	0	0	1	0	0	5	0
evm.model.scf7180000356559.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356559.3	26	247	71	0	0	0	0	0	442	0	0	0	0	267	0	0	0	0	0	0	0	0	7	0
evm.model.scf7180000356559.2	16	142	48	0	0	0	0	0	430	0	0	0	0	138	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000357315.6	2	13	5	0	0	0	0	0	24	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000357315.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000357315.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000357315.7	2	5	4	0	0	0	0	0	39	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000357315.3	7	34	15	0	0	0	0	0	102	0	0	0	0	69	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000353551.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.7	54	226	106	0	0	0	0	0	638	0	0	0	0	318	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000356423.3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.1	1	7	3	0	0	0	0	0	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.2	42	324	140	0	0	0	0	0	906	0	0	0	0	398	0	0	0	0	0	1	0	0	4	0
evm.model.scf7180000356423.10	172	1347	382	0	0	0	0	0	3107	0	0	0	0	1626	0	0	0	0	0	0	0	0	23	0
evm.model.scf7180000356423.9	81	554	210	0	0	0	0	0	1688	0	0	0	0	552	0	0	0	0	0	1	0	0	7	0
evm.model.scf7180000356423.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.11	29	351	92	0	0	0	0	0	633	0	0	0	0	438	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000356423.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.12	0	22	8	0	0	0	0	0	60	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000351626.2	26	177	45	0	0	0	0	0	387	0	0	0	0	236	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000351626.1	9	41	9	0	0	0	0	0	81	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354860.6	40	197	85	0	0	0	0	0	459	0	0	0	0	121	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000354860.5	12	130	39	0	0	0	0	0	309	0	0	0	0	87	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000354860.2	46	184	64	0	0	0	0	0	533	0	0	0	0	303	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000354860.4	49	161	80	0	0	0	0	0	455	0	0	0	0	166	0	0	0	0	0	0	0	0	10	0
evm.model.scf7180000354860.3	25	269	86	0	0	0	0	0	470	0	0	0	0	286	0	0	0	0	0	0	0	0	14	0
evm.model.scf7180000354860.1	14	61	32	0	0	0	0	0	181	0	0	0	0	73	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000354956.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354956.4	3	5	1	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354956.1	2	13	2	0	0	0	0	0	34	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354956.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345974.1	3	38	20	0	0	0	0	0	89	0	0	0	0	38	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000345489.1	1	26	6	0	0	0	0	0	38	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345489.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345489.7	19	96	15	0	0	0	0	0	172	0	0	0	0	109	0	0	0	0	0	0	0	0	8	0
evm.model.scf7180000345489.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345489.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345489.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345489.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000350470.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000350470.1	76	495	164	0	0	0	0	0	1293	0	0	0	0	790	0	0	0	0	0	0	0	0	12	0
evm.model.scf7180000355705.6	28	164	47	0	0	0	0	0	279	0	0	0	0	131	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000355705.1	85	732	168	0	0	0	0	0	1245	0	0	0	2	1093	0	0	0	0	0	0	0	0	15	0
evm.model.scf7180000355705.8	65	355	145	0	0	0	0	0	779	0	0	0	1	338	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000355705.7	20	177	55	0	0	0	0	0	467	0	0	0	0	296	0	0	0	0	0	0	0	0	3	0
