Sample	Assigned	MultiMapping	NoFeatures	Ambiguous	Total	Assign_Rate	Multi_Rate
Chr	16792665	0	36185365	2725229	63377100	26.5%	0.0%
Start	4885991	0	67809309	774676	81264727	6.0%	0.0%
End	7004048	0	53081768	1131320	67303082	10.4%	0.0%
Strand	12044126	0	48905411	1957664	69644440	17.3%	0.0%
Length	14034228	0	47224897	2271810	71038437	19.8%	0.0%
1AS	16314767	0	37798684	2551246	63937622	25.5%	0.0%
1AW	16627191	0	37124105	2706844	63739558	26.1%	0.0%
1BS	15907789	0	48358363	2539990	74814557	21.3%	0.0%
1BW	2899	0	67962820	626	76508973	0.0%	0.0%
1CS	18342234	0	46585699	2971743	76138983	24.1%	0.0%
1CW	10707430	0	44435413	1722519	62811658	17.0%	0.0%
1DS	12733859	0	35431126	2035003	56321189	22.6%	0.0%
1DW	11623460	0	48032135	1876771	68116225	17.1%	0.0%
2AS	6086565	0	66142767	929454	81222990	7.5%	0.0%
2AW	11723716	0	48007454	1903645	68264264	17.2%	0.0%
2BS	14586708	0	46627081	2314947	70830930	20.6%	0.0%
2BW	17191138	0	44844946	2751014	72250411	23.8%	0.0%
2CS	16403053	0	44511128	2664646	71178808	23.0%	0.0%
2CW	17649368	0	40747390	2827722	68607440	25.7%	0.0%
2DS	11899410	0	48238384	1925387	68931627	17.3%	0.0%
2DW	14302558	0	48549844	2284744	72430212	19.7%	0.0%
3AS	18142147	0	52396264	2779489	81546812	22.2%	0.0%
3AW	14407041	0	48729674	2322613	72528540	19.9%	0.0%
3BS	14279626	0	72016597	2245858	97662246	14.6%	0.0%
