Sample	Assigned	MultiMapping	NoFeatures	Ambiguous	Total	Assign_Rate	Multi_Rate
Chr	9783195	26316841	19536854	66369	63377100	15.4%	41.5%
Start	20509953	26277964	26534089	147970	81264727	25.2%	32.3%
End	18988540	21382465	20723510	122621	67303082	28.2%	31.8%
Strand	19508895	23856828	19402562	138916	69644440	28.0%	34.3%
Length	18816779	25118043	19447588	148525	71038437	26.5%	35.4%
1AS	13125584	25576863	17871515	90735	63937622	20.5%	40.0%
1AW	11369030	25575830	19435859	77421	63739558	17.8%	40.1%
1BS	18084756	27776246	20822698	122442	74814557	24.2%	37.1%
1BW	8645223	28104209	31159292	57621	76508973	11.3%	36.7%
1CS	16034970	29389206	22365272	110228	76138983	21.1%	38.6%
1CW	17245880	21342688	18153626	123168	62811658	27.5%	34.0%
1DS	12835965	21482658	15790252	91113	56321189	22.8%	38.1%
1DW	17810324	23301357	20299029	121656	68116225	26.1%	34.2%
2AS	16457147	29433238	27156408	111993	81222990	20.3%	36.2%
2AW	18521809	23640835	19345336	126835	68264264	27.1%	34.6%
2BS	17292065	25999968	20117632	119071	70830930	24.4%	36.7%
2BW	15431640	28276384	20969921	109153	72250411	21.4%	39.1%
2CS	16161586	26930632	20364003	122606	71178808	22.7%	37.8%
2CW	13694205	27185988	20249416	94871	68607440	20.0%	39.6%
2DS	18624606	23581611	19731867	125097	68931627	27.0%	34.2%
2DW	17838317	26012396	21167859	118574	72430212	24.6%	35.9%
3AS	20036248	30358143	22786106	137403	81546812	24.6%	37.2%
3AW	18150755	26967880	20209232	131461	72528540	25.0%	37.2%
3BS	30157556	31338199	26828090	218236	97662246	30.9%	32.1%
