Sample	Assigned	NoFeatures	Ambiguous	Unmapped	Rate
1AS	31148831	21306639	3247789	7673841	49.1%
1AW	45335945	25223762	2910269	7794751	55.8%
1BS	34645649	24427279	2144208	6085946	51.5%
1BW	36206909	24106263	2594029	6737239	52.0%
1CS	37020783	23584788	2925364	7507502	52.1%
1CW	32368661	21309434	2986602	7272925	50.6%
1DS	30618218	22773030	3066892	7281418	48.0%
1DW	38035924	25645097	3125121	8008415	50.8%
2AS	44631300	19842296	3492749	8542628	58.3%
2AW	38049781	26361815	3488080	8239307	50.0%
2BS	31947007	22588136	2330219	5946296	50.9%
2BW	28605974	19129262	2464752	6121201	50.8%
2CS	33497267	25564737	2470362	6583859	49.2%
2CW	45627254	24065449	3466083	8064204	56.2%
2DS	34723505	24380928	2530382	6629449	50.9%
2DW	35901420	24776177	2851139	7302194	50.7%
3AS	36198770	25337564	3250764	7463313	50.1%
3AW	36334992	24029361	3214474	7599981	51.0%
3BS	34470100	23469047	3285333	7382960	50.2%
3BW	34831546	24693139	2538496	6868446	50.5%
3CS	36274411	25959223	2903512	7293066	50.1%
3CW	42849489	27022045	3446366	8228912	52.5%
3DS	37089706	25394063	2975559	7069212	51.1%
3DW	51244118	34066965	3230998	9120165	52.5%
