Geneid	1AS	1AW	1BS	1BW	1CS	1CW	1DS	1DW	2AS	2AW	2BS	2BW	2CS	2CW	2DS	2DW	3AS	3AW	3BS	3BW	3CS	3CW	3DS	3DW
evm.model.scf7180000353723.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353723.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000353723.4	21	118	51	0	0	0	0	0	405	0	0	0	0	209	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000353723.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354189.2	3	15	3	0	0	0	0	0	16	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000354189.4	32	125	34	0	0	0	0	0	332	0	0	0	0	87	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000354189.1	139	485	148	0	0	0	0	0	1073	0	0	0	0	519	0	0	0	0	0	1	0	0	5	0
evm.model.scf7180000356559.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356559.3	25	239	71	0	0	0	0	0	429	0	0	0	0	254	0	0	0	0	0	0	0	0	7	0
evm.model.scf7180000356559.2	13	130	47	0	0	0	0	0	397	0	0	0	0	125	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000357315.6	1	7	3	0	0	0	0	0	11	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000357315.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000357315.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000357315.7	2	5	4	0	0	0	0	0	36	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000357315.3	7	32	11	0	0	0	0	0	95	0	0	0	0	66	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000353551.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.7	52	214	105	0	0	0	0	0	615	0	0	0	0	307	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000356423.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.1	1	3	3	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.2	40	308	130	0	0	0	0	0	835	0	0	0	0	379	0	0	0	0	0	1	0	0	4	0
evm.model.scf7180000356423.10	80	634	184	0	0	0	0	0	1465	0	0	0	0	764	0	0	0	0	0	0	0	0	11	0
evm.model.scf7180000356423.9	79	527	203	0	0	0	0	0	1628	0	0	0	0	539	0	0	0	0	0	1	0	0	7	0
evm.model.scf7180000356423.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.11	16	174	47	0	0	0	0	0	324	0	0	0	0	228	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000356423.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356423.12	0	19	8	0	0	0	0	0	49	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000351626.2	26	177	45	0	0	0	0	0	387	0	0	0	0	236	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000351626.1	9	37	9	0	0	0	0	0	76	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354860.6	37	184	74	0	0	0	0	0	426	0	0	0	0	113	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000354860.5	11	129	39	0	0	0	0	0	303	0	0	0	0	85	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000354860.2	32	114	36	0	0	0	0	0	326	0	0	0	0	184	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000354860.4	47	151	79	0	0	0	0	0	433	0	0	0	0	165	0	0	0	0	0	0	0	0	8	0
evm.model.scf7180000354860.3	24	251	77	0	0	0	0	0	441	0	0	0	0	278	0	0	0	0	0	0	0	0	14	0
evm.model.scf7180000354860.1	14	59	29	0	0	0	0	0	175	0	0	0	0	70	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000354956.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354956.4	2	4	1	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354956.1	2	13	2	0	0	0	0	0	34	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354956.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345974.1	3	38	17	0	0	0	0	0	87	0	0	0	0	38	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000345489.1	1	10	3	0	0	0	0	0	16	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345489.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345489.7	16	88	11	0	0	0	0	0	154	0	0	0	0	107	0	0	0	0	0	0	0	0	8	0
evm.model.scf7180000345489.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345489.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345489.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345489.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000350470.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000350470.1	75	457	145	0	0	0	0	0	1176	0	0	0	0	720	0	0	0	0	0	0	0	0	12	0
evm.model.scf7180000355705.6	22	146	45	0	0	0	0	0	263	0	0	0	0	122	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000355705.1	79	706	165	0	0	0	0	0	1213	0	0	0	2	1060	0	0	0	0	0	0	0	0	14	0
evm.model.scf7180000355705.8	39	256	124	0	0	0	0	0	576	0	0	0	1	256	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000355705.7	10	84	25	0	0	0	0	0	219	0	0	0	0	138	0	0	0	0	0	0	0	0	2	0
