Sample	Mcap_Assigned	Cgor_Assigned	Dtre_Assigned	Total	Pct_Mcap	Pct_Cgor	Pct_Dtre
1AS	9783195	2189727	16792665	28765587	34.0	7.6	58.4
1AW	20509953	15098731	4885991	40494675	50.6	37.3	12.1
1BS	18988540	4278202	7004048	30270790	62.7	14.1	23.1
1BW	19508895	9011	12044126	31562032	61.8	0.0	38.2
1CS	18816779	10267	14034228	32861274	57.3	0.0	42.7
1CW	13125584	12444	16314767	29452795	44.6	0.0	55.4
1DS	11369030	12884	16627191	28009105	40.6	0.0	59.4
1DW	18084756	13353	15907789	34005898	53.2	0.0	46.8
2AS	8645223	33889343	2899	42537465	20.3	79.7	0.0
2AW	16034970	14079	18342234	34391283	46.6	0.0	53.3
2BS	17245880	8142	10707430	27961452	61.7	0.0	38.3
2BW	12835965	9839	12733859	25579663	50.2	0.0	49.8
2CS	17810324	9505	11623460	29443289	60.5	0.0	39.5
2CW	16457147	19118325	6086565	41662037	39.5	45.9	14.6
2DS	18521809	9070	11723716	30254595	61.2	0.0	38.8
2DW	17292065	12072	14586708	31890845	54.2	0.0	45.7
3AS	15431640	13935	17191138	32636713	47.3	0.0	52.7
3AW	16161586	12033	16403053	32576672	49.6	0.0	50.4
3BS	13694205	14072	17649368	31357645	43.7	0.0	56.3
3BW	18624606	12565	11899410	30536581	61.0	0.0	39.0
3CS	17838317	11191	14302558	32152066	55.5	0.0	44.5
3CW	20036248	14595	18142147	38192990	52.5	0.0	47.5
3DS	18150755	316988	14407041	32874784	55.2	1.0	43.8
3DW	30157556	11637	14279626	44448819	67.8	0.0	32.1
