,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___RNAseq.g30977.t1,1336.48442260589,-2.97423953733604,0.145903692181474,-20.3849504619575,2.27446637840932e-92,5.25515456731473e-88
Montipora_capitata_HIv3___RNAseq.g6908.t1,358.907240397563,5.34834025207047,0.286629652574964,18.6594101622884,1.05893599572126e-77,1.22333580905699e-73
Montipora_capitata_HIv3___RNAseq.g36752.t1,413.437572775621,7.32631275768002,0.517662731366153,14.1526756974474,1.79784317149968e-45,1.38463888258334e-41
Montipora_capitata_HIv3___RNAseq.g26860.t1,241.990751339071,5.46786786389541,0.394866575186308,13.8473808812902,1.31935645469846e-43,7.62093272145196e-40
Montipora_capitata_HIv3___RNAseq.g40729.t1,1056.75534591014,-8.50388485259662,0.643633065072429,-13.2123181888421,7.44943442043029e-40,3.44238364568083e-36
Montipora_capitata_HIv3___TS.g6600.t1,1365.516326011,5.49043221311519,0.448712561199613,12.2359672714237,1.99711444173811e-34,7.6905548627265e-31
Montipora_capitata_HIv3___TS.g33283.t2,117.976403437298,-4.48920684400706,0.372452984052999,-12.0530833050548,1.86828115609273e-33,6.16666230164606e-30
Montipora_capitata_HIv3___RNAseq.g40984.t1,295.916796074927,7.62901041340517,0.645526814211552,11.8182703575579,3.14084545999617e-32,9.07115429415145e-29
Montipora_capitata_HIv3___TS.g7286.t1,378.645410909642,3.465109294546,0.294526295532553,11.7650252188196,5.91086812865903e-32,1.51745120125185e-28
Montipora_capitata_HIv3___TS.g41491.t1b,237.016324356547,-7.24043514868599,0.633255401382801,-11.4336729428213,2.83843207590661e-30,6.55819731138221e-27
Montipora_capitata_HIv3___RNAseq.g1704.t1,182.655741444967,-7.58154019741399,0.675087702636901,-11.2304522327994,2.88995579537309e-29,6.07022078655412e-26
Montipora_capitata_HIv3___TS.g21513.t2,795.569582018906,-13.1474921218564,1.22355742335192,-10.7453004419188,6.2358565813838e-27,1.20066221927394e-23
Montipora_capitata_HIv3___RNAseq.g41101.t1,173.576012782194,-3.29452324247476,0.324017064782021,-10.1677460867412,2.76226436367123e-24,4.90939370174029e-21
Montipora_capitata_HIv3___RNAseq.g44498.t1,267.395055981372,-5.0569474524678,0.507460498331304,-9.96520412740834,2.16428810756661e-23,3.57184833752332e-20
Montipora_capitata_HIv3___RNAseq.g44557.t1,224.657613933645,8.40108916286951,0.845677363275965,9.93415400209552,2.95675064012516e-23,4.55438156933945e-20
Montipora_capitata_HIv3___RNAseq.g46243.t1,607.867300860737,2.21188018993052,0.223271416084204,9.90668769304683,3.89340196240733e-23,5.62231577133883e-20
Montipora_capitata_HIv3___RNAseq.g36544.t1,1755.28467816599,14.1782787120651,1.44023626898071,9.84441165483179,7.24619408505942e-23,9.84843025501752e-20
Montipora_capitata_HIv3___RNAseq.g26930.t1,314.39920556758,11.696547723811,1.21680589742324,9.61250085044794,7.08079198592086e-22,9.08898326859452e-19
Montipora_capitata_HIv3___RNAseq.53422_t,797.66870645387,6.54247502663422,0.681746673856955,9.59663651840122,8.25957858948141e-22,1.0044082279472e-18
Montipora_capitata_HIv3___RNAseq.g36837.t1,134.351927611644,3.57287284741931,0.374308875975473,9.54525280253686,1.35776045586367e-21,1.56855276663651e-18
Montipora_capitata_HIv3___RNAseq.g19177.t1,9860.89714832082,-5.02006984290795,0.529777443306837,-9.47580895776346,2.64701627288395e-21,2.91234814214207e-18
Montipora_capitata_HIv3___TS.g20609.t1,102.291138150364,-5.75294012614122,0.609967254462793,-9.43155568442427,4.04051110513922e-21,4.24345495837462e-18
Montipora_capitata_HIv3___TS.g15339.t1,126.129830834215,7.55009142778526,0.811790355264909,9.30054339623369,1.39729714711431e-20,1.40367611235113e-17
Montipora_capitata_HIv3___RNAseq.g8070.t1,798.302022671064,7.04658282677647,0.77755067679064,9.06253834909052,1.27449463375896e-19,1.22696660470837e-16
Montipora_capitata_HIv3___RNAseq.g11520.t1,3102.67522255122,1.94181561301108,0.217237208047804,8.93868794605286,3.93818219655494e-19,3.63966798605608e-16
Montipora_capitata_HIv3___TS.g46936.t1,346.995125812761,-10.1136801849228,1.1492265166032,-8.80042362302612,1.36300654490377e-18,1.2112410084616e-15
Montipora_capitata_HIv3___RNAseq.g16339.t1,1121.87934819986,-2.43459037429553,0.277613781283316,-8.76970286936487,1.79138381079999e-18,1.53296010920495e-15
Montipora_capitata_HIv3___RNAseq.g29851.t1,167.643915930961,4.44473914134778,0.512943445161771,8.66516412924627,4.50862990603889e-18,3.7204247849653e-15
Montipora_capitata_HIv3___RNAseq.g6978.t1,89.9168534751296,-3.7982797464664,0.439834086434078,-8.63571029080686,5.83632511963586e-18,4.64994109962712e-15
Montipora_capitata_HIv3___RNAseq.g49577.t1,652.406078721448,12.7504899151756,1.47985547977066,8.61603723435993,6.93112262292706e-18,5.33811960675766e-15
Montipora_capitata_HIv3___TS.g13101.t1,141.84246103129,5.02114248908709,0.584587764241978,8.58920216299411,8.75753090215313e-18,6.38242209786223e-15
Montipora_capitata_HIv3___RNAseq.g46769.t1,88.184853067096,-4.41612176098603,0.514212196861742,-8.58813110217496,8.83953720543567e-18,6.38242209786223e-15
Montipora_capitata_HIv3___RNAseq.g1705.t1,102.715708769822,-7.76587615196114,0.904945593656538,-8.58159452501692,9.356695309388e-18,6.55110439767908e-15
Montipora_capitata_HIv3___RNAseq.g4159.t1,144.712317104018,-5.73252060681227,0.673282683039998,-8.51428493738894,1.67621395856283e-17,1.1065406717884e-14
