"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Montipora_capitata_HIv3___RNAseq.g4804.t1",1920.90420774703,-5.56245964019317,0.366864365534403,-15.1621693540349,6.29551008356889e-52,1.41340496886205e-47
"Montipora_capitata_HIv3___RNAseq.g28349.t1",1525.15037863657,-10.4393950844833,0.710398726398154,-14.6951207773314,6.92748619168387e-49,7.77644962447473e-45
"Montipora_capitata_HIv3___TS.g24801.t1",553.983453520305,-10.5816448633233,1.05772452083649,-10.0041595470954,1.46127173114022e-23,1.09356705452764e-19
"Montipora_capitata_HIv3___RNAseq.g31228.t1",460.615780734812,3.23976820081989,0.333151128002764,9.72462023539362,2.36787300537531e-22,1.32902792109203e-18
"Montipora_capitata_HIv3___RNAseq.g11431.t1",77.6405133182823,5.15932944489697,0.535335104368794,9.63756981896463,5.54859593174832e-22,2.49143054527363e-18
"Montipora_capitata_HIv3___RNAseq.g28331.t1",570.646455659025,-12.4484411901794,1.37559823974234,-9.04947449809988,1.436580169135e-19,5.37544356287497e-16
"Montipora_capitata_HIv3___RNAseq.g28340.t1",242.014656162602,-9.39113158422379,1.10219348681114,-8.52040199529229,1.590004650332e-17,5.02125088616817e-14
"Montipora_capitata_HIv3___RNAseq.g33294.t1",299.04348184545,2.3092686874645,0.271464054698837,8.50671994134329,1.78923019417155e-17,5.02125088616817e-14
"Montipora_capitata_HIv3___RNAseq.g40524.t1",176.469520432201,9.25253284481508,1.10351507027076,8.38460035035579,5.08983838404704e-17,1.26968846178045e-13
"Montipora_capitata_HIv3___RNAseq.g47555.t1",116.154129917723,3.82260761377671,0.462370627603933,8.26741013715766,1.36900359062737e-16,3.07354996131752e-13
"Montipora_capitata_HIv3___RNAseq.g39503.t1",1248.39422820713,-3.15730667537978,0.391387763854625,-8.06695294785074,7.20743093103306e-16,1.34845026527186e-12
"Montipora_capitata_HIv3___RNAseq.g28350.t1",327.808610708993,-9.83812764233102,1.21902280710518,-8.07050334496501,7.00089460413594e-16,1.34845026527186e-12
"Montipora_capitata_HIv3___RNAseq.g28347.t1",135.638595746466,-10.3756092063036,1.30492706297355,-7.95110278628183,1.84858486479372e-15,3.19250606149876e-12
"Montipora_capitata_HIv3___RNAseq.g702.t1",145.726459592937,10.8178811645722,1.36597757211164,7.9195159462604,2.38436987408962e-15,3.82367771737043e-12
"Montipora_capitata_HIv3___TS.g47006.t1",504.617072795492,1.56573561216994,0.202906555020032,7.71653538751056,1.19534400394507e-14,1.78911121550472e-11
"Montipora_capitata_HIv3___RNAseq.g28345.t1",107.946748543134,-10.0460958241132,1.32224356808778,-7.59776494026877,3.01288947434675e-14,4.22764884928493e-11
"Montipora_capitata_HIv3___RNAseq.g28341.t1",115.244100016079,-10.1408014910801,1.33780412135212,-7.58018407121579,3.45065041616566e-14,4.55709132313737e-11
"Montipora_capitata_HIv3___TS.g42117.t1",2005.87838421858,1.72456662696141,0.237605234410203,7.25811715066893,3.92515540773214e-13,4.89575911438857e-10
"Montipora_capitata_HIv3___TS.g10910.t1",90.3700416586053,-5.42345450078424,0.753363059899554,-7.19899181346555,6.06593925017592e-13,7.16770537398419e-10
"Montipora_capitata_HIv3___RNAseq.g13058.t1",157.871019084633,-2.68889810964999,0.374499580358939,-7.17997629549495,6.97235067133806e-13,7.82681224611054e-10
"Montipora_capitata_HIv3___RNAseq.g50188.t1",92.5458570171303,10.166550987633,1.42512272384941,7.13380736795217,9.76299412043362e-13,1.04375705237074e-09
