ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust,TERM,ONTOLOGY
GO:0005089,GO:0005089,9/164,54/8363,8.596858570655424e-7,10.511539182144778,9,54,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___RNAseq.g23733.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35718.t1/Montipora_capitata_HIv3___RNAseq.g35720.t1,0.0013643214551630157,NA,NA
GO:0035023,regulation of Rho protein signal transduction,9/164,64/8363,3.7645587912691723e-6,8.591242364428092,9,64,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___RNAseq.g23733.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35718.t1/Montipora_capitata_HIv3___RNAseq.g35720.t1,0.0029871774008720883,regulation of Rho protein signal transduction,BP
GO:0017048,GO:0017048,10/164,92/8363,1.1554169141451865e-5,6.424119801424181,10,92,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___RNAseq.g23733.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35718.t1/Montipora_capitata_HIv3___RNAseq.g24942.t1/Montipora_capitata_HIv3___RNAseq.g35720.t1,0.006112155475828037,NA,NA
GO:0006766,vitamin metabolic process,10/164,124/8363,1.5267741894950827e-4,4.603585785849614,10,124,Montipora_capitata_HIv3___RNAseq.g36845.t1/Montipora_capitata_HIv3___RNAseq.g40427.t1a/Montipora_capitata_HIv3___RNAseq.g33991.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g33992.t1/Montipora_capitata_HIv3___RNAseq.g46378.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___TS.g6904.t1/Montipora_capitata_HIv3___TS.g33523.t1/Montipora_capitata_HIv3___TS.g21293.t1,0.04470924697792972,vitamin metabolic process,BP
GO:0070229,negative regulation of lymphocyte apoptotic process,4/164,16/8363,2.1584128094871748e-4,17.03341874595759,4,16,Montipora_capitata_HIv3___RNAseq.g36907.t1/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g43161.t1a/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.04470924697792972,negative regulation of lymphocyte apoptotic process,BP
GO:0002724,regulation of T cell cytokine production,4/164,16/8363,2.1584128094871748e-4,17.03341874595759,4,16,Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g35008.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.04470924697792972,regulation of T cell cytokine production,BP
GO:0007596,blood coagulation,10/164,130/8363,2.2537742647979695e-4,4.370108960677298,10,130,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35720.t1/Montipora_capitata_HIv3___RNAseq.g42740.t1/Montipora_capitata_HIv3___RNAseq.g39974.t1/Montipora_capitata_HIv3___RNAseq.g44445.t1,0.04470924697792972,blood coagulation,BP
GO:0050817,coagulation,10/164,130/8363,2.2537742647979695e-4,4.370108960677298,10,130,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35720.t1/Montipora_capitata_HIv3___RNAseq.g42740.t1/Montipora_capitata_HIv3___RNAseq.g39974.t1/Montipora_capitata_HIv3___RNAseq.g44445.t1,0.04470924697792972,coagulation,BP
GO:0007599,hemostasis,10/164,132/8363,2.552911948570108e-4,4.296977569848671,10,132,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35720.t1/Montipora_capitata_HIv3___RNAseq.g42740.t1/Montipora_capitata_HIv3___RNAseq.g39974.t1/Montipora_capitata_HIv3___RNAseq.g44445.t1,0.045016347359786234,hemostasis,BP
GO:0070233,negative regulation of T cell apoptotic process,3/164,8/8363,3.857157558663183e-4,30.48995298481993,3,8,Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g43161.t1a/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.05359493351615713,negative regulation of T cell apoptotic process,BP
GO:0005088,GO:0005088,10/164,139/8363,3.875066900686998e-4,4.060873273781441,10,139,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___RNAseq.g23733.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35718.t1/Montipora_capitata_HIv3___RNAseq.g35720.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1,0.05359493351615713,NA,NA
GO:0009110,vitamin biosynthetic process,5/164,33/8363,4.1517356353014916e-4,9.168786845727007,5,33,Montipora_capitata_HIv3___RNAseq.g36845.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g46378.t1/Montipora_capitata_HIv3___TS.g6904.t1/Montipora_capitata_HIv3___TS.g21293.t1,0.05359493351615713,vitamin biosynthetic process,BP
GO:2000107,negative regulation of leukocyte apoptotic process,4/164,19/8363,4.390259204222071e-4,13.62885887409821,4,19,Montipora_capitata_HIv3___RNAseq.g36907.t1/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g43161.t1a/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.05359493351615713,negative regulation of leukocyte apoptotic process,BP
