ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust,TERM,ONTOLOGY
GO:1903409,reactive oxygen species biosynthetic process,3/79,18/8363,5.977479551673803e-4,21.72000207610883,3,18,Montipora_capitata_HIv3___RNAseq.g44519.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1/Montipora_capitata_HIv3___RNAseq.g37450.t2,0.2788274762272938,reactive oxygen species biosynthetic process,BP
GO:0017171,serine hydrolase activity,5/79,74/8363,6.409827039707904e-4,8.038439337469168,5,74,Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g20771.t1/Montipora_capitata_HIv3___RNAseq.g20807.t2/Montipora_capitata_HIv3___RNAseq.g14625.t1/Montipora_capitata_HIv3___RNAseq.g39706.t2,0.2788274762272938,serine hydrolase activity,MF
GO:0004623,phospholipase A2 activity,3/79,24/8363,0.0014233992626408118,15.510352145082612,3,24,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g44719.t1,0.355301078542832,phospholipase A2 activity,MF
GO:0006892,post-Golgi vesicle-mediated transport,5/79,91/8363,0.001633568177208423,6.4370555436030354,5,91,Montipora_capitata_HIv3___RNAseq.g12548.t1/Montipora_capitata_HIv3___RNAseq.g14155.t1/Montipora_capitata_HIv3___RNAseq.g40284.t1/Montipora_capitata_HIv3___RNAseq.g42740.t1/Montipora_capitata_HIv3___TS.g20607.t1,0.355301078542832,post-Golgi vesicle-mediated transport,BP
GO:0060191,regulation of lipase activity,4/79,58/8363,0.0021259020445782,8.122169817819884,4,58,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g13129.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g39706.t2,0.36990695575660676,regulation of lipase activity,BP
GO:0001818,negative regulation of cytokine production,5/79,106/8363,0.0031898439077398333,5.471607137219408,5,106,Montipora_capitata_HIv3___RNAseq.g44519.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g32149.t1/Montipora_capitata_HIv3___RNAseq.g39706.t2/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.41331152854669595,negative regulation of cytokine production,BP
GO:0009110,vitamin biosynthetic process,3/79,33/8363,0.0036099378236282274,10.847068568299038,3,33,Montipora_capitata_HIv3___RNAseq.g36845.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___TS.g6904.t1,0.41331152854669595,vitamin biosynthetic process,BP
GO:0008236,serine-type peptidase activity,4/79,68/8363,0.003800565779739733,6.844692499588249,4,68,Montipora_capitata_HIv3___RNAseq.g20771.t1/Montipora_capitata_HIv3___RNAseq.g20807.t2/Montipora_capitata_HIv3___RNAseq.g14625.t1/Montipora_capitata_HIv3___RNAseq.g39706.t2,0.41331152854669595,serine-type peptidase activity,MF
GO:0010518,positive regulation of phospholipase activity,3/79,36/8363,0.0046292861745547585,9.863149432039366,3,36,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g13129.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1,0.4152455885421894,positive regulation of phospholipase activity,BP
GO:0006775,fat-soluble vitamin metabolic process,3/79,38/8363,0.005396164568079914,9.295312592596208,3,38,Montipora_capitata_HIv3___RNAseq.g36845.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___TS.g6904.t1,0.4152455885421894,fat-soluble vitamin metabolic process,BP
GO:0043551,regulation of phosphatidylinositol 3-kinase activity,3/79,39/8363,0.005806513595086899,9.035139386784214,3,39,Montipora_capitata_HIv3___RNAseq.g6978.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g15029.t1b,0.4152455885421894,regulation of phosphatidylinositol 3-kinase activity,BP
GO:0045740,positive regulation of DNA replication,3/79,40/8363,0.006235094553485882,8.790976215002397,3,40,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___TS.g47745.t1,0.4152455885421894,positive regulation of DNA replication,BP
GO:0060443,mammary gland morphogenesis,3/79,41/8363,0.006682112919069714,8.558758641193116,3,41,Montipora_capitata_HIv3___RNAseq.g668.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.4152455885421894,mammary gland morphogenesis,BP
GO:0010517,regulation of phospholipase activity,3/79,41/8363,0.006682112919069714,8.558758641193116,3,41,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g13129.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1,0.4152455885421894,regulation of phospholipase activity,BP
GO:0043550,regulation of lipid kinase activity,3/79,43/8363,0.007632231118789544,8.129227756700743,3,43,Montipora_capitata_HIv3___RNAseq.g6978.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g15029.t1b,0.41635589533459383,regulation of lipid kinase activity,BP
GO:0098542,defense response to other organism,7/79,242/8363,0.007690755979933506,3.329084543920535,7,242,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g6978.t1/Montipora_capitata_HIv3___RNAseq.g44519.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g18698.t1/Montipora_capitata_HIv3___RNAseq.g18929.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.41635589533459383,defense response to other organism,BP
GO:0060193,positive regulation of lipase activity,3/79,44/8363,0.008135689908836891,7.930209679386529,3,44,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g13129.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1,0.41635589533459383,positive regulation of lipase activity,BP
GO:0046470,phosphatidylcholine metabolic process,3/79,47/8363,0.009761610389730047,7.387822559715567,3,47,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g44719.t1,0.4718111688369523,phosphatidylcholine metabolic process,BP
GO:0004252,serine-type endopeptidase activity,3/79,54/8363,0.014246339010256655,6.368423104880112,3,54,Montipora_capitata_HIv3___RNAseq.g20807.t2/Montipora_capitata_HIv3___RNAseq.g14625.t1/Montipora_capitata_HIv3___RNAseq.g39706.t2,0.6394420224426682,serine-type endopeptidase activity,MF
GO:0009108,GO:0009108,5/79,154/8363,0.015003858086534151,3.6881770524031205,5,154,Montipora_capitata_HIv3___RNAseq.g36845.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___TS.g6904.t1/Montipora_capitata_HIv3___RNAseq.g14956.t1/Montipora_capitata_HIv3___RNAseq.g37450.t2,0.6394420224426682,NA,NA
