ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust,TERM,ONTOLOGY
GO:0032813,tumor necrosis factor receptor superfamily binding,3/38,33/8282,4.421898385292059e-4,23.40002016089652,3,33,Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1,0.1369511709812459,tumor necrosis factor receptor superfamily binding,MF
GO:1901976,regulation of cell cycle checkpoint,3/38,38/8282,6.729787271805695e-4,20.07286894900848,3,38,Montipora_capitata_HIv3___RNAseq.g20093.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g45083.t2,0.1369511709812459,regulation of cell cycle checkpoint,BP
GO:0016667,"oxidoreductase activity, acting on a sulfur group of donors",3/38,54/8282,0.0018811894598384192,13.755307385004079,3,54,Montipora_capitata_HIv3___TS.g13493.t1/Montipora_capitata_HIv3___RNAseq.g26661.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.2552147033847455,"oxidoreductase activity, acting on a sulfur group of donors",MF
GO:0005126,cytokine receptor binding,3/38,77/8282,0.005159951185569059,9.45523038251888,3,77,Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1,0.48377298297207094,cytokine receptor binding,MF
GO:2001236,regulation of extrinsic apoptotic signaling pathway,3/38,81/8282,0.00594315703896893,8.965401995831463,3,81,Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.48377298297207094,regulation of extrinsic apoptotic signaling pathway,BP
GO:0005739,mitochondrion,11/38,1097/8282,0.008346758074445496,2.684842057726871,11,1097,Montipora_capitata_HIv3___TS.g13493.t1/Montipora_capitata_HIv3___RNAseq.g7598.t1/Montipora_capitata_HIv3___RNAseq.g20093.t1/Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g25137.t1/Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g12097.t1/Montipora_capitata_HIv3___RNAseq.g25143.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g2578.t1,0.5570630720894885,mitochondrion,CC
GO:0007623,circadian rhythm,3/38,122/8282,0.018084263121578462,5.849147243240464,3,122,Montipora_capitata_HIv3___RNAseq.g20093.t1/Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.5570630720894885,circadian rhythm,BP
GO:0097223,GO:0097223,3/38,130/8282,0.021372725835655526,5.476170661098466,3,130,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g34571.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.5570630720894885,NA,NA
GO:0019902,phosphatase binding,3/38,131/8282,0.02180544525985602,5.432128966807997,3,131,Montipora_capitata_HIv3___RNAseq.g20093.t1/Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g13613.t1,0.5570630720894885,phosphatase binding,MF
GO:0048856,anatomical structure development,23/38,3599/8282,0.025248718569741972,2.0014223737455854,23,3599,Montipora_capitata_HIv3___RNAseq.g11431.t1/Montipora_capitata_HIv3___RNAseq.g40524.t1/Montipora_capitata_HIv3___RNAseq.g663.t1/Montipora_capitata_HIv3___RNAseq.g39502.t1/Montipora_capitata_HIv3___RNAseq.g7598.t1/Montipora_capitata_HIv3___RNAseq.g30422.t1/Montipora_capitata_HIv3___RNAseq.g40803.t1/Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___RNAseq.g25137.t1/Montipora_capitata_HIv3___RNAseq.g44775.t1/Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g44252.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___TS.g16805.t1/Montipora_capitata_HIv3___TS.g35289.t2/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g25143.t1/Montipora_capitata_HIv3___RNAseq.g44321.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1/Montipora_capitata_HIv3___RNAseq.g14940.t1,0.5570630720894885,anatomical structure development,BP
