ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust,TERM,ONTOLOGY
GO:2001236,regulation of extrinsic apoptotic signaling pathway,3/12,81/8282,1.8608094237995161e-4,34.905630092400195,3,81,Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.02865646512651255,regulation of extrinsic apoptotic signaling pathway,BP
GO:0022414,reproductive process,7/12,1556/8282,0.002662519089493732,6.072635120174505,7,1556,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___RNAseq.g44775.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.16414156200906077,reproductive process,BP
GO:0000003,reproduction,7/12,1604/8282,0.0031975628962804046,5.848096068502822,7,1604,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___RNAseq.g44775.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.16414156200906077,reproduction,BP
GO:2001233,regulation of apoptotic signaling pathway,3/12,255/8282,0.005163518577772485,10.593490612679824,3,255,Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.19879546524424066,regulation of apoptotic signaling pathway,BP
GO:0003006,developmental process involved in reproduction,5/12,1025/8282,0.010763880793813792,5.075465116903229,5,1025,Montipora_capitata_HIv3___RNAseq.g44775.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.2628667551658346,developmental process involved in reproduction,BP
GO:0005102,signaling receptor binding,4/12,668/8282,0.012289169374980565,5.725015757805421,4,668,Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g2578.t1,0.2628667551658346,signaling receptor binding,MF
GO:0071407,cellular response to organic cyclic compound,3/12,356/8282,0.012969680030890107,7.469886786146108,3,356,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.2628667551658346,cellular response to organic cyclic compound,BP
GO:0048608,reproductive structure development,3/12,376/8282,0.015036747422606894,7.053474186834684,3,376,Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.2628667551658346,reproductive structure development,BP
GO:0061458,reproductive system development,3/12,379/8282,0.015362342834366957,6.994639559666597,3,379,Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.2628667551658346,reproductive system development,BP
GO:0048731,system development,8/12,2866/8282,0.023677288106162712,3.78701125100869,8,2866,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___TS.g16805.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.35563026638199385,system development,BP
GO:0048232,male gamete generation,3/12,468/8282,0.026909190111000486,5.59252508034726,3,468,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___RNAseq.g44775.t1,0.35563026638199385,male gamete generation,BP
GO:0048856,anatomical structure development,9/12,3599/8282,0.02771144932846705,3.9102530213366826,9,3599,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___RNAseq.g44775.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___TS.g16805.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.35563026638199385,anatomical structure development,BP
GO:0009605,response to external stimulus,5/12,1374/8282,0.035591125696688444,3.5998626727863505,5,1374,Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___TS.g16805.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.39193098418790456,response to external stimulus,BP
GO:0032502,developmental process,9/12,3744/8282,0.0366293752946098,3.6420384961024395,9,3744,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___RNAseq.g44775.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___TS.g16805.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.39193098418790456,developmental process,BP
GO:0009653,anatomical structure morphogenesis,6/12,1915/8282,0.038175095862458236,3.331460522184101,6,1915,Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.39193098418790456,anatomical structure morphogenesis,BP
GO:0014070,response to organic cyclic compound,3/12,639/8282,0.05951328141743377,4.000324340614171,3,639,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.4945487866959337,response to organic cyclic compound,BP
GO:0007275,multicellular organism development,8/12,3367/8282,0.06287258502718168,2.923708315837329,8,3367,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___TS.g16805.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.4945487866959337,multicellular organism development,BP
GO:0005739,mitochondrion,4/12,1097/8282,0.06313024855232084,3.282499626733271,4,1097,Montipora_capitata_HIv3___TS.g13493.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g2578.t1,0.4945487866959337,mitochondrion,CC
GO:0032501,multicellular organismal process,9/12,4084/8282,0.06642995144010926,3.088106439453707,9,4084,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___RNAseq.g44775.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___TS.g16805.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.4945487866959337,multicellular organismal process,BP
GO:0044459,GO:0044459,4/12,1117/8282,0.06675141166433506,3.214536901217195,4,1117,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___TS.g16805.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.4945487866959337,NA,NA
GO:0009966,regulation of signal transduction,5/12,1655/8282,0.07218673811114598,2.8653190750589643,5,1655,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.4945487866959337,regulation of signal transduction,BP
GO:0007417,central nervous system development,3/12,721/8282,0.07987449972322155,3.50515843618549,3,721,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___TS.g16805.t1,0.4945487866959337,central nervous system development,BP
GO:0002009,morphogenesis of an epithelium,3/12,722/8282,0.08014074311199071,3.4998216661509427,3,722,Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1,0.4945487866959337,morphogenesis of an epithelium,BP
GO:0050790,regulation of catalytic activity,4/12,1195/8282,0.08197689707763946,2.971322653704951,4,1195,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___TS.g16805.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1,0.4945487866959337,regulation of catalytic activity,BP
GO:0007399,nervous system development,5/12,1743/8282,0.08711852599353073,2.684063658009699,5,1743,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___TS.g16805.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.4945487866959337,nervous system development,BP
GO:0048609,multicellular organismal reproductive process,4/12,1221/8282,0.0874396362506196,2.8971810539431457,4,1221,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___RNAseq.g44775.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.4945487866959337,multicellular organismal reproductive process,BP
GO:0032504,multicellular organism reproduction,4/12,1236/8282,0.09067851159353482,2.8558303143812456,4,1236,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___RNAseq.g44775.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.4945487866959337,multicellular organism reproduction,BP
GO:0048729,tissue morphogenesis,3/12,769/8282,0.09312274831008202,3.2647067013765754,3,769,Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1,0.4945487866959337,tissue morphogenesis,BP
GO:0080134,regulation of response to stress,3/12,779/8282,0.096000905313094,3.218356824821239,3,779,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1,0.4945487866959337,regulation of response to stress,BP
GO:0043085,positive regulation of catalytic activity,3/12,786/8282,0.09803927384000673,3.1866158614570046,3,786,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___TS.g16805.t1,0.4945487866959337,positive regulation of catalytic activity,BP
GO:0009968,negative regulation of signal transduction,3/12,803/8282,0.10306963885821512,3.1121132186025826,3,803,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1,0.4945487866959337,negative regulation of signal transduction,BP
