ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust,TERM,ONTOLOGY
GO:0009260,ribonucleotide biosynthetic process,3/26,142/8282,0.009613156850830753,7.612261248380282,3,142,Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g33912.t1/Montipora_capitata_HIv3___RNAseq.g12097.t1,0.8024299597369436,ribonucleotide biosynthetic process,BP
GO:0046390,ribose phosphate biosynthetic process,3/26,146/8282,0.010368511118692003,7.396341903011949,3,146,Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g33912.t1/Montipora_capitata_HIv3___RNAseq.g12097.t1,0.8024299597369436,ribose phosphate biosynthetic process,BP
GO:0042593,glucose homeostasis,3/26,153/8282,0.011772033422488297,7.043308545362164,3,153,Montipora_capitata_HIv3___RNAseq.g20093.t1/Montipora_capitata_HIv3___RNAseq.g25137.t1/Montipora_capitata_HIv3___RNAseq.g25143.t1,0.8024299597369436,glucose homeostasis,BP
GO:0033500,carbohydrate homeostasis,3/26,158/8282,0.012838879355791099,6.812800500076544,3,158,Montipora_capitata_HIv3___RNAseq.g20093.t1/Montipora_capitata_HIv3___RNAseq.g25137.t1/Montipora_capitata_HIv3___RNAseq.g25143.t1,0.8024299597369436,carbohydrate homeostasis,BP
GO:0009165,nucleotide biosynthetic process,3/26,205/8282,0.025559600617894324,5.198134925285956,3,205,Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g33912.t1/Montipora_capitata_HIv3___RNAseq.g12097.t1,0.8593508247228673,nucleotide biosynthetic process,BP
GO:1901293,nucleoside phosphate biosynthetic process,3/26,208/8282,0.026539179803290062,5.120247754911609,3,208,Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g33912.t1/Montipora_capitata_HIv3___RNAseq.g12097.t1,0.8593508247228673,nucleoside phosphate biosynthetic process,BP
GO:0005739,mitochondrion,7/26,1097/8282,0.04749069773133152,2.421762425808259,7,1097,Montipora_capitata_HIv3___RNAseq.g7598.t1/Montipora_capitata_HIv3___RNAseq.g20093.t1/Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g25137.t1/Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g12097.t1/Montipora_capitata_HIv3___RNAseq.g25143.t1,0.8593508247228673,mitochondrion,CC
GO:0050896,response to stimulus,17/26,4004/8282,0.060751457938661275,2.0223073587970024,17,4004,Montipora_capitata_HIv3___RNAseq.g7598.t1/Montipora_capitata_HIv3___RNAseq.g20093.t1/Montipora_capitata_HIv3___RNAseq.g40803.t1/Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g25137.t1/Montipora_capitata_HIv3___TS.g26714.t1/Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g21911.t1/Montipora_capitata_HIv3___RNAseq.g33912.t1/Montipora_capitata_HIv3___RNAseq.g44252.t1/Montipora_capitata_HIv3___RNAseq.g26661.t1/Montipora_capitata_HIv3___RNAseq.g34571.t1/Montipora_capitata_HIv3___RNAseq.g12097.t1/Montipora_capitata_HIv3___TS.g35289.t2/Montipora_capitata_HIv3___RNAseq.g25143.t1/Montipora_capitata_HIv3___RNAseq.g45083.t2/Montipora_capitata_HIv3___RNAseq.g14940.t1,0.8593508247228673,response to stimulus,BP
GO:0048878,chemical homeostasis,5/26,692/8282,0.06075901715580481,2.6227472898771147,5,692,Montipora_capitata_HIv3___RNAseq.g20093.t1/Montipora_capitata_HIv3___RNAseq.g25137.t1/Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g44252.t1/Montipora_capitata_HIv3___RNAseq.g25143.t1,0.8593508247228673,chemical homeostasis,BP
GO:0140110,transcription regulator activity,5/26,718/8282,0.06911877482928978,2.518460899224667,5,718,Montipora_capitata_HIv3___RNAseq.g30422.t1/Montipora_capitata_HIv3___RNAseq.g20093.t1/Montipora_capitata_HIv3___RNAseq.g28405.t2/Montipora_capitata_HIv3___RNAseq.g34571.t1/Montipora_capitata_HIv3___RNAseq.g44321.t1,0.8593508247228673,transcription regulator activity,MF
