ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust
ko00130,ko00130,6/137,22/5653,9.843479966428132e-6,15.717789740436045,6,22,Montipora_capitata_HIv3___RNAseq.g36845.t1/Montipora_capitata_HIv3___TS.g28822.t2/Montipora_capitata_HIv3___TS.g6904.t1/Montipora_capitata_HIv3___RNAseq.g39974.t1/Montipora_capitata_HIv3___RNAseq.g14956.t1/Montipora_capitata_HIv3___RNAseq.g14960.t1,9.252871168442445e-4
ko03018,ko03018,10/137,113/5653,3.730562011533355e-4,4.136028153677305,10,113,Montipora_capitata_HIv3___RNAseq.g42608.t1/Montipora_capitata_HIv3___RNAseq.g29792.t1/Montipora_capitata_HIv3___RNAseq.g34888.t1/Montipora_capitata_HIv3___TS.g45983.t1/Montipora_capitata_HIv3___RNAseq.g18395.t1/Montipora_capitata_HIv3___RNAseq.g47379.t1/Montipora_capitata_HIv3___RNAseq.g10739.t1/Montipora_capitata_HIv3___RNAseq.g4241.t1/Montipora_capitata_HIv3___RNAseq.g18929.t1/Montipora_capitata_HIv3___RNAseq.g5498.t1,0.01753364145420677
ko04120,ko04120,12/137,167/5653,6.707069329729193e-4,3.3191199489625034,12,167,Montipora_capitata_HIv3___TS.g47198.t1/Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g30678.t1b/Montipora_capitata_HIv3___RNAseq.g15186.t1/Montipora_capitata_HIv3___RNAseq.g23247.t1/Montipora_capitata_HIv3___RNAseq.g15188.t1/Montipora_capitata_HIv3___RNAseq.g26644.t1/Montipora_capitata_HIv3___TS.g20607.t1,0.021015483899818135
ko04064,ko04064,8/137,88/5653,0.0012189429427711203,4.211812521638427,8,88,Montipora_capitata_HIv3___TS.g47198.t1/Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.028645159155121325
ko04013,ko04013,11/137,168/5653,0.0023831560747217214,2.978960295033664,11,168,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g6.t1/Montipora_capitata_HIv3___RNAseq.g5395.t1/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g36707.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g35333.t1/Montipora_capitata_HIv3___RNAseq.g24606.t1/Montipora_capitata_HIv3___RNAseq.g28116.t1/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.03564061834604687
ko04657,ko04657,8/137,99/5653,0.002598078099168767,3.6957710203844285,8,99,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g15043.t1/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.03564061834604687
ko04622,ko04622,7/137,78/5653,0.0026540886002375326,4.127415554346154,7,78,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.03564061834604687
ko04620,ko04620,7/137,83/5653,0.003773844469615037,3.8525986534113295,7,83,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.04434267251797669
ko04742,ko04742,6/137,74/5653,0.008719733500611285,3.668288926082682,6,74,Montipora_capitata_HIv3___RNAseq.g2796.t1/Montipora_capitata_HIv3___RNAseq.g47210.t1/Montipora_capitata_HIv3___TS.g4543.t1/Montipora_capitata_HIv3___RNAseq.g47211.t1/Montipora_capitata_HIv3___RNAseq.g50166.t1/Montipora_capitata_HIv3___TS.g4674.t2b,0.08403157416359211
ko04621,ko04621,9/137,148/5653,0.009421290210197017,2.719153123290253,9,148,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g15043.t1/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g26580.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.08403157416359211
ko05160,ko05160,7/137,99/5653,0.009833482082973546,3.173422103066936,7,99,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.08403157416359211
ko05140,ko05140,5/137,57/5653,0.011856569504570898,3.978312135171945,5,57,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.0918608681994792
ko05032,ko05032,7/137,104/5653,0.01270416262333223,3.0071496027062916,7,104,Montipora_capitata_HIv3___RNAseq.g2796.t1/Montipora_capitata_HIv3___RNAseq.g47210.t1/Montipora_capitata_HIv3___TS.g4543.t1/Montipora_capitata_HIv3___RNAseq.g47211.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1/Montipora_capitata_HIv3___RNAseq.g50166.t1/Montipora_capitata_HIv3___RNAseq.g23366.t1,0.0918608681994792
ko00360,ko00360,3/137,23/5653,0.017296482420826268,6.147289978011183,3,23,Montipora_capitata_HIv3___RNAseq.g50598.t1/Montipora_capitata_HIv3___RNAseq.g14956.t1/Montipora_capitata_HIv3___RNAseq.g14960.t1,0.1078388376435035
ko00790,ko00790,4/137,42/5653,0.018125418065990374,4.333190202899988,4,42,Montipora_capitata_HIv3___RNAseq.g40427.t1a/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g33449.t1/Montipora_capitata_HIv3___RNAseq.g37450.t2,0.1078388376435035
ko04140,ko04140,8/137,138/5653,0.018355546832936765,2.568682932826575,8,138,Montipora_capitata_HIv3___RNAseq.g29851.t1/Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g46166.t1/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.1078388376435035
ko05168,ko05168,8/137,143/5653,0.02224021339623984,2.4711722734768533,8,143,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g45527.t1/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.12297529760273794
ko04918,ko04918,4/137,47/5653,0.026337784508757674,3.8263359038078777,4,47,Montipora_capitata_HIv3___RNAseq.g44519.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1/Montipora_capitata_HIv3___RNAseq.g40991.t1/Montipora_capitata_HIv3___RNAseq.g33997.t1,0.1275814237813087
ko05142,ko05142,5/137,70/5653,0.02673833996432452,3.1753980084543034,5,70,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.1275814237813087
ko04380,ko04380,6/137,95/5653,0.027144983783257172,2.792016639235517,6,95,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.1275814237813087
ko05162,ko05162,6/137,98/5653,0.03101582601520428,2.6993825276779875,6,98,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g30678.t1b/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.1335257496041204
ko04145,ko04145,7/137,126/5653,0.03267119405207201,2.4414155520007137,7,126,Montipora_capitata_HIv3___RNAseq.g29851.t1/Montipora_capitata_HIv3___RNAseq.g2640.t1a/Montipora_capitata_HIv3___RNAseq.g44519.t1/Montipora_capitata_HIv3___TS.g46166.t1/Montipora_capitata_HIv3___TS.g4674.t2b/Montipora_capitata_HIv3___RNAseq.g13826.t1/Montipora_capitata_HIv3___TS.g21895.t1,0.1335257496041204
ko05222,ko05222,7/137,126/5653,0.03267119405207201,2.4414155520007137,7,126,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.1335257496041204
ko00512,ko00512,3/137,30/5653,0.035085920042303896,4.548496237009419,3,30,Montipora_capitata_HIv3___RNAseq.g3374.t1/Montipora_capitata_HIv3___RNAseq.g44539.t1/Montipora_capitata_HIv3___RNAseq.g45417.t1,0.13741985349902358
ko00564,ko00564,6/137,105/5653,0.04140638015068755,2.5056485747415937,6,105,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g49841.t1/Montipora_capitata_HIv3___RNAseq.g6934.t1/Montipora_capitata_HIv3___RNAseq.g44719.t1/Montipora_capitata_HIv3___RNAseq.g8867.t2,0.15568798936658518
