ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust
ko04622,ko04622,4/36,80/5536,0.0016762451531300818,8.909879919349262,4,80,Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___TS.g14965.t1,0.02461411868424845
ko05168,ko05168,5/36,148/5536,0.002464996180032955,6.037412363764218,5,148,Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1/Montipora_capitata_HIv3___TS.g14965.t1,0.02461411868424845
ko05160,ko05160,4/36,96/5536,0.003270101692693241,7.341700846898213,4,96,Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1,0.02461411868424845
ko00330,ko00330,4/36,97/5536,0.0033950508529997864,7.261705584280458,4,97,Montipora_capitata_HIv3___RNAseq.g39503.t1/Montipora_capitata_HIv3___TS.g10703.t1/Montipora_capitata_HIv3___RNAseq.g6536.t1a/Montipora_capitata_HIv3___RNAseq.24234_t,0.02461411868424845
ko05169,ko05169,5/36,189/5536,0.007012682855404154,4.657079344087231,5,189,Montipora_capitata_HIv3___RNAseq.g36203.t1/Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1/Montipora_capitata_HIv3___TS.g35289.t2,0.039230753928305405
ko05222,ko05222,4/36,124/5536,0.008116707709304567,5.600051567438268,4,124,Montipora_capitata_HIv3___RNAseq.g40524.t1/Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1,0.039230753928305405
ko05167,ko05167,4/36,138/5536,0.011732862761635954,5.002061100889577,4,138,Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1/Montipora_capitata_HIv3___TS.g14965.t1,0.042854791361902594
ko05165,ko05165,5/36,225/5536,0.014289916577334812,3.869466191596374,5,225,Montipora_capitata_HIv3___RNAseq.g40524.t1/Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1/Montipora_capitata_HIv3___TS.g14965.t1,0.042854791361902594
ko04621,ko04621,4/36,148/5536,0.014868578464994231,4.645962377133399,4,148,Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___TS.g14965.t1,0.042854791361902594
ko04970,ko04970,3/36,82/5536,0.015737152840953974,6.232806030627804,3,82,Montipora_capitata_HIv3___RNAseq.g39503.t1/Montipora_capitata_HIv3___RNAseq.g36203.t1/Montipora_capitata_HIv3___RNAseq.g25591.t1,0.042854791361902594
ko04620,ko04620,3/36,83/5536,0.016255265688997537,6.153839397936363,3,83,Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___TS.g14965.t1,0.042854791361902594
ko05145,ko05145,3/36,88/5536,0.018989879185278405,5.78685804723326,3,88,Montipora_capitata_HIv3___RNAseq.g40524.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___TS.g35289.t2,0.043273726517522135
ko04141,ko04141,4/36,163/5536,0.020497896596718992,4.196718582155752,4,163,Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___RNAseq.g34571.t1/Montipora_capitata_HIv3___TS.g35289.t2/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.043273726517522135
ko04668,ko04668,3/36,92/5536,0.021351295113076693,5.523532081156391,3,92,Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___TS.g14965.t1,0.043273726517522135
ko05162,ko05162,3/36,95/5536,0.023224103959829313,5.340613679582295,3,95,Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1/Montipora_capitata_HIv3___TS.g35289.t2,0.043273726517522135
ko04657,ko04657,3/36,97/5536,0.02452116647144475,5.224075079941825,3,97,Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___TS.g14965.t1,0.043273726517522135
ko05203,ko05203,4/36,174/5536,0.0253673569240647,3.9173822885484078,4,174,Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1/Montipora_capitata_HIv3___TS.g14965.t1,0.043273726517522135
ko03018,ko03018,3/36,110/5536,0.03389698461909375,4.5793417150353575,3,110,Montipora_capitata_HIv3___RNAseq.g1066.t1/Montipora_capitata_HIv3___RNAseq.g29792.t1/Montipora_capitata_HIv3___RNAseq.g34374.t1,0.05173750283966941
ko05161,ko05161,3/36,110/5536,0.03389698461909375,4.5793417150353575,3,110,Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1/Montipora_capitata_HIv3___TS.g14965.t1,0.05173750283966941
ko05164,ko05164,3/36,117/5536,0.03961902938859598,4.292625800489484,3,117,Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g34571.t1/Montipora_capitata_HIv3___TS.g35289.t2,0.057447592613464174
ko04210,ko04210,3/36,136/5536,0.05746330010254518,3.666446689690156,3,136,Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1/Montipora_capitata_HIv3___TS.g14965.t1,0.07935408109399096
ko04010,ko04010,4/36,239/5536,0.06774574585260847,2.799682873797297,4,239,Montipora_capitata_HIv3___TS.g11505.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1/Montipora_capitata_HIv3___TS.g35289.t2,0.08593222903838685
ko05200,ko05200,6/36,451/5536,0.06815314716837577,2.2714164690595573,6,451,Montipora_capitata_HIv3___RNAseq.g40524.t1/Montipora_capitata_HIv3___TS.g11505.t1/Montipora_capitata_HIv3___RNAseq.g13613.t1/Montipora_capitata_HIv3___RNAseq.g40578.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1/Montipora_capitata_HIv3___TS.g14965.t1,0.08593222903838685
ko04020,ko04020,3/36,185/5536,0.1175883336536003,2.655592336105619,3,185,Montipora_capitata_HIv3___RNAseq.g39503.t1/Montipora_capitata_HIv3___RNAseq.g36203.t1/Montipora_capitata_HIv3___RNAseq.g25591.t1,0.14208590316476702
ko05206,ko05206,3/36,203/5536,0.14397135173878284,2.408494709914113,3,203,Montipora_capitata_HIv3___TS.g11505.t1/Montipora_capitata_HIv3___RNAseq.g21911.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1,0.16700676801698808
ko04151,ko04151,3/36,215/5536,0.1625899839170991,2.267157467733081,3,215,Montipora_capitata_HIv3___RNAseq.g40524.t1/Montipora_capitata_HIv3___TS.g11505.t1/Montipora_capitata_HIv3___RNAseq.g30427.t1,0.1813503666767644
ko01130,ko01130,3/36,231/5536,0.1885060584701589,2.10163212976071,3,231,Montipora_capitata_HIv3___RNAseq.g33912.t1/Montipora_capitata_HIv3___RNAseq.g34374.t1/Montipora_capitata_HIv3___RNAseq.24234_t,0.2024694702086892
ko01110,ko01110,4/36,380/5536,0.23166471473717343,1.70324513904427,4,380,Montipora_capitata_HIv3___RNAseq.g39503.t1/Montipora_capitata_HIv3___RNAseq.g33912.t1/Montipora_capitata_HIv3___RNAseq.g34374.t1/Montipora_capitata_HIv3___RNAseq.24234_t,0.23993845454921536
ko01100,ko01100,10/36,1389/5536,0.41651839655574274,1.1493289284834498,10,1389,Montipora_capitata_HIv3___RNAseq.g39503.t1/Montipora_capitata_HIv3___TS.g10703.t1/Montipora_capitata_HIv3___RNAseq.g36203.t1/Montipora_capitata_HIv3___RNAseq.g6536.t1a/Montipora_capitata_HIv3___RNAseq.g22747.t1/Montipora_capitata_HIv3___RNAseq.g33912.t1/Montipora_capitata_HIv3___RNAseq.g34374.t1/Montipora_capitata_HIv3___RNAseq.g12097.t1/Montipora_capitata_HIv3___RNAseq.24234_t/Montipora_capitata_HIv3___RNAseq.g19544.t1,0.41651839655574274
