ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust,TERM,ONTOLOGY
GO:0005089,GO:0005089,9/85,54/8363,2.7540754207425587e-9,21.630764810297645,9,54,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___RNAseq.g23733.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35718.t1/Montipora_capitata_HIv3___RNAseq.g35720.t1,2.6797153843825098e-6,NA,NA
GO:0035023,regulation of Rho protein signal transduction,9/85,64/8363,1.3135951251938257e-8,17.67920942402092,9,64,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___RNAseq.g23733.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35718.t1/Montipora_capitata_HIv3___RNAseq.g35720.t1,6.390640284067962e-6,regulation of Rho protein signal transduction,BP
GO:0017048,GO:0017048,10/85,92/8363,2.5092759503616215e-8,13.315563971959895,10,92,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___RNAseq.g23733.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35718.t1/Montipora_capitata_HIv3___RNAseq.g24942.t1/Montipora_capitata_HIv3___RNAseq.g35720.t1,8.138418332339525e-6,NA,NA
GO:0005088,GO:0005088,9/85,139/8363,1.053811734330012e-5,7.418266165489767,9,139,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___RNAseq.g23733.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35718.t1/Montipora_capitata_HIv3___RNAseq.g35720.t1,0.002563397043757754,NA,NA
GO:0046578,regulation of Ras protein signal transduction,9/85,146/8363,1.5681079708517877e-5,7.031340472605225,9,146,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___RNAseq.g23733.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35718.t1/Montipora_capitata_HIv3___RNAseq.g35720.t1,0.0030515381112775786,regulation of Ras protein signal transduction,BP
GO:0005085,guanyl-nucleotide exchange factor activity,9/85,162/8363,3.593896372068777e-5,6.285184217649198,9,162,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___RNAseq.g23733.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35718.t1/Montipora_capitata_HIv3___RNAseq.g35720.t1,0.0058281019500382005,guanyl-nucleotide exchange factor activity,MF
GO:0007596,blood coagulation,8/85,130/8363,4.845338827849362e-5,6.940352189665417,8,130,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35720.t1/Montipora_capitata_HIv3___RNAseq.g44445.t1,0.005842172008446807,blood coagulation,BP
GO:0050817,coagulation,8/85,130/8363,4.845338827849362e-5,6.940352189665417,8,130,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35720.t1/Montipora_capitata_HIv3___RNAseq.g44445.t1,0.005842172008446807,coagulation,BP
GO:0007599,hemostasis,8/85,132/8363,5.403859000618835e-5,6.827194912181343,8,132,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35720.t1/Montipora_capitata_HIv3___RNAseq.g44445.t1,0.005842172008446807,hemostasis,BP
GO:0051056,regulation of small GTPase mediated signal transduction,9/85,183/8363,9.296007768419837e-5,5.513417607582019,9,183,Montipora_capitata_HIv3___RNAseq.g7992.t1/Montipora_capitata_HIv3___RNAseq.g23734.t3/Montipora_capitata_HIv3___RNAseq.g35804.t1/Montipora_capitata_HIv3___RNAseq.g23733.t1/Montipora_capitata_HIv3___TS.g29616.t1/Montipora_capitata_HIv3___RNAseq.g12596.t1/Montipora_capitata_HIv3___RNAseq.g29879.t1b/Montipora_capitata_HIv3___RNAseq.g35718.t1/Montipora_capitata_HIv3___RNAseq.g35720.t1,0.0090450155586725,regulation of small GTPase mediated signal transduction,BP
