ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust
ko04622,ko04622,6/78,78/5653,6.632449155183528e-4,6.363828932237608,6,78,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2,0.024259796540927397
ko04620,ko04620,6/78,83/5653,9.229166022852683e-4,5.945568999775487,6,83,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2,0.024259796540927397
ko04064,ko04064,6/78,88/5653,0.001254817062461762,5.578273098961854,6,88,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2,0.024259796540927397
ko05160,ko05160,6/78,99/5653,0.0023016605422393993,4.909097956503703,6,99,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2,0.02669926228997703
ko04657,ko04657,6/78,99/5653,0.0023016605422393993,4.909097956503703,6,99,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2,0.02669926228997703
ko05168,ko05168,7/78,143/5653,0.0033765693487184827,3.941141138905227,7,143,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g45527.t1/Montipora_capitata_HIv3___TS.g47027.t2,0.03264017037094533
ko04621,ko04621,7/78,148/5653,0.004086293641140643,3.7981028814041795,7,148,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g26580.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2,0.03385786159802247
ko01523,ko01523,5/78,81/5653,0.004973892108918982,4.952590110167985,5,81,Montipora_capitata_HIv3___RNAseq.g40427.t1a/Montipora_capitata_HIv3___RNAseq.g8250.t1b/Montipora_capitata_HIv3___TS.g4674.t2b/Montipora_capitata_HIv3___TS.g33523.t1/Montipora_capitata_HIv3___RNAseq.g37354.t1,0.03606071778966262
ko05222,ko05222,6/78,126/5653,0.007545907025397345,3.7866496769428015,6,126,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___TS.g47027.t2,0.03919082503967494
ko05140,ko05140,4/78,57/5653,0.007619545092099933,5.627610169487891,4,57,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t,0.03919082503967494
