gene,signed_logP
Montipora_capitata_HIv3___RNAseq.g30977.t1,-91.6431204786095
Montipora_capitata_HIv3___RNAseq.g6908.t1,76.9751302887547
Montipora_capitata_HIv3___RNAseq.g36752.t1,44.745248195096
Montipora_capitata_HIv3___RNAseq.g26860.t1,42.8796378538892
Montipora_capitata_HIv3___RNAseq.g40729.t1,-39.1278766987162
Montipora_capitata_HIv3___TS.g6600.t1,33.6995970478027
Montipora_capitata_HIv3___TS.g33283.t2,-32.7285577665687
Montipora_capitata_HIv3___RNAseq.g40984.t1,31.5029534318034
Montipora_capitata_HIv3___TS.g7286.t1,31.2283487296436
Montipora_capitata_HIv3___TS.g41491.t1b,-29.5469214940445
Montipora_capitata_HIv3___RNAseq.g1704.t1,-28.5391088001405
Montipora_capitata_HIv3___TS.g21513.t2,-26.2051038817176
Montipora_capitata_HIv3___RNAseq.g41101.t1,-23.5587347594325
Montipora_capitata_HIv3___RNAseq.g44498.t1,-22.6646849269306
Montipora_capitata_HIv3___RNAseq.g44557.t1,22.5291853004939
Montipora_capitata_HIv3___RNAseq.g46243.t1,22.4096707565583
Montipora_capitata_HIv3___RNAseq.g36544.t1,22.1398900378227
Montipora_capitata_HIv3___RNAseq.g26930.t1,21.1499181637963
Montipora_capitata_HIv3___RNAseq.53422_t,21.0830421101774
Montipora_capitata_HIv3___RNAseq.g36837.t1,20.8671768441005
Montipora_capitata_HIv3___RNAseq.g19177.t1,-20.5772433888075
Montipora_capitata_HIv3___TS.g20609.t1,-20.3935636952602
Montipora_capitata_HIv3___TS.g15339.t1,19.8547112276515
Montipora_capitata_HIv3___RNAseq.g8070.t1,18.8946619887814
Montipora_capitata_HIv3___RNAseq.g11520.t1,18.4047041954787
Montipora_capitata_HIv3___TS.g46936.t1,-17.865502058759
Montipora_capitata_HIv3___RNAseq.g16339.t1,-17.7468113549357
Montipora_capitata_HIv3___RNAseq.g29851.t1,17.3459554125891
Montipora_capitata_HIv3___RNAseq.g6978.t1,-17.2338605231989
Montipora_capitata_HIv3___RNAseq.g49577.t1,17.1591964177033
Montipora_capitata_HIv3___TS.g13101.t1,17.0576183215397
Montipora_capitata_HIv3___RNAseq.g46769.t1,-17.0535704719085
Montipora_capitata_HIv3___RNAseq.g1705.t1,-17.0288775126207
Montipora_capitata_HIv3___RNAseq.g4159.t1,-16.7756705471064
Montipora_capitata_HIv3___TS.g83.t1,-16.7845732095305
Montipora_capitata_HIv3___RNAseq.g11157.t1,-16.6953459015498
Montipora_capitata_HIv3___RNAseq.g36845.t1,-16.5314835898856
Montipora_capitata_HIv3___RNAseq.g16462.t1,16.4397382674322
Montipora_capitata_HIv3___RNAseq.g44785.t1,-16.187302901325
Montipora_capitata_HIv3___TS.g8021.t1,16.1145136144321
Montipora_capitata_HIv3___TS.g27115.t1,16.0298370398761
Montipora_capitata_HIv3___RNAseq.g7992.t1,16.0021234460626
Montipora_capitata_HIv3___RNAseq.g26700.t1,-15.6170853957882
Montipora_capitata_HIv3___RNAseq.g15213.t1b,-15.5921428933527
Montipora_capitata_HIv3___RNAseq.g46409.t1,-15.4382189445194
Montipora_capitata_HIv3___TS.g11775.t2,-15.3549879594321
Montipora_capitata_HIv3___TS.g32734.t2,14.9968920571199
Montipora_capitata_HIv3___RNAseq.g31152.t1,-14.7041464356221
Montipora_capitata_HIv3___RNAseq.g30230.t1,14.6671886150325
Montipora_capitata_HIv3___TS.g9841.t2,14.6423700676609
Montipora_capitata_HIv3___RNAseq.g40218.t1,14.6454341656616
Montipora_capitata_HIv3___TS.g15116.t1,-14.5859011969166
Montipora_capitata_HIv3___TS.g1118.t1,14.5937466548487
Montipora_capitata_HIv3___RNAseq.g9262.t1,-14.5642069210494
Montipora_capitata_HIv3___RNAseq.g31153.t1,-14.5208700465879
Montipora_capitata_HIv3___RNAseq.g2796.t1,14.4327503819098
Montipora_capitata_HIv3___RNAseq.g11650.t1a,14.3119114446386
Montipora_capitata_HIv3___RNAseq.g36838.t1,13.9788045007131
Montipora_capitata_HIv3___RNAseq.g19905.t1,13.9186070995455
Montipora_capitata_HIv3___RNAseq.g2559.t1a,-13.9101767832524
Montipora_capitata_HIv3___RNAseq.g23734.t3,13.8873173769384
Montipora_capitata_HIv3___RNAseq.g34299.t1,13.8299663912835
Montipora_capitata_HIv3___TS.g47198.t1,-13.8132243563149
Montipora_capitata_HIv3___RNAseq.g36542.t1,13.7710861870751
Montipora_capitata_HIv3___RNAseq.g30844.t1,13.4772408076307
Montipora_capitata_HIv3___RNAseq.g1393.t1,13.4611500593665
Montipora_capitata_HIv3___RNAseq.g26525.t1,-13.4260532451761
Montipora_capitata_HIv3___RNAseq.g35804.t1,13.2005183130743
Montipora_capitata_HIv3___RNAseq.g702.t1,13.1568671026334
Montipora_capitata_HIv3___RNAseq.g2627.t1,-12.7546999911638
Montipora_capitata_HIv3___RNAseq.g19337.t1,12.7055316702287
Montipora_capitata_HIv3___TS.g5047.t1,-12.682516501052
Montipora_capitata_HIv3___TS.g10979.t1,12.5701855520471
Montipora_capitata_HIv3___TS.g6748.t1,-12.5488764408897
Montipora_capitata_HIv3___RNAseq.g8395.t2a,12.3368021125955
Montipora_capitata_HIv3___RNAseq.g6709.t1,-12.0701358813856
Montipora_capitata_HIv3___TS.g36789.t1,11.8931924598556
Montipora_capitata_HIv3___RNAseq.29872_t,-11.8363453505492
Montipora_capitata_HIv3___RNAseq.g29130.t1,11.7775594310166
Montipora_capitata_HIv3___RNAseq.g15043.t1,-11.7827952624009
Montipora_capitata_HIv3___RNAseq.g35114.t1,-11.5184139292897
Montipora_capitata_HIv3___RNAseq.g4932.t1,-11.47545717128
Montipora_capitata_HIv3___RNAseq.g45196.t1,-11.2395735791087
Montipora_capitata_HIv3___RNAseq.g5348.t1,11.2280698147518
Montipora_capitata_HIv3___TS.g25598.t1,11.1426881572001
Montipora_capitata_HIv3___RNAseq.2336_t,-11.1058231868095
Montipora_capitata_HIv3___RNAseq.g11521.t1,11.0847700229268
Montipora_capitata_HIv3___RNAseq.g40427.t1a,11.0490881883048
Montipora_capitata_HIv3___RNAseq.g21486.t1,11.0274342958861
Montipora_capitata_HIv3___RNAseq.g6.t1,10.9499704862996
