gene,log2FoldChange
Montipora_capitata_HIv3___RNAseq.g4804.t1,-5.56245964019317
Montipora_capitata_HIv3___RNAseq.g28349.t1,-10.4393950844833
Montipora_capitata_HIv3___TS.g24801.t1,-10.5816448633233
Montipora_capitata_HIv3___RNAseq.g31228.t1,3.23976820081989
Montipora_capitata_HIv3___RNAseq.g11431.t1,5.15932944489697
Montipora_capitata_HIv3___RNAseq.g28331.t1,-12.4484411901794
Montipora_capitata_HIv3___RNAseq.g28340.t1,-9.39113158422379
Montipora_capitata_HIv3___RNAseq.g33294.t1,2.3092686874645
Montipora_capitata_HIv3___RNAseq.g40524.t1,9.25253284481508
Montipora_capitata_HIv3___RNAseq.g47555.t1,3.82260761377671
Montipora_capitata_HIv3___RNAseq.g39503.t1,-3.15730667537978
Montipora_capitata_HIv3___RNAseq.g28350.t1,-9.83812764233102
Montipora_capitata_HIv3___RNAseq.g28347.t1,-10.3756092063036
Montipora_capitata_HIv3___RNAseq.g702.t1,10.8178811645722
Montipora_capitata_HIv3___TS.g47006.t1,1.56573561216994
Montipora_capitata_HIv3___RNAseq.g28345.t1,-10.0460958241132
Montipora_capitata_HIv3___RNAseq.g28341.t1,-10.1408014910801
Montipora_capitata_HIv3___TS.g42117.t1,1.72456662696141
Montipora_capitata_HIv3___TS.g10910.t1,-5.42345450078424
Montipora_capitata_HIv3___RNAseq.g13058.t1,-2.68889810964999
Montipora_capitata_HIv3___RNAseq.g50188.t1,10.166550987633
Montipora_capitata_HIv3___RNAseq.g20804.t1,-9.1677222293517
Montipora_capitata_HIv3___RNAseq.g18966.t1,-5.51477385300149
Montipora_capitata_HIv3___TS.g32687.t1,1.98886745346909
Montipora_capitata_HIv3___RNAseq.g47230.t1,1.53238537122147
Montipora_capitata_HIv3___TS.g46993.t1,7.54279965113793
Montipora_capitata_HIv3___RNAseq.g37806.t1,-8.98780307352757
Montipora_capitata_HIv3___RNAseq.g6712.t1,8.47535792837094
Montipora_capitata_HIv3___RNAseq.g20813.t1,-9.85001715388843
Montipora_capitata_HIv3___RNAseq.g50189.t2,7.73405252031559
Montipora_capitata_HIv3___RNAseq.g28351.t1,-8.68535561970122
Montipora_capitata_HIv3___TS.g28649.t1,-0.88510050497039
Montipora_capitata_HIv3___RNAseq.g40527.t1,2.81590545088219
Montipora_capitata_HIv3___RNAseq.g29624.t1,5.28619429500846
Montipora_capitata_HIv3___RNAseq.g8074.t1,4.25974745560003
Montipora_capitata_HIv3___RNAseq.g20095.t1,1.89822987558458
Montipora_capitata_HIv3___RNAseq.g30925.t1,-5.04996549999912
Montipora_capitata_HIv3___RNAseq.g11520.t1,1.60755718639072
Montipora_capitata_HIv3___TS.g10703.t1,5.5488587773744
Montipora_capitata_HIv3___RNAseq.g28355.t1,-7.66125659074476
Montipora_capitata_HIv3___RNAseq.g36203.t1,-2.05799705748278
Montipora_capitata_HIv3___RNAseq.g13870.t1,1.85901130864285
Montipora_capitata_HIv3___RNAseq.g663.t1,1.52001209158685
Montipora_capitata_HIv3___RNAseq.g1832.t1,3.77937562201293
Montipora_capitata_HIv3___RNAseq.g34701.t1,2.54066004611736
Montipora_capitata_HIv3___RNAseq.g6637.t1,6.01295804748633
Montipora_capitata_HIv3___TS.g18789.t1,6.65193563972535
Montipora_capitata_HIv3___RNAseq.g39502.t1,1.12672118250532
Montipora_capitata_HIv3___RNAseq.g6536.t1a,7.96154649537429
Montipora_capitata_HIv3___RNAseq.g3041.t1,-3.23250593214197
Montipora_capitata_HIv3___RNAseq.g39912.t1,6.6899256032591
Montipora_capitata_HIv3___TS.g13493.t1,-9.30414354083201
Montipora_capitata_HIv3___TS.g20805.t1,3.00450678163792
Montipora_capitata_HIv3___RNAseq.g29793.t4,-6.42264187495856
Montipora_capitata_HIv3___TS.g11505.t1,2.33513862995361
Montipora_capitata_HIv3___RNAseq.g33666.t1,1.23513532221666
Montipora_capitata_HIv3___RNAseq.g28338.t1,-7.69402566730601
Montipora_capitata_HIv3___RNAseq.g4934.t1,3.8546062282959
Montipora_capitata_HIv3___RNAseq.g43738.t1,4.14706612918988
Montipora_capitata_HIv3___RNAseq.g13056.t1,-2.07477885724909
Montipora_capitata_HIv3___RNAseq.g3049.t1,-4.16393439450882
Montipora_capitata_HIv3___RNAseq.g7598.t1,1.96042411959857
Montipora_capitata_HIv3___RNAseq.g39517.t1,-5.20455713270861
Montipora_capitata_HIv3___RNAseq.g39507.t1,6.42256942822882
Montipora_capitata_HIv3___RNAseq.g30422.t1,1.37164731720163
Montipora_capitata_HIv3___TS.g20814.t1,1.00102780816482
Montipora_capitata_HIv3___RNAseq.g20093.t1,1.00519052117345
Montipora_capitata_HIv3___RNAseq.g42128.t1,6.26326238306177
Montipora_capitata_HIv3___RNAseq.g4350.t1,8.0740947229433
Montipora_capitata_HIv3___RNAseq.g21311.t1,3.14302563756816
Montipora_capitata_HIv3___TS.g10389.t1,-2.57267671527925
Montipora_capitata_HIv3___RNAseq.g47971.t1,2.23764390782274
Montipora_capitata_HIv3___RNAseq.g39717.t1,-1.03505251817957
Montipora_capitata_HIv3___RNAseq.g42130.t1,5.92198414176964
Montipora_capitata_HIv3___RNAseq.g39759.t1,-2.91705075598015
Montipora_capitata_HIv3___RNAseq.g1066.t1,7.73792413332367
Montipora_capitata_HIv3___RNAseq.g40803.t1,0.96664299315091
Montipora_capitata_HIv3___RNAseq.g47551.t1,1.18376302766936
Montipora_capitata_HIv3___RNAseq.g49269.t1,8.05597100767532
Montipora_capitata_HIv3___RNAseq.g6534.t1,7.63299648468472
Montipora_capitata_HIv3___RNAseq.g27094.t1,-1.209804411095
Montipora_capitata_HIv3___RNAseq.g40523.t1,8.1698529211996
Montipora_capitata_HIv3___RNAseq.g34772.t1,5.28943043079794
Montipora_capitata_HIv3___RNAseq.g13600.t1,-2.54491022823743
Montipora_capitata_HIv3___RNAseq.g25591.t1,-0.543015221431354
Montipora_capitata_HIv3___RNAseq.g49273.t1,1.24063903932866
Montipora_capitata_HIv3___RNAseq.g6958.t1,3.11072460829152
Montipora_capitata_HIv3___RNAseq.g9307.t1,1.75880931674748
Montipora_capitata_HIv3___TS.g24803.t1,-7.30231205169404
Montipora_capitata_HIv3___RNAseq.g5270.t1,1.16257508932866
Montipora_capitata_HIv3___RNAseq.g29489.t1,1.67848953923183
Montipora_capitata_HIv3___RNAseq.g1339.t1,-4.76763610086577
Montipora_capitata_HIv3___RNAseq.g29792.t1,-4.74382231933707
Montipora_capitata_HIv3___RNAseq.g49470.t1,4.45514070253692
Montipora_capitata_HIv3___RNAseq.g8474.t1,3.47671052606554
Montipora_capitata_HIv3___RNAseq.g23752.t1,-4.16560097426817
Montipora_capitata_HIv3___RNAseq.g6532.t1,4.41060551159926
Montipora_capitata_HIv3___RNAseq.g13613.t1,2.80023141738441
Montipora_capitata_HIv3___TS.g26100.t1,7.72135116737083
Montipora_capitata_HIv3___RNAseq.g8248.t1,7.2631196445008
Montipora_capitata_HIv3___RNAseq.g41254.t1,-2.43018167898284
Montipora_capitata_HIv3___RNAseq.g49215.t2,5.15065189665932
Montipora_capitata_HIv3___RNAseq.g25137.t1,1.57426868946549
Montipora_capitata_HIv3___TS.g26714.t1,7.95709679181323
Montipora_capitata_HIv3___TS.g48244.t1,-2.59006036073123
Montipora_capitata_HIv3___RNAseq.g44775.t1,-3.01586275872857
Montipora_capitata_HIv3___TS.g2560.t1,0.604749896851412
Montipora_capitata_HIv3___RNAseq.g6531.t1,4.05474047055889
Montipora_capitata_HIv3___TS.g44870.t1,1.72563288172226
Montipora_capitata_HIv3___RNAseq.g22747.t1,0.542041442785442
Montipora_capitata_HIv3___TS.g37848.t1,4.89899028781687
Montipora_capitata_HIv3___RNAseq.g3053.t1,-2.09227319220707
Montipora_capitata_HIv3___TS.g4186.t1,1.6699757483832
Montipora_capitata_HIv3___RNAseq.g15327.t1,4.80797892524924
Montipora_capitata_HIv3___RNAseq.g12989.t1,1.58776974151524
Montipora_capitata_HIv3___RNAseq.g50729.t2,-5.39738840979518
Montipora_capitata_HIv3___RNAseq.g29625.t1b,7.18049095342378
Montipora_capitata_HIv3___TS.g45729.t1,0.868636878151735
Montipora_capitata_HIv3___RNAseq.g47633.t1,-1.28517438287627
Montipora_capitata_HIv3___RNAseq.g33277.t1,5.57524963160328
Montipora_capitata_HIv3___RNAseq.g36521.t1,2.81539172362074
Montipora_capitata_HIv3___RNAseq.g21374.t1,1.14345992416128
Montipora_capitata_HIv3___RNAseq.g28234.t1,3.35236500290419
Montipora_capitata_HIv3___RNAseq.g21911.t1,1.09124676434224
Montipora_capitata_HIv3___RNAseq.g18598.t1,-4.49772273988685
Montipora_capitata_HIv3___RNAseq.g33271.t1,-1.69100688991778
Montipora_capitata_HIv3___RNAseq.g29808.t1,2.55127711001063
Montipora_capitata_HIv3___RNAseq.g34949.t1,-1.82076145008376
Montipora_capitata_HIv3___TS.g14500.t1,3.71012445390925
Montipora_capitata_HIv3___RNAseq.g33912.t1,0.763543600741574
Montipora_capitata_HIv3___RNAseq.g44732.t1,0.740301527885982
Montipora_capitata_HIv3___TS.g12045.t2,2.99977526307043
Montipora_capitata_HIv3___TS.g6765.t1,3.50821583122518
Montipora_capitata_HIv3___RNAseq.g19114.t1b,-1.54355650815944
Montipora_capitata_HIv3___RNAseq.g4861.t1,1.83124883567969
Montipora_capitata_HIv3___RNAseq.g44252.t1,1.22126218741236
Montipora_capitata_HIv3___RNAseq.g44740.t1,1.23958050760261
Montipora_capitata_HIv3___RNAseq.g43960.t1,-3.42280797587934
Montipora_capitata_HIv3___RNAseq.g4125.t1,1.52590140769201
Montipora_capitata_HIv3___RNAseq.g34374.t1,4.02671875112612
Montipora_capitata_HIv3___RNAseq.g40578.t1,-3.20706682497772
Montipora_capitata_HIv3___RNAseq.g30427.t1,-1.86751964083736
Montipora_capitata_HIv3___RNAseq.97_t,1.35896233709833
Montipora_capitata_HIv3___RNAseq.g35621.t1,-1.08868807947773
Montipora_capitata_HIv3___RNAseq.g47593.t1,2.34460254082503
Montipora_capitata_HIv3___RNAseq.g26661.t1,1.04800106691332
Montipora_capitata_HIv3___RNAseq.g33283.t1,3.09769196455367
Montipora_capitata_HIv3___RNAseq.g36297.t1,-6.06965365982957
Montipora_capitata_HIv3___TS.g14965.t1,-5.1917393946813
Montipora_capitata_HIv3___RNAseq.g28405.t2,1.87081198004714
Montipora_capitata_HIv3___RNAseq.g44783.t1,1.80689476866709
Montipora_capitata_HIv3___RNAseq.g34983.t1,2.86829925648574
Montipora_capitata_HIv3___RNAseq.g13057.t1,-2.34370649235345
Montipora_capitata_HIv3___RNAseq.g35024.t1,1.25176890283675
Montipora_capitata_HIv3___RNAseq.g25023.t1,-0.815389607765949
Montipora_capitata_HIv3___TS.g2415.t1,1.57684715807059
Montipora_capitata_HIv3___RNAseq.g24974.t1,-1.63793610045579
Montipora_capitata_HIv3___TS.g24268.t2,-0.461578693736891
Montipora_capitata_HIv3___RNAseq.g9226.t1,1.47295528758429
Montipora_capitata_HIv3___RNAseq.g1559.t1,1.51592847521311
Montipora_capitata_HIv3___RNAseq.34213_t,2.0470012116824
Montipora_capitata_HIv3___TS.g33589.t1,-1.34883295465176
Montipora_capitata_HIv3___RNAseq.g14624.t1,-3.30444416093573
Montipora_capitata_HIv3___RNAseq.g11426.t1,3.05482839484419
Montipora_capitata_HIv3___RNAseq.g401.t1,0.635217212926258
Montipora_capitata_HIv3___RNAseq.g41558.t1,3.49197750158172
Montipora_capitata_HIv3___RNAseq.g39044.t3,-6.57663547909637
Montipora_capitata_HIv3___RNAseq.g49974.t1,-0.493302828856254
Montipora_capitata_HIv3___TS.g16805.t1,-1.64998994630874
Montipora_capitata_HIv3___TS.g45844.t2b,-1.58261938197808
Montipora_capitata_HIv3___RNAseq.g38656.t1,-5.28857547279179
Montipora_capitata_HIv3___RNAseq.g34571.t1,1.70801473883399
Montipora_capitata_HIv3___RNAseq.g12097.t1,0.632019989412631
Montipora_capitata_HIv3___RNAseq.g37424.t1,1.75326681716714
Montipora_capitata_HIv3___TS.g17943.t1,-1.73858458485531
Montipora_capitata_HIv3___TS.g35289.t2,3.76275533249779
Montipora_capitata_HIv3___RNAseq.g27127.t1,0.710297357666741
Montipora_capitata_HIv3___RNAseq.g19995.t1,-1.30670065414273
Montipora_capitata_HIv3___RNAseq.g32223.t1,-1.35249457182686
Montipora_capitata_HIv3___TS.g39823.t1b,-3.99703357257235
Montipora_capitata_HIv3___RNAseq.g2533.t1,1.57596974758518
