gene,signed_logP
Montipora_capitata_HIv3___RNAseq.g4804.t1,-51.2009690761193
Montipora_capitata_HIv3___RNAseq.g28349.t1,-48.1594243312089
Montipora_capitata_HIv3___TS.g24801.t1,-22.8352690172199
Montipora_capitata_HIv3___RNAseq.g31228.t1,21.6256415935639
Montipora_capitata_HIv3___RNAseq.g11431.t1,21.2558169008844
Montipora_capitata_HIv3___RNAseq.g28331.t1,-18.8426701329568
Montipora_capitata_HIv3___RNAseq.g28340.t1,-16.7986016054842
Montipora_capitata_HIv3___RNAseq.g33294.t1,16.7473337814968
Montipora_capitata_HIv3___RNAseq.g40524.t1,16.2932960074532
Montipora_capitata_HIv3___RNAseq.g47555.t1,15.8635954127954
Montipora_capitata_HIv3___RNAseq.g39503.t1,-15.1422195107733
Montipora_capitata_HIv3___RNAseq.g28350.t1,-15.1548464604407
Montipora_capitata_HIv3___RNAseq.g28347.t1,-14.7331606070516
Montipora_capitata_HIv3___RNAseq.g702.t1,14.6226263740088
Montipora_capitata_HIv3___TS.g47006.t1,13.9225070926108
Montipora_capitata_HIv3___RNAseq.g28345.t1,-13.5210167998108
Montipora_capitata_HIv3___RNAseq.g28341.t1,-13.4620990366577
Montipora_capitata_HIv3___TS.g42117.t1,12.4061431436616
Montipora_capitata_HIv3___TS.g10910.t1,-12.2171019434229
Montipora_capitata_HIv3___RNAseq.g13058.t1,-12.1566207783611
Montipora_capitata_HIv3___RNAseq.g50188.t1,12.010416972234
Montipora_capitata_HIv3___RNAseq.g20804.t1,-11.4371657131001
Montipora_capitata_HIv3___RNAseq.g18966.t1,-11.3819598251333
Montipora_capitata_HIv3___TS.g32687.t1,10.375549354699
Montipora_capitata_HIv3___RNAseq.g47230.t1,10.338039041368
Montipora_capitata_HIv3___TS.g46993.t1,10.2378014072527
Montipora_capitata_HIv3___RNAseq.g37806.t1,-10.1953015118813
Montipora_capitata_HIv3___RNAseq.g6712.t1,10.1672546489706
Montipora_capitata_HIv3___RNAseq.g20813.t1,-9.89455541728466
Montipora_capitata_HIv3___RNAseq.g50189.t2,9.83152949742797
Montipora_capitata_HIv3___RNAseq.g28351.t1,-9.51176893885324
Montipora_capitata_HIv3___TS.g28649.t1,-9.42594894351363
Montipora_capitata_HIv3___RNAseq.g40527.t1,9.24531415167156
Montipora_capitata_HIv3___RNAseq.g29624.t1,8.66842427713976
Montipora_capitata_HIv3___RNAseq.g8074.t1,8.43766771809581
Montipora_capitata_HIv3___RNAseq.g20095.t1,8.29605279540566
Montipora_capitata_HIv3___RNAseq.g30925.t1,-8.28265289244769
Montipora_capitata_HIv3___RNAseq.g11520.t1,8.16253564392322
Montipora_capitata_HIv3___TS.g10703.t1,7.84193104882237
Montipora_capitata_HIv3___RNAseq.g28355.t1,-7.74892133911849
Montipora_capitata_HIv3___RNAseq.g36203.t1,-7.61178947118959
Montipora_capitata_HIv3___RNAseq.g13870.t1,7.56515891464874
Montipora_capitata_HIv3___RNAseq.g663.t1,7.47443637846941
Montipora_capitata_HIv3___RNAseq.g1832.t1,7.43151252854772
Montipora_capitata_HIv3___RNAseq.g34701.t1,7.2041367402385
Montipora_capitata_HIv3___RNAseq.g6637.t1,7.07767699157655
Montipora_capitata_HIv3___TS.g18789.t1,7.08198322947026
Montipora_capitata_HIv3___RNAseq.g39502.t1,7.04849624766733
Montipora_capitata_HIv3___RNAseq.g6536.t1a,7.04319273568629
Montipora_capitata_HIv3___RNAseq.g3041.t1,-7.00629305910057
Montipora_capitata_HIv3___RNAseq.g39912.t1,6.98021786517886
Montipora_capitata_HIv3___TS.g13493.t1,-6.96932183061051
Montipora_capitata_HIv3___TS.g20805.t1,6.9422430376646
Montipora_capitata_HIv3___RNAseq.g29793.t4,-6.92703084588071
Montipora_capitata_HIv3___TS.g11505.t1,6.90082786587397
Montipora_capitata_HIv3___RNAseq.g33666.t1,6.69002240287846
Montipora_capitata_HIv3___RNAseq.g28338.t1,-6.66753321980092
Montipora_capitata_HIv3___RNAseq.g4934.t1,6.53896916991494
Montipora_capitata_HIv3___RNAseq.g43738.t1,6.49794248899491
Montipora_capitata_HIv3___RNAseq.g13056.t1,-6.45527375544657
Montipora_capitata_HIv3___RNAseq.g3049.t1,-6.42387135127793
Montipora_capitata_HIv3___RNAseq.g7598.t1,6.39489297738307
Montipora_capitata_HIv3___RNAseq.g39517.t1,-6.38132392808355
Montipora_capitata_HIv3___RNAseq.g39507.t1,6.28707044883642
Montipora_capitata_HIv3___RNAseq.g30422.t1,6.24380323632074
Montipora_capitata_HIv3___TS.g20814.t1,6.22195437466614
Montipora_capitata_HIv3___RNAseq.g20093.t1,6.20921587558434
Montipora_capitata_HIv3___RNAseq.g42128.t1,6.19090503540719
Montipora_capitata_HIv3___RNAseq.g4350.t1,6.19355346521909
Montipora_capitata_HIv3___RNAseq.g21311.t1,6.14135154086216
Montipora_capitata_HIv3___TS.g10389.t1,-6.00932691661009
Montipora_capitata_HIv3___RNAseq.g47971.t1,5.99307006203684
Montipora_capitata_HIv3___RNAseq.g39717.t1,-5.96027422762926
Montipora_capitata_HIv3___RNAseq.g42130.t1,5.90266746006244
Montipora_capitata_HIv3___RNAseq.g39759.t1,-5.86550056067413
Montipora_capitata_HIv3___RNAseq.g1066.t1,5.8610155574654
Montipora_capitata_HIv3___RNAseq.g40803.t1,5.85755907728034
Montipora_capitata_HIv3___RNAseq.g47551.t1,5.87458861697084
Montipora_capitata_HIv3___RNAseq.g49269.t1,5.83871806596762
Montipora_capitata_HIv3___RNAseq.g6534.t1,5.78378469525067
Montipora_capitata_HIv3___RNAseq.g27094.t1,-5.73237470637652
Montipora_capitata_HIv3___RNAseq.g40523.t1,5.73992584467884
Montipora_capitata_HIv3___RNAseq.g34772.t1,5.72947564322067
Montipora_capitata_HIv3___RNAseq.g13600.t1,-5.71398268636261
Montipora_capitata_HIv3___RNAseq.g25591.t1,-5.70529924924099
Montipora_capitata_HIv3___RNAseq.g49273.t1,5.48338953191092
Montipora_capitata_HIv3___RNAseq.g6958.t1,5.47141983907592
Montipora_capitata_HIv3___RNAseq.g9307.t1,5.4333874976271
Montipora_capitata_HIv3___TS.g24803.t1,-5.42515071886489
Montipora_capitata_HIv3___RNAseq.g5270.t1,5.27058231313935
Montipora_capitata_HIv3___RNAseq.g29489.t1,5.18416452772029
Montipora_capitata_HIv3___RNAseq.g1339.t1,-5.15841736505926
Montipora_capitata_HIv3___RNAseq.g29792.t1,-5.1550873473158
Montipora_capitata_HIv3___RNAseq.g49470.t1,5.12724498017775
Montipora_capitata_HIv3___RNAseq.g8474.t1,5.09273827522824
Montipora_capitata_HIv3___RNAseq.g23752.t1,-5.03332280767888
Montipora_capitata_HIv3___RNAseq.g6532.t1,5.00340328015302
Montipora_capitata_HIv3___RNAseq.g13613.t1,4.98943976892878
Montipora_capitata_HIv3___TS.g26100.t1,4.95128714746866
Montipora_capitata_HIv3___RNAseq.g8248.t1,4.88111192130937
Montipora_capitata_HIv3___RNAseq.g41254.t1,-4.8677875565736
Montipora_capitata_HIv3___RNAseq.g49215.t2,4.86509741422635
Montipora_capitata_HIv3___RNAseq.g25137.t1,4.83458341318783
Montipora_capitata_HIv3___TS.g26714.t1,4.7924586709848
Montipora_capitata_HIv3___TS.g48244.t1,-4.75563398431256
Montipora_capitata_HIv3___RNAseq.g44775.t1,-4.72784667320031
Montipora_capitata_HIv3___TS.g2560.t1,4.72237531490807
Montipora_capitata_HIv3___RNAseq.g6531.t1,4.70359651478669
Montipora_capitata_HIv3___TS.g44870.t1,4.65905047444347
Montipora_capitata_HIv3___RNAseq.g22747.t1,4.63154092652051
Montipora_capitata_HIv3___TS.g37848.t1,4.61131336372414
Montipora_capitata_HIv3___RNAseq.g3053.t1,-4.59977621530041
Montipora_capitata_HIv3___TS.g4186.t1,4.59201534333433
Montipora_capitata_HIv3___RNAseq.g15327.t1,4.58179075713405
Montipora_capitata_HIv3___RNAseq.g12989.t1,4.56630648493581
Montipora_capitata_HIv3___RNAseq.g50729.t2,-4.51293200512056
Montipora_capitata_HIv3___RNAseq.g29625.t1b,4.50233544162486
Montipora_capitata_HIv3___TS.g45729.t1,4.46564373993368
Montipora_capitata_HIv3___RNAseq.g47633.t1,-4.43560226672648
Montipora_capitata_HIv3___RNAseq.g33277.t1,4.42814839473203
Montipora_capitata_HIv3___RNAseq.g36521.t1,4.38547446154491
Montipora_capitata_HIv3___RNAseq.g21374.t1,4.38089652454053
Montipora_capitata_HIv3___RNAseq.g28234.t1,4.37583003839986
Montipora_capitata_HIv3___RNAseq.g21911.t1,4.35474123823485
Montipora_capitata_HIv3___RNAseq.g18598.t1,-4.33812464300653
Montipora_capitata_HIv3___RNAseq.g33271.t1,-4.33066432854797
Montipora_capitata_HIv3___RNAseq.g29808.t1,4.33343960267751
Montipora_capitata_HIv3___RNAseq.g34949.t1,-4.31937166437461
