"season","division","term","direction","pval","nseqs","cluster"
"summer","BP","cytoplasmic translation","down",2.09730530901093e-15,9,1
"summer","BP","oxidative phosphorylation","down",8.295546603277e-08,6,3
"summer","BP","response to topologically incorrect protein","down",5.68873341507808e-06,20,4
"summer","BP","G protein-coupled receptor signaling pathway","up",5.14674201321929e-05,24,2
"summer","BP","intraciliary transport involved in cilium assembly","down",0.00850282306541063,4,7
"summer","BP","folic acid metabolic process","up",0.00850282306541063,3,8
"summer","BP","cellular response to exogenous dsRNA","down",0.0275895827856889,3,9
"summer","BP","negative regulation of DNA-templated transcription, elongation","up",0.0384774290500155,0,5
"summer","BP","response to anoxia","up",0.0424240061119037,1,6
"summer","MF","structural constituent of ribosome","down",6.34561226678742e-15,12,2
"summer","MF","oxidoreduction-driven active transmembrane transporter activity","down",3.70633775441269e-07,5,4
"summer","MF","actin binding","up",4.5082054460798e-05,8,3
"summer","MF","gated channel activity","up",0.00274882139006219,11,6
"summer","MF","oxidoreductase activity, acting on a sulfur group of donors","down",0.00434139031407272,7,7
"summer","MF","unfolded protein binding","down",0.00474263858155569,4,9
"summer","MF","nucleoside-triphosphatase regulator activity","up",0.00502085083404883,29,5
"summer","MF","tumor necrosis factor receptor superfamily binding","up",0.00900265726999907,4,8
"summer","MF","metalloaminopeptidase activity","up",0.0267913075782913,2,10
"summer","MF","DNA-binding transcription factor activity","up",0.028862070904121,26,1
"summer","CC","cytosolic ribosome","down",1.05725703599672e-13,13,6
"summer","CC","plasma membrane region","up",1.57460448901362e-10,40,7
"summer","CC","respiratory chain complex","down",2.7379967496192e-08,6,4
"summer","CC","endoplasmic reticulum protein-containing complex","down",1.68763557695925e-05,12,5
"summer","CC","peptidase complex","down",9.52579632017596e-05,5,1
"summer","CC","myosin complex","up",0.000448576758093631,5,2
"summer","CC","spliceosomal tri-snRNP complex","down",0.00156942242722719,2,3
"summer","CC","intraciliary transport particle","down",0.00284062354190077,3,8
"summer","CC","transferase complex, transferring phosphorus-containing groups","up",0.018604577676941,10,9
"winter","BP","cell projection assembly","down",5.34746855318793e-07,20,1
"winter","BP","ribonucleoprotein complex biogenesis","up",5.34746855318793e-07,9,2
"winter","BP","nucleoside triphosphate metabolic process","up",1.22711675066023e-05,6,4
"winter","BP","protein folding","up",0.000462419062729821,12,6
"winter","BP","DNA metabolic process","up",0.00297687313877448,19,5
"winter","BP","leukocyte migration","down",0.019642935612385,1,7
"winter","BP","aminoglycan catabolic process","down",0.0224191216950655,4,3
"winter","MF","gated channel activity","down",3.82091176150046e-06,12,10
"winter","MF","dynein light intermediate chain binding","down",5.51551095624479e-06,7,4
"winter","MF","RNA binding","up",6.24424538760489e-06,27,2
"winter","MF","oxidoreduction-driven active transmembrane transporter activity","up",1.07081328899816e-05,1,7
"winter","MF","ATPase regulator activity","up",0.000148096737236434,4,3
"winter","MF","actin binding","down",0.00186497399877861,3,5
"winter","MF","guanylate cyclase activity","down",0.00240145448703458,0,8
"winter","MF","single-stranded DNA binding","up",0.00508337969679988,2,1
"winter","MF","protein serine/threonine kinase activity","down",0.0173007412741651,9,9
"winter","MF","neurotransmitter:sodium symporter activity","down",0.0396202213700116,1,11
"winter","MF","antigen binding","down",0.0450104605392693,0,6
"winter","MF","acetyltransferase activity","up",0.0471374477666191,1,13
"winter","CC","mitochondrial envelope","up",8.99491343596838e-12,25,4
"winter","CC","cilium","down",9.69737669587398e-11,24,5
"winter","CC","anchoring junction","down",2.94001810378207e-08,15,2
"winter","CC","ribonucleoprotein complex","up",2.63524578706219e-05,22,3
"winter","CC","guanylate cyclase complex, soluble","down",0.000681544495262317,0,6
"winter","CC","histone deacetylase complex","down",0.0121626981092022,3,1
