"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
348 0.382014784985451 -1 33 "GO:0000002" "obsolete mitochondrial genome maintenance" 0.764573750576294
894 0.240017916106363 2 9 "GO:0000012" "single strand break repair" 0.654767640716609
363 0.235528071169577 2 56 "GO:0000018" "regulation of DNA recombination" 0.649103153909422
655 0.447679697552655 3 7 "GO:0000019" "regulation of mitotic recombination" 0.810345239708168
1204 0.0803907631940948 3 11 "GO:0000022" "mitotic spindle elongation" 0.445477844883744
-861 0.0547488561341841 2 26 "GO:0000027" "ribosomal large subunit assembly" 0.386825558382137
-2254 4.73722654302505e-05 3 17 "GO:0000028" "ribosomal small subunit assembly" 0.00494841601063657
2 0.997566219264999 2 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.999725553626705
7 0.977259146546684 3 96 "GO:0000041" "transition metal ion transport" 0.996500437118558
-289 0.418139619489846 6 41 "GO:0000045" "autophagosome assembly" 0.789419733113724
-434 0.615224248907036 4 7 "GO:0000050;GO:0019627;GO:0071941" "urea cycle" 0.885194168162306
1052 0.192726432598116 6 8 "GO:0000052" "citrulline metabolic process" 0.60661783818467
-606 0.338598600398175 3 13 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.739743757258783
-440 0.585603527254118 2 8 "GO:0000055" "ribosomal large subunit export from nucleus" 0.869461347423736
-434 0.641403355720966 2 6 "GO:0000056" "ribosomal small subunit export from nucleus" 0.894729661227122
-376 0.462183127406032 -1 20 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.817924687185775
247 0.238513870057006 3 120 "GO:0000070" "mitotic sister chromatid segregation" 0.653749487768423
183 0.337787569433421 5 145 "GO:0000075" "cell cycle checkpoint signaling" 0.739743757258783
99 0.858854666460854 2 17 "GO:0000076" "DNA replication checkpoint signaling" 0.966194099619471
103 0.64594334450092 3 105 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 0.896574835739779
206 0.496295610520402 2 57 "GO:0000079;GO:1904029" "obsolete regulation of cyclin-dependent protein kinase activity" 0.832690867902036
420 0.0645458973419281 2 102 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.41221357166095
1301 0.0189126476672159 -1 17 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.249270825257395
404 0.120050001715357 2 78 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.518584060017126
225 0.539007053734746 4 39 "GO:0000096" "sulfur amino acid metabolic process" 0.845854643700443
702 0.205057087009931 2 17 "GO:0000097" "sulfur amino acid biosynthetic process" 0.620109606387348
-472 0.439261212813041 2 14 "GO:0000098" "sulfur amino acid catabolic process" 0.805274013572968
6 0.993512494989189 2 11 "GO:0000101;GO:0015811" "sulfur amino acid transport" 0.999725553626705
-1398 0.170893145494578 2 5 "GO:0000103" "sulfate assimilation" 0.580622056761731
138 0.193522036050453 3 495 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.608424853111724
17 0.958031761905462 3 50 "GO:0000132" "establishment of mitotic spindle orientation" 0.993530133951265
-228 0.578175509479869 2 31 "GO:0000154" "rRNA modification" 0.866030480617501
199 0.227794955930455 3 196 "GO:0000165" "MAPK cascade" 0.641978144880391
1402 0.169732422721312 6 5 "GO:0000183;GO:0140718" "facultative heterochromatin formation" 0.578539674729363
-1428 2.57495942087123e-08 2 80 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 9.0445449658102e-06
34 0.960405127435265 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.993828203420227
100 0.795724819167202 -1 35 "GO:0000186" "obsolete activation of MAPKK activity" 0.951443685075604
330 0.154798194626331 -1 98 "GO:0000187" "obsolete activation of MAPK activity" 0.56142022870647
-514 0.45502868315015 -1 11 "GO:0000188" "obsolete inactivation of MAPK activity" 0.814737672848621
132 0.425096704523899 2 196 "GO:0000209" "protein polyubiquitination" 0.794841351853954
439 0.131768308576518 2 62 "GO:0000212" "meiotic spindle organization" 0.538874660516023
183 0.0999134129960533 2 448 "GO:0000226" "microtubule cytoskeleton organization" 0.482935117437075
-1956 0.00135861119514629 4 14 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.056261354599318
-974 0.00352861231097779 3 47 "GO:0000245" "spliceosomal complex assembly" 0.0991540059384759
-290 0.622637056969565 3 15 "GO:0000266" "mitochondrial fission" 0.887289987331355
540 0.156629879473029 5 36 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 0.564120517684402
-175 0.701774835644718 3 25 "GO:0000272;GO:0044247" "polysaccharide catabolic process" 0.918912995415497
339 0.000306583641219726 3 641 "GO:0000278" "mitotic cell cycle" 0.0201285054165287
449 0.0424947536034703 2 108 "GO:0000281" "mitotic cytokinesis" 0.343923553069561
-130 0.665116808042195 2 58 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.903770946680396
871 0.0675938994452223 6 23 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.42021871115282
-1333 0.0985805384812597 2 8 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.481738877593646
-118 0.740216760213403 -1 41 "GO:0000291" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.931943590406592
9 0.992075416602988 3 6 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 0.999725553626705
370 0.0385600453504018 2 166 "GO:0000302" "response to reactive oxygen species" 0.333601377569671
-357 0.507694819613269 3 18 "GO:0000303" "response to superoxide" 0.835454698473463
-607 0.212703728907246 2 22 "GO:0000305" "response to oxygen radical" 0.625678623706145
61 0.94366187697139 2 7 "GO:0000320" "re-entry into mitotic cell cycle" 0.989809277884509
-1131 0.117468881109392 2 10 "GO:0000338" "protein deneddylation" 0.51547412563065
-527 4.11627548176915e-05 2 329 "GO:0000375;GO:0008380;GO:0000377;GO:0000398" "RNA splicing" 0.00451825550928567
-1214 0.0334942117164801 4 16 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.314735242770195
-179 0.538934184874063 2 62 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.845854643700443
-942 0.00840182575418359 3 41 "GO:0000387" "spliceosomal snRNP assembly" 0.163828887541145
