"cluster","term","pval","direction","nseqs","season","division"
2,"cytoplasmic translation",2.09730530901093e-15,"down",9,"summer","BP"
7,"oxidative phosphorylation",8.295546603277e-08,"down",6,"summer","BP"
10,"response to topologically incorrect protein",5.68873341507808e-06,"down",20,"summer","BP"
1,"ribonucleoprotein complex biogenesis",2.17015182738698e-05,"down",33,"summer","BP"
5,"G protein-coupled receptor signaling pathway",5.14674201321929e-05,"up",24,"summer","BP"
4,"muscle organ development",9.06056791342976e-05,"up",16,"summer","BP"
3,"response to acid chemical",0.000868580865518304,"up",25,"summer","BP"
8,"protein folding",0.0030796387057995,"down",16,"summer","BP"
16,"regulation of anatomical structure size",0.00452715660472554,"up",27,"summer","BP"
20,"intraciliary transport involved in cilium assembly",0.00850282306541063,"down",4,"summer","BP"
23,"folic acid metabolic process",0.00850282306541063,"up",3,"summer","BP"
12,"regulation of hormone levels",0.0114230928558294,"up",27,"summer","BP"
9,"cytoskeleton organization",0.0129397802500791,"up",40,"summer","BP"
11,"cAMP metabolic process",0.0250156849386773,"up",2,"summer","BP"
21,"cellular response to exogenous dsRNA",0.0275895827856889,"down",3,"summer","BP"
17,"negative regulation of DNA-templated transcription, elongation",0.0384774290500155,"up",0,"summer","BP"
18,"response to anoxia",0.0424240061119037,"up",1,"summer","BP"
22,"positive regulation of DNA-templated transcription initiation",0.0454308012620916,"down",2,"summer","BP"
6,"antigen processing and presentation of peptide antigen via MHC class I",0.0504784269841975,"down",4,"summer","BP"
15,"sphingolipid biosynthetic process",0.0666197612354982,"up",7,"summer","BP"
13,"glycoside metabolic process",0.0903298257568066,"up",2,"summer","BP"
