"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-96 0.745501693268541 3 40 "GO:0000118" "histone deacetylase complex" 0.855836291582044
-273 0.201922375385779 2 77 "GO:0000123" "histone acetyltransferase complex" 0.407619000778769
-268 0.592504727379902 2 14 "GO:0000124" "SAGA complex" 0.767886126684353
-163 0.753811555319079 5 13 "GO:0000137" "Golgi cis cisterna" 0.858470804651605
7 0.985358964554771 4 22 "GO:0000138" "Golgi trans cisterna" 0.993718487925381
-96 0.341191045115402 2 363 "GO:0000139" "Golgi membrane" 0.549979595111394
-299 0.0180268768133561 2 226 "GO:0000151" "ubiquitin ligase complex" 0.0768514222043076
137 0.713772471904432 3 25 "GO:0000152" "nuclear ubiquitin ligase complex" 0.844645758856586
-783 0.13131634400408 3 13 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.300681946694854
129 0.818926158133083 3 11 "GO:0000159" "protein phosphatase type 2A complex" 0.891872521798719
-342 0.509009754596868 3 13 "GO:0000164" "protein phosphatase type 1 complex" 0.712241996052373
160 0.740932573293506 2 15 "GO:0000176" "nuclear exosome (RNase complex)" 0.854267737340035
-18 0.973036634657395 5 12 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.986741375990598
180 0.659355499563748 3 21 "GO:0000178" "exosome (RNase complex)" 0.810744523182749
185 0.0710051938458533 2 350 "GO:0000228" "nuclear chromosome" 0.200922993939358
613 0.25590272256504 3 12 "GO:0000235" "astral microtubule" 0.464495698101249
-724 0.121334008687602 2 16 "GO:0000242" "pericentriolar material" 0.290631366100881
786 0.0194954330833083 7 31 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.0799559534049606
-301 0.237809728064998 3 54 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.44796716216895
-309 0.448779553808464 2 21 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.660929888336102
-245 0.459138170559125 5 32 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.671547370326087
699 0.123611667558423 2 17 "GO:0000322" "storage vacuole" 0.291946409159671
-83 0.382187924195565 2 415 "GO:0000323;GO:0005764" "lytic vacuole" 0.593903536879439
993 0.0396671882342354 2 15 "GO:0000324" "fungal-type vacuole" 0.131144581509105
1149 0.0215185835361411 4 14 "GO:0000329" "fungal-type vacuole membrane" 0.0850887066793365
-149 0.679084898421733 2 27 "GO:0000407" "phagophore assembly site" 0.827156041686622
-521 0.225203808905018 6 19 "GO:0000421" "autophagosome membrane" 0.435618113941647
312 0.0587373750623983 3 131 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.177858967478664
-1178 7.21813925191799e-06 3 51 "GO:0000502" "proteasome complex" 0.000146167319851339
372 0.0280361412579667 3 124 "GO:0000775" "chromosome, centromeric region" 0.102636434611707
467 0.0226823390458912 3 84 "GO:0000776" "kinetochore" 0.0880129083936377
955 0.00167506513236729 2 38 "GO:0000779" "condensed chromosome, centromeric region" 0.0118529781684855
591 0.0173457728101345 3 57 "GO:0000781" "chromosome, telomeric region" 0.0744374886156765
26 0.801442328242342 2 344 "GO:0000785" "chromatin" 0.882555766078041
306 0.540642047666096 3 14 "GO:0000786" "nucleosome" 0.736000098503425
-265 0.402042075312532 2 35 "GO:0000791" "euchromatin" 0.617353708062845
36 0.887576983831574 3 55 "GO:0000792" "heterochromatin" 0.935203065890829
486 0.00354846862274111 2 128 "GO:0000793" "condensed chromosome" 0.0218991206432023
281 0.207070656267048 2 71 "GO:0000794" "condensed nuclear chromosome" 0.415423483780332
629 0.132660100250065 3 20 "GO:0000795;GO:0099086" "synaptonemal complex" 0.301627175305411
1175 0.0468305015154665 2 10 "GO:0000796" "condensin complex" 0.151730824910111
157 0.6145890063942 2 36 "GO:0000803" "sex chromosome" 0.78294129524805
195 0.676899600724506 7 16 "GO:0000805" "X chromosome" 0.826759623504383
-321 0.568805387547458 2 11 "GO:0000812" "Swr1 complex" 0.752216104348475
-414 0.483505793685156 2 10 "GO:0000815" "ESCRT III complex" 0.693857196230942
284 0.129521821617914 2 101 "GO:0000922" "spindle pole" 0.298683773695403
-200 0.699384948442107 2 13 "GO:0000930" "gamma-tubulin complex" 0.837710622163559
-151 0.518793552680124 2 64 "GO:0000932" "P-body" 0.712241996052373
1523 0.00477323089712433 2 12 "GO:0000940" "outer kinetochore" 0.0281186692848779
-371 0.363232765244902 2 21 "GO:0000974" "Prp19 complex" 0.57548858650048
294 0.6195327064978 2 10 "GO:0001520" "outer dense fiber" 0.784096081661278
344 0.0876002695881876 2 87 "GO:0001650" "fibrillar center" 0.235539314079442
