"cluster","term","pval","direction","nseqs","season","division"
8,"cytosolic ribosome",1.05725703599672e-13,"down",13,"summer","CC"
11,"plasma membrane region",1.57460448901362e-10,"up",40,"summer","CC"
6,"respiratory chain complex",2.7379967496192e-08,"down",6,"summer","CC"
7,"endoplasmic reticulum protein-containing complex",1.68763557695925e-05,"down",12,"summer","CC"
1,"peptidase complex",9.52579632017596e-05,"down",5,"summer","CC"
10,"myosin complex",0.000448576758093631,"up",5,"summer","CC"
5,"spliceosomal tri-snRNP complex",0.00156942242722719,"down",2,"summer","CC"
12,"apical junction complex",0.00162042281806326,"up",4,"summer","CC"
18,"cell division site",0.00224773077378932,"up",5,"summer","CC"
16,"intraciliary transport particle",0.00284062354190077,"down",3,"summer","CC"
3,"spindle microtubule",0.00299663923053019,"up",5,"summer","CC"
13,"chromocenter",0.00482365404334028,"up",0,"summer","CC"
2,"transferase complex, transferring phosphorus-containing groups",0.018604577676941,"up",10,"summer","CC"
20,"dendrite terminus",0.0262172070307627,"up",3,"summer","CC"
19,"female germline ring canal",0.0392029667276249,"up",3,"summer","CC"
9,"COPI-coated vesicle",0.0411380841932404,"down",3,"summer","CC"
14,"extrinsic component of membrane",0.0647090194450025,"up",8,"summer","CC"
4,"chromosome, telomeric region",0.0772927636419603,"up",1,"summer","CC"
17,"nuclear pore outer ring",0.0840444308489045,"down",1,"summer","CC"
15,"phagocytic vesicle membrane",0.0905260203687586,"down",0,"summer","CC"
