"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-656 0.385268003023118 2 7 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.735276835799268
-4 0.99334327319605 3 19 "GO:0000030" "mannosyltransferase activity" 0.999711308742872
-646 0.0497016621588366 2 37 "GO:0000049" "tRNA binding" 0.336217126368601
369 0.433048079642141 2 18 "GO:0000062;GO:0120227" "acyl-CoA binding" 0.767342514003794
-22 0.970760431452315 4 11 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.997852086372187
-1627 0.0459494798831494 3 6 "GO:0000104;GO:0008177;GO:0016635" "oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor" 0.335934411759102
1200 0.00488122927036067 3 22 "GO:0000146" "microfilament motor activity" 0.0964626902755386
-3 0.988977711342498 3 89 "GO:0000149" "SNARE binding" 0.999711308742872
219 0.742736424039253 3 9 "GO:0000150" "DNA strand exchange activity" 0.909634598131141
65 0.419940527838283 3 685 "GO:0000166;GO:1901265;GO:0017076;GO:0097367" "carbohydrate derivative binding" 0.758134390916837
315 0.319539300656414 4 40 "GO:0000175;GO:0016896;GO:0004532" "RNA exonuclease activity" 0.712063561298826
-63 0.924856904985465 3 9 "GO:0000182" "rDNA binding" 0.985882317876126
875 0.012038980098749 4 33 "GO:0000217" "DNA secondary structure binding" 0.157327580835924
-929 0.298164477380933 4 5 "GO:0000268" "peroxisome targeting sequence binding" 0.699911088882488
235 0.204604966705624 3 118 "GO:0000287" "magnesium ion binding" 0.602812602281968
-1160 0.12450298407548 2 7 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.504290557146831
-326 0.45552166179586 2 21 "GO:0000339;GO:0000340" "RNA cap binding" 0.782848087765547
877 0.0705688160250725 2 17 "GO:0000400" "four-way junction DNA binding" 0.377318652078052
1769 0.0191341713248417 2 7 "GO:0000403" "Y-form DNA binding" 0.207970277245278
663 0.380208263681006 2 7 "GO:0000405" "bubble DNA binding" 0.731169737848088
-872 0.329034055235411 3 5 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.716856179218857
1250 0.161832359902774 4 5 "GO:0000822" "inositol hexakisphosphate binding" 0.55171145989221
1131 0.06048478762215 2 11 "GO:0000900" "mRNA regulatory element binding translation repressor activity" 0.353552725277066
270 0.00763323600620208 4 413 "GO:0000976;GO:0001067;GO:1990837;GO:0000977" "transcription regulatory region nucleic acid binding" 0.117042952095099
191 0.166536672723286 6 216 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.558671202589003
939 0.0603227563178431 6 16 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.353552725277066
297 0.00132813889855768 2 502 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.0424914648653487
189 0.485022463181029 -1 55 "GO:0000988;GO:0000989;GO:0001076" "obsolete transcription factor activity, protein binding" 0.793422237067117
