"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
480 0.112358724515315 -1 57 "GO:0000002;GO:0006271;GO:0022616;GO:0006273;GO:0032042;GO:0006264" "obsolete mitochondrial genome maintenance" 0.354875575449361
3 0.993065240278981 4 48 "GO:0000022;GO:0051231;GO:0051255;GO:0007096;GO:0040038" "regulation of exit from mitosis" 0.997681310358168
991 5.83716678273765e-05 7 86 "GO:0000027;GO:0042255;GO:0042273;GO:0000470" "ribosomal large subunit biogenesis" 0.00232757025461664
971 0.0786620717215483 4 17 "GO:0000028" "ribosomal small subunit assembly" 0.299795889163079
288 0.543751703418833 2 23 "GO:0000038;GO:0035336" "very long-chain fatty acid metabolic process" 0.802162506642405
212 0.272296729196138 2 141 "GO:0000041;GO:0006826;GO:0006879;GO:0046916;GO:0055072;GO:0055076" "transition metal ion transport" 0.572121465568513
746 0.0889654809025809 2 27 "GO:0000054;GO:0033750;GO:0071428;GO:0044766;GO:1902579" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 0.313028609675732
140 0.225811046205334 2 409 "GO:0000070;GO:0000819;GO:0098813;GO:0007059;GO:0007088;GO:0051783;GO:0051983;GO:0140014;GO:0007080;GO:0051310;GO:0050000;GO:0051303;GO:0033045;GO:1902099;GO:1905818;GO:0010965;GO:0030071;GO:0033047" "chromosome segregation" 0.527076027362206
-234 0.0677256401249162 5 328 "GO:0000075;GO:1901988;GO:0000077;GO:0031570;GO:0042770;GO:0006977;GO:0007093;GO:0045930;GO:1901991;GO:0030330;GO:0072331;GO:0031571;GO:0044773;GO:0044819;GO:0044774;GO:2000134;GO:1902807;GO:2000045;GO:1902806" "negative regulation of mitotic cell cycle" 0.278169260083883
-24 0.956658344605549 2 27 "GO:0000076;GO:0031573;GO:0033314" "DNA replication checkpoint signaling" 0.98549196532563
-153 0.612147875885364 2 57 "GO:0000079;GO:1904029;GO:0045737;GO:1904031" "obsolete regulation of cyclin-dependent protein kinase activity" 0.842914413269487
6 0.967867840598985 2 218 "GO:0000086;GO:0044839;GO:0010389;GO:1902749;GO:0022406;GO:0097711;GO:0140056" "regulation of cell cycle G2/M phase transition" 0.991502926462918
-116 0.753032165605528 3 38 "GO:0000096;GO:0000098;GO:0006534;GO:0006555;GO:0050667" "sulfur amino acid metabolic process" 0.913575019119121
-248 0.634575626302406 2 19 "GO:0000101;GO:0015804;GO:0015811" "neutral amino acid transport" 0.854133437934462
950 0.0166348391182329 2 33 "GO:0000154;GO:0031167;GO:0070475" "rRNA modification" 0.122555739952772
937 0.0729415328381874 -1 19 "GO:0000188;GO:0035970" "obsolete inactivation of MAPK activity" 0.288116592166704
-8 0.954003192359061 2 250 "GO:0000212;GO:0007051;GO:0007052;GO:1902850;GO:0051225;GO:0007143;GO:0090307" "spindle organization" 0.98549196532563
969 0.00134650710417262 2 57 "GO:0000245;GO:0006376;GO:0045292" "spliceosomal complex assembly" 0.0222173672188482
370 0.246925009278098 4 51 "GO:0000266;GO:0010635;GO:0090140;GO:0090141;GO:0098780;GO:1901524;GO:1903599;GO:1904923" "response to mitochondrial depolarisation" 0.547007485831342
120 0.34267876154663 2 339 "GO:0000281;GO:0061640;GO:0000910;GO:0051301" "cell division" 0.643026617255147
319 0.173825367394031 2 95 "GO:0000288;GO:0061157;GO:0050779;GO:0061014;GO:0000291;GO:0043928" "positive regulation of mRNA catabolic process" 0.457533926627126
574 0.0913989738224927 2 45 "GO:0000303;GO:0000305;GO:0071450;GO:0071451;GO:0001878;GO:0045730;GO:0006801" "response to oxygen radical" 0.318068428902275
486 8.36093366303148e-10 2 937 "GO:0000375;GO:0008380;GO:0006396;GO:0000377;GO:0000398;GO:0006397;GO:0016071;GO:0022618;GO:0071826;GO:0022613" "RNA processing" 1.60517026014931e-07
464 0.01325198078221 2 150 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:0050686;GO:0033119;GO:0048025" "regulation of mRNA processing" 0.109328841453233
615 0.0840568897891437 2 41 "GO:0000387;GO:0000244" "spliceosomal snRNP assembly" 0.306942648919066
362 0.360892425374148 2 33 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.652881003937731
746 0.00104487042151499 2 101 "GO:0000479;GO:0000460;GO:0000462;GO:0030490;GO:0000466;GO:0000469;GO:0000478;GO:0042274" "ribosomal small subunit biogenesis" 0.0204069590487724
45 0.950231582981829 2 10 "GO:0000491" "small nucleolar ribonucleoprotein complex assembly" 0.98549196532563
462 0.164443556248964 2 47 "GO:0000722;GO:0006312;GO:0016233;GO:0006278;GO:0007004;GO:0010833" "mitotic recombination" 0.44835465336256
86 0.772868280081569 -1 58 "GO:0000726;GO:0000729;GO:0006303" "obsolete non-recombinational repair" 0.920942430177432
