"cluster","term","pval","direction","nseqs","season","division"
1,"cell projection assembly",5.34746855318793e-07,"down",20,"winter","BP"
2,"ribonucleoprotein complex biogenesis",5.34746855318793e-07,"up",9,"winter","BP"
4,"cell morphogenesis",9.4569680471028e-07,"down",38,"winter","BP"
7,"peptide biosynthetic process",2.73829754864818e-06,"up",14,"winter","BP"
9,"nucleoside triphosphate metabolic process",1.22711675066023e-05,"up",6,"winter","BP"
13,"regulation of locomotion",1.72416811388072e-05,"down",37,"winter","BP"
3,"positive regulation of cation channel activity",9.15397264185137e-05,"down",4,"winter","BP"
12,"protein folding",0.000462419062729821,"up",12,"winter","BP"
11,"nuclear transport",0.000917602060920445,"up",8,"winter","BP"
10,"DNA metabolic process",0.00297687313877448,"up",19,"winter","BP"
25,"regulation of protein depolymerization",0.00326565705808635,"down",1,"winter","BP"
22,"skeletal muscle cell differentiation",0.00396961283785957,"up",5,"winter","BP"
28,"regulation of small GTPase mediated signal transduction",0.00473810433341674,"down",4,"winter","BP"
17,"cytochrome complex assembly",0.00488753743300837,"up",3,"winter","BP"
23,"proton transmembrane transport",0.00824970907434705,"up",3,"winter","BP"
16,"regulation of body fluid levels",0.0150664455106475,"down",7,"winter","BP"
6,"bone morphogenesis",0.0181515341394715,"down",8,"winter","BP"
8,"aminoglycan catabolic process",0.0224191216950655,"down",4,"winter","BP"
30,"cuticle development",0.022434237073795,"down",3,"winter","BP"
24,"mushroom body development",0.0283561841618166,"down",4,"winter","BP"
33,"distal tubule development",0.0348456814404019,"down",1,"winter","BP"
15,"somatic muscle development",0.047842168162125,"down",5,"winter","BP"
18,"multicellular organismal response to stress",0.0492270669129035,"down",4,"winter","BP"
31,"regulation of defense response to virus",0.0519267313722038,"up",6,"winter","BP"
27,"positive regulation of ATP-dependent activity",0.05809758576478,"up",4,"winter","BP"
26,"cardiolipin metabolic process",0.0619506222297299,"up",1,"winter","BP"
29,"germ cell proliferation",0.0634897783022636,"down",0,"winter","BP"
19,"photoperiodism",0.0785649280291979,"up",2,"winter","BP"
14,"segment specification",0.0919775875487184,"down",0,"winter","BP"
32,"cellular response to dexamethasone stimulus",0.0927618150338836,"up",3,"winter","BP"
5,"retina homeostasis",0.0935052424024547,"down",4,"winter","BP"
