"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-937 0.00151445109045335 3 40 "GO:0000118" "histone deacetylase complex" 0.0134812244876638
-230 0.228732862800871 2 96 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.420905964744226
-37 0.941518451403275 5 14 "GO:0000124" "SAGA complex" 0.968572755749362
-329 0.524831709528971 3 13 "GO:0000137" "Golgi cis cisterna" 0.718443407251549
-298 0.453311165819095 3 22 "GO:0000138" "Golgi trans cisterna" 0.662986037305452
59 0.488961348749062 5 520 "GO:0000139;GO:0098791;GO:0044431" "obsolete Golgi apparatus part" 0.694758372114965
31 0.805044719251655 2 229 "GO:0000151;GO:0031461" "ubiquitin ligase complex" 0.892506367762946
357 0.33910957619429 2 25 "GO:0000152;GO:0005680" "nuclear ubiquitin ligase complex" 0.556807538462833
-270 0.601055346362218 2 13 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.77391592926443
-156 0.781343940121719 5 11 "GO:0000159" "protein phosphatase type 2A complex" 0.879256714573062
-35 0.938499679948938 2 17 "GO:0000164;GO:0042587" "protein phosphatase type 1 complex" 0.968572755749362
550 0.125583614933729 3 27 "GO:0000176;GO:0000178;GO:1905354" "exoribonuclease complex" 0.292160845104893
1085 0.0436798525809931 2 12 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.154427195345401
-59 0.510493561431953 2 461 "GO:0000228;GO:0000785;GO:0044454" "nuclear chromosome" 0.713511412977442
-242 0.603275223257351 2 16 "GO:0000242" "pericentriolar material" 0.77391592926443
542 0.0332731701217358 4 54 "GO:0000313;GO:0005761;GO:0000315;GO:0005762" "mitochondrial ribosome" 0.122456175284093
625 0.124340501351116 5 21 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.292160845104893
-88 0.846254046792531 3 17 "GO:0000322;GO:0000324;GO:0000329" "storage vacuole" 0.913384776465977
-11 0.901181611060055 2 489 "GO:0000323;GO:0005773;GO:0005764;GO:0044437" "vacuole" 0.945534102229175
452 0.199451329227457 2 28 "GO:0000407" "phagophore assembly site" 0.394509457370609
