"cluster","term","pval","direction","nseqs","season","division"
5,"mitochondrial envelope",8.99491343596838e-12,"up",25,"winter","CC"
2,"cilium",9.69737669587398e-11,"down",24,"winter","CC"
3,"anchoring junction",2.94001810378207e-08,"down",15,"winter","CC"
4,"cell surface",6.32609940850549e-06,"down",25,"winter","CC"
6,"ribonucleoprotein complex",2.63524578706219e-05,"up",22,"winter","CC"
11,"guanylate cyclase complex, soluble",0.000681544495262317,"down",0,"winter","CC"
14,"protein folding chaperone complex",0.00119048479082116,"up",1,"winter","CC"
10,"supramolecular fiber",0.0019818533600226,"down",15,"winter","CC"
8,"membrane coat",0.00406196618554483,"up",2,"winter","CC"
9,"ribosome",0.00628629279514612,"up",7,"winter","CC"
7,"nucleolus",0.00782330274627072,"up",16,"winter","CC"
1,"histone deacetylase complex",0.0121626981092022,"down",3,"winter","CC"
13,"centriolar satellite",0.0206889611470436,"down",0,"winter","CC"
12,"extrinsic component of plasma membrane",0.0212103637873124,"down",3,"winter","CC"
15,"ciliary membrane",0.0991584709794922,"down",2,"winter","CC"
