"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-287 0.702472772417007 4 7 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.908757934133886
704 0.122520666588037 5 19 "GO:0000030" "mannosyltransferase activity" 0.421615235023539
699 0.032646575796563 2 37 "GO:0000049" "tRNA binding" 0.229596410110255
735 0.11655257362391 3 18 "GO:0000062;GO:0120227" "acyl-CoA binding" 0.410967567819102
-974 0.103929595697201 4 11 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.392671940354513
395 0.656381950273861 5 5 "GO:0000104;GO:0008177" "succinate dehydrogenase (quinone) activity" 0.884569183248648
-980 0.0207488749283812 2 22 "GO:0000146" "microfilament motor activity" 0.174534653809324
191 0.3609375297282 3 91 "GO:0000149" "SNARE binding" 0.713655313535113
921 0.164045760748957 3 9 "GO:0000150" "DNA strand exchange activity" 0.478775012005428
45 0.60422875952357 2 559 "GO:0000166;GO:1901265" "nucleoside phosphate binding" 0.854931542489136
592 0.0598240903282325 4 40 "GO:0000175;GO:0016896;GO:0004532" "RNA exonuclease activity" 0.323502538875778
44 0.946917216328432 3 9 "GO:0000182" "rDNA binding" 0.980866842158366
1096 0.00154942745038651 3 33 "GO:0000217" "DNA secondary structure binding" 0.0311580176351162
-113 0.898974277413216 4 5 "GO:0000268" "peroxisome targeting sequence binding" 0.970807063394472
96 0.6039881025335 2 118 "GO:0000287" "magnesium ion binding" 0.854931542489136
425 0.570797496251413 6 7 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.833962431951263
738 0.088652347409999 3 21 "GO:0000339" "RNA cap binding" 0.36063037634168
430 0.371766714115001 2 17 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.720441467198667
1093 0.0277591206318464 4 16 "GO:0000400" "four-way junction DNA binding" 0.207384842743289
1777 0.0282766960611523 4 6 "GO:0000403" "Y-form DNA binding" 0.20915004500404
1962 0.0154904464804244 2 6 "GO:0000405" "bubble DNA binding" 0.148777646420196
