"cluster","term","pval","direction","nseqs","season","division"
1,"cytoplasmic translation",2.09730530901093e-15,"down",9,"summer","BP"
4,"oxidative phosphorylation",8.295546603277e-08,"down",6,"summer","BP"
5,"response to topologically incorrect protein",5.68873341507808e-06,"down",20,"summer","BP"
2,"G protein-coupled receptor signaling pathway",5.14674201321929e-05,"up",24,"summer","BP"
9,"intraciliary transport involved in cilium assembly",0.00850282306541063,"down",4,"summer","BP"
10,"cellular response to exogenous dsRNA",0.0275895827856889,"down",3,"summer","BP"
7,"negative regulation of DNA-templated transcription, elongation",0.0384774290500155,"up",0,"summer","BP"
8,"response to anoxia",0.0424240061119037,"up",1,"summer","BP"
11,"positive regulation of DNA-templated transcription initiation",0.0454308012620916,"down",2,"summer","BP"
3,"antigen processing and presentation of peptide antigen via MHC class I",0.0504784269841975,"down",4,"summer","BP"
6,"sphingolipid biosynthetic process",0.0666197612354982,"up",7,"summer","BP"
