"cluster","term","pval","direction","nseqs","season","division"
1,"cell projection assembly",5.34746855318793e-07,"down",20,"winter","BP"
2,"ribonucleoprotein complex biogenesis",5.34746855318793e-07,"up",9,"winter","BP"
4,"peptide biosynthetic process",2.73829754864818e-06,"up",14,"winter","BP"
6,"nucleoside triphosphate metabolic process",1.22711675066023e-05,"up",6,"winter","BP"
3,"regulation of locomotion",1.72416811388072e-05,"down",37,"winter","BP"
8,"protein folding",0.000462419062729821,"up",12,"winter","BP"
7,"DNA metabolic process",0.00297687313877448,"up",19,"winter","BP"
11,"skeletal muscle cell differentiation",0.00396961283785957,"up",5,"winter","BP"
5,"aminoglycan catabolic process",0.0224191216950655,"down",4,"winter","BP"
14,"distal tubule development",0.0348456814404019,"down",1,"winter","BP"
12,"germ cell proliferation",0.0634897783022636,"down",0,"winter","BP"
9,"photoperiodism",0.0785649280291979,"up",2,"winter","BP"
13,"cellular response to dexamethasone stimulus",0.0927618150338836,"up",3,"winter","BP"
