gene,signed_logP
SCF082_s2_g130,-26.596564524467
SCF082_s1669_g29174,7.71049484081011
SCF082_s1147_g23818,7.31973747057107
SCF082_s188_g6783,6.75845576065952
SCF082_s668_g17023,6.95621517810728
SCF082_s669_g17043,6.74773249729474
SCF082_s2419_g34880,-6.90489347078932
SCF082_s2481_g35285,6.84267962537215
SCF082_s831_g19605,6.60332099605351
SCF082_s940_g21138,6.57439283508661
SCF082_s1752_g29894,6.48003706287778
SCF082_s2714_g36669,6.36458570699555
SCF082_s1191_g24364,6.27760607623909
SCF082_s326_g10224,6.17910836871694
SCF082_s2970_g38094,-6.14263714352469
SCF082_s106_g4393,6.10223959129339
SCF082_s3688_g41187,-6.0669290503824
SCF082_s509_g14043,5.98980443521523
SCF082_s1640_g28950,5.98536325055004
SCF082_s2452_g35105,5.90259159305043
SCF082_s5541_g44494,5.8593270116292
SCF082_s3687_g41185,-5.73425217038452
SCF082_s2052_g32277,5.63968685693197
SCF082_s2772_g37083,5.64746672913328
SCF082_s2927_g37879,5.630014136066
SCF082_s838_g19720,5.59788769840895
SCF082_s1639_g28938,-5.55366830688202
SCF082_s2714_g36670,5.56083316749677
SCF082_s3231_g39380,5.55627220445513
SCF082_s77_g3431,5.5121247268288
SCF082_s171_g6311,-5.47040090741994
SCF082_s178_g6533,5.49229701865277
SCF082_s597_g15701,5.47508604916995
SCF082_s887_g20444,5.46938914838872
SCF082_s1634_g28896,-5.49705613977335
SCF082_s1379_g26483,-5.30897539676864
SCF082_s431_g12349,5.27420989648043
SCF082_s2955_g38022,5.28162936384475
SCF082_s1243_g24969,5.22531312336692
SCF082_s1308_g25717,5.21843140624433
SCF082_s234_g7964,5.19174780046293
SCF082_s604_g15813,-5.18491180543757
SCF082_s2451_g35100,5.16484265553982
SCF082_s432_g12367,5.13470818768028
SCF082_s997_g21893,5.12283461228126
SCF082_s1204_g24529,5.10934616036411
SCF082_s2087_g32565,5.11655082977493
SCF082_s355_g10830,5.0674045034804
SCF082_s373_g11195,5.06872227377449
SCF082_s534_g14519,5.08410368815366
SCF082_s995_g21859,5.04994374098517
SCF082_s490_g13663,5.03140283286705
SCF082_s376_g11257,5.01820236331187
SCF082_s936_g21080,5.01192490922147
SCF082_s145_g5558,4.94180680826468
SCF082_s2572_g35847,4.94303383645285
SCF082_s3197_g39202,4.95198591271728
SCF082_s179_g6562,4.91354292946331
SCF082_s2106_g32681,4.91783589974247
SCF082_s2702_g36613,4.92114388746177
SCF082_s4926_g43716,4.91129574829506
SCF082_s707_g17732,4.79383142699405
SCF082_s143_g5512,4.77233208455411
SCF082_s2954_g38018,4.76671998418669
SCF082_s536_g14548,4.75141827716496
SCF082_s933_g21037,4.72800847449226
SCF082_s1377_g26450,4.72707730486976
SCF082_s1725_g29635,4.71128276898438
SCF082_s251_g8498,4.68693268753584
SCF082_s664_g16950,4.69195894208939
SCF082_s2523_g35529,4.68408133364844
SCF082_s985_g21720,4.67701681764886
SCF082_s449_g12827,4.66262521631581
SCF082_s2830_g37428,-4.66324402810402
SCF082_s235_g7992,4.63349226405402
SCF082_s60_g2931,4.61184377085304
SCF082_s152_g5786,4.61002649664785
SCF082_s172_g6340,4.57031671613381
SCF082_s292_g9467,4.57080524049819
SCF082_s1611_g28732,4.52723823968395
SCF082_s1529_g27954,4.49146394918275
SCF082_s32311_g52799,-4.49617193846225
SCF082_s491_g13687,-4.46907558343614
SCF082_s47_g2415,4.44021857845952
SCF082_s785_g18881,4.44027978214106
SCF082_s787_g18916,4.44027978214106
SCF082_s7745_g46314,4.43480808789751
SCF082_s2017_g32035,4.3978170765459
SCF082_s2535_g35613,4.3860020684789
SCF082_s3076_g38680,4.38813594239436
SCF082_s173_g6361,4.37119835465903
SCF082_s204_g7242,-4.37482959717056
SCF082_s3761_g41412,4.36319884448114
SCF082_s1031_g22362,4.35176162299356
SCF082_s59_g2899,4.34125358381897
SCF082_s171_g6305,4.34225326093915
SCF082_s665_g16972,-4.33104831409566
SCF082_s767_g18644,4.33410102581277
SCF082_s2266_g33770,4.32108026134619
SCF082_s616_g16019,4.30317339604041
SCF082_s1379_g26480,4.29133239690437
SCF082_s2838_g37456,-4.29043466911718
SCF082_s234_g7963,4.28267656166553
SCF082_s71_g3208,4.25612537259348
SCF082_s546_g14778,4.25659158604882
SCF082_s1037_g22416,4.24473534284927
SCF082_s359_g10915,4.22461481824676
SCF082_s794_g19046,4.22107696374604
SCF082_s2992_g38221,4.22592618415848
SCF082_s701_g17647,4.20373980342892
SCF082_s2541_g35643,4.203560034495
SCF082_s2388_g34674,4.19796652945891
SCF082_s3377_g40003,4.18696338882996
SCF082_s1276_g25323,-4.18056866042874
SCF082_s825_g19500,4.17062921329172
SCF082_s631_g16343,4.16202345115849
SCF082_s2912_g37812,4.1611339828726
SCF082_s1540_g28048,-4.1532547661464
SCF082_s2350_g34377,4.14246454361472
SCF082_s796_g19089,4.13605090715958
SCF082_s68_g3139,-4.12569928219075
SCF082_s204_g7266,4.12611933036098
SCF082_s179_g6544,4.08782075263423
SCF082_s928_g20990,4.08343892629535
SCF082_s2217_g33433,4.0876002479102
SCF082_s2601_g36005,4.08397309272753
SCF082_s2604_g36021,4.08397309272753
SCF082_s533_g14498,4.06843511329544
SCF082_s4170_g42371,-4.06825812642897
SCF082_s875_g20302,-4.0609664429058
SCF082_s1004_g21999,4.06343665568098
SCF082_s3228_g39369,-4.05706053021121
SCF082_s2758_g36991,4.04674367952145
SCF082_s462_g13086,4.04144426492739
SCF082_s60_g2909,4.0241801213402
SCF082_s679_g17238,-4.03249626645403
SCF082_s1190_g24347,4.03075603604695
SCF082_s1249_g25023,4.02227788188596
SCF082_s1396_g26611,4.02252757135098
SCF082_s8366_g46675,4.02956333847579
SCF082_s3718_g41285,4.00931443384382
SCF082_s525_g14318,3.96961497966745
SCF082_s299_g9642,3.9459232857355
SCF082_s724_g17981,3.92770317370366
SCF082_s223_g7737,3.92183687117877
SCF082_s150_g5717,3.91077190383817
SCF082_s467_g13174,3.9101382324944
SCF082_s790_g18951,3.91153775312903
SCF082_s570_g15268,3.89556703420363
SCF082_s1291_g25494,-3.90045552396436
SCF082_s3046_g38510,3.89525330479667
SCF082_s176_g6437_i1,3.88729023599511
SCF082_s341_g10484,3.86587013419969
SCF082_s400_g11729,-3.86406370858636
SCF082_s4133_g42276,-3.86141181882267
SCF082_s28126_g52378,-3.86541394418749
SCF082_s530_g14445,3.85391881460682
SCF082_s1191_g24351,-3.85530794314245
SCF082_s19_g925,3.84096700460332
SCF082_s92_g3945,3.84396261219961
SCF082_s131_g5143,-3.84180219095111
SCF082_s153_g5809,-3.83864784109228
SCF082_s1153_g23882,3.82715246278302
SCF082_s1200_g24479,-3.823402958836
SCF082_s489_g13617,3.81683772485578
SCF082_s462_g13076,3.81242333437928
SCF082_s465_g13149,3.81016666812422
SCF082_s4826_g43566,-3.80168764927232
SCF082_s94_g3986,3.79839976683724
SCF082_s339_g10468,3.79453763493215
SCF082_s983_g21691,3.79399446556058
SCF082_s1210_g24602,-3.78959582676102
SCF082_s434_g12392,-3.78341542088376
SCF082_s436_g12437,-3.78341542088376
SCF082_s43_g2230,3.76751055560857
SCF082_s159_g5966,3.7676267480807
SCF082_s368_g11089,-3.76937778002914
SCF082_s501_g13920,3.75832928097982
SCF082_s595_g15683,-3.76398588258397
SCF082_s603_g15791,-3.76766782135379
SCF082_s1048_g22567,3.75780892448844
SCF082_s1102_g23288,-3.75666801457211
SCF082_s3112_g38834,-3.75961920855729
SCF082_s874_g20284,-3.75320221148402
SCF082_s531_g14469,3.75047437254199
SCF082_s513_g14125,3.74593185261273
SCF082_s958_g21386,3.74384027815385
SCF082_s288_g9368,3.72205002542664
SCF082_s989_g21774,-3.72118410718433
SCF082_s997_g21874,-3.72597848740465
SCF082_s1047_g22549,3.72833141069693
SCF082_s2689_g36539,3.72119896135865
SCF082_s4227_g42502,3.71988757054635
SCF082_s788_g18934,3.71618186905999
SCF082_s38480_g53257,-3.71331933330087
SCF082_s453_g12897,3.71100473453603
SCF082_s108_g4450,3.70268691555614
SCF082_s697_g17573,-3.69568316797657
SCF082_s1199_g24449,-3.69065023919449
SCF082_s35172_g53042,-3.68858842691772
SCF082_s1403_g26653,3.68086758240608
SCF082_s2452_g35104,3.67289707036392
SCF082_s21_g1048,3.66373009059165
SCF082_s206_g7297,3.66056996110484
SCF082_s1062_g22726,-3.66215492267803
SCF082_s20828_g51206,-3.66014743948337
SCF082_s37838_g53214,-3.66152142838526
SCF082_s77_g3423,-3.64880735191584
SCF082_s3390_g40073,3.64744950979478
SCF082_s93_g3967,3.6385720069281
SCF082_s78_g3460,-3.63520488610581
SCF082_s1388_g26544,3.63244806342625
SCF082_s6009_g44918,-3.62651446361466
SCF082_s1819_g30500,-3.62290255921222
SCF082_s261_g8667,3.60552649955573
SCF082_s137_g5315,3.59847804095712
SCF082_s35_g1953_i2,3.58876947831593
SCF082_s1454_g27185,3.58985252892148
SCF082_s3092_g38745,-3.59139609952497
SCF082_s935_g21062,3.58506754438804
SCF082_s1354_g26226,3.58182337818441
SCF082_s2705_g36622,3.58105707775496
