"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
143 0.739504636903838 3 22 "GO:0000001" "mitochondrion inheritance" 0.932239079250638
-669 0.0316718147526609 -1 42 "GO:0000002" "obsolete mitochondrial genome maintenance" 0.32397053409316
356 0.492903582762526 2 15 "GO:0000011" "vacuole inheritance" 0.843961551841739
27 0.890393449699899 7 106 "GO:0000018" "regulation of DNA recombination" 0.971914161457143
407 0.293407559766387 2 27 "GO:0000019" "regulation of mitotic recombination" 0.715601608643394
313 0.358949411890823 4 35 "GO:0000022;GO:0051231" "spindle elongation" 0.770050136512288
-767 0.00412101551074797 3 57 "GO:0000027" "ribosomal large subunit assembly" 0.151490247264892
-1307 8.0428824138353e-05 2 37 "GO:0000028" "ribosomal small subunit assembly" 0.0109166661686249
-383 0.282053113518943 6 32 "GO:0000038" "very long-chain fatty acid metabolic process" 0.705054969444834
447 0.0976254492774132 7 56 "GO:0000041" "transition metal ion transport" 0.500372267979655
-132 0.659918080228023 6 45 "GO:0000045;GO:1905037" "autophagosome organization" 0.907580243618353
323 0.594164165103876 2 11 "GO:0000050" "urea cycle" 0.881792057089646
84 0.794136826548325 5 39 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.947308729187874
76 0.86573130061316 2 20 "GO:0000055" "ribosomal large subunit export from nucleus" 0.965463189291188
-152 0.802838216553639 2 11 "GO:0000056" "ribosomal small subunit export from nucleus" 0.948346129526512
15 0.975821497432943 -1 17 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.992135361976372
326 0.0184076367189302 3 218 "GO:0000070;GO:0000819;GO:0140014" "mitotic nuclear division" 0.267775664216074
-110 0.412964258365295 5 232 "GO:0000075;GO:1901988" "negative regulation of cell cycle phase transition" 0.799986550840701
-372 0.346999113401304 3 26 "GO:0000076;GO:0033314" "DNA replication checkpoint signaling" 0.762490579821421
-491 0.182109647214208 2 30 "GO:0000079;GO:1904029" "obsolete regulation of cyclin-dependent protein kinase activity" 0.618591594341168
134 0.496517497857399 5 106 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.843961551841739
1039 0.0736802965634648 -1 12 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.464833735646422
15 0.935212932522485 2 119 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.983856089173084
1037 3.03531916350501e-05 2 66 "GO:0000096" "sulfur amino acid metabolic process" 0.00465723536000399
799 0.0191072461231557 4 35 "GO:0000097" "sulfur amino acid biosynthetic process" 0.269834234190326
698 0.229921603317038 2 12 "GO:0000103" "sulfate assimilation" 0.663988001723263
-132 0.341740161177379 3 217 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.757720226360132
39 0.882331041587758 2 58 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.970943371404018
150 0.780834463642622 2 14 "GO:0000147" "actin cortical patch assembly" 0.943401512099773
-349 0.267851960223046 2 41 "GO:0000154" "rRNA modification" 0.69554787904866
24 0.968043590937319 4 11 "GO:0000160" "phosphorelay signal transduction system" 0.990497486928906
-31 0.863136968905535 5 127 "GO:0000165" "MAPK cascade" 0.96545494873776
-352 0.498432565324392 3 15 "GO:0000183;GO:0140718" "rDNA heterochromatin formation" 0.843961551841739
-1126 3.3361745596477e-15 10 204 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 2.35467200419935e-12
12 0.97611050631396 -1 26 "GO:0000186" "obsolete activation of MAPKK activity" 0.992135361976372
-133 0.547909649532194 -1 84 "GO:0000187" "obsolete activation of MAPK activity" 0.859970218081256
-389 0.425836178073206 -1 17 "GO:0000188" "obsolete inactivation of MAPK activity" 0.809805851851152
-87 0.584518054841636 2 164 "GO:0000209" "protein polyubiquitination" 0.878287148925393
353 0.194942696534375 2 55 "GO:0000212" "meiotic spindle organization" 0.631504798700718
161 0.0897602551675768 2 482 "GO:0000226" "microtubule cytoskeleton organization" 0.492352729632777
162 0.74686469790326 2 16 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.935907569516251
-152 0.45366996757947 2 100 "GO:0000245" "spliceosomal complex assembly" 0.823984207713819
435 0.22939515834806 6 31 "GO:0000266" "mitochondrial fission" 0.663010248820888
421 0.0204342843978774 5 125 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 0.279175729299782
792 0.0240811417274431 2 33 "GO:0000272;GO:0009251" "polysaccharide catabolic process" 0.289485215426686
296 0.00255178052828542 2 449 "GO:0000280;GO:0048285" "organelle fission" 0.118489914267359
448 0.00353056664234912 2 176 "GO:0000281" "mitotic cytokinesis" 0.138437440898334
-500 0.389355785288865 2 12 "GO:0000282" "cellular bud site selection" 0.786326006608701
470 0.0252341841120403 2 93 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.296838119104634
305 0.399334270942503 2 31 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.794839617685332
1393 0.0286138094238634 2 10 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.312227199107849
706 0.0176137974892642 -1 46 "GO:0000291;GO:0043928" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.263385980252599
39 0.778716068818684 2 215 "GO:0000302" "response to reactive oxygen species" 0.943401512099773
967 0.111220242261502 2 11 "GO:0000303" "response to superoxide" 0.528454771179954
836 0.08705741233608 3 17 "GO:0000305" "response to oxygen radical" 0.485040914613241
-104 0.8641830318004 -1 11 "GO:0000335;GO:0000337;GO:0010529" "obsolete negative regulation of transposition, DNA-mediated" 0.965463189291188
-122 0.834363435970219 2 12 "GO:0000349" "generation of catalytic spliceosome for first transesterification step" 0.957436156732583
726 0.125954762388632 2 18 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.550704350165872
156 0.764286766023933 6 15 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.939049711879456
83 0.733880433809103 4 69 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.931477502030789
-386 0.19469718619626 2 46 "GO:0000387" "spliceosomal snRNP assembly" 0.631504798700718
651 0.182788137518675 2 17 "GO:0000389" "mRNA 3'-splice site recognition" 0.620074532673334
1155 0.0385232602358258 2 13 "GO:0000390" "spliceosomal complex disassembly" 0.352198407700076
521 0.137290634852604 3 33 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.561227949900515
-833 0.0428531980048364 3 24 "GO:0000394" "RNA splicing, via endonucleolytic cleavage and ligation" 0.36576282627533
-805 0.10980482244446 2 16 "GO:0000395" "mRNA 5'-splice site recognition" 0.526496220661005
-265 0.171055004760199 3 110 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.604933051177421
506 0.329999308283583 3 15 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.749211745933767
