"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
467 0.172504247832114 2 22 "GO:0000109" "nucleotide-excision repair complex" 0.543658170167232
-300 0.455112178567591 2 16 "GO:0000118;GO:0070603" "histone deacetylase complex" 0.750313912794359
-722 0.0716929529344922 4 16 "GO:0000123" "histone acetyltransferase complex" 0.375729058431782
297 0.288607626518862 2 33 "GO:0000131" "incipient cellular bud site" 0.633946620113092
160 0.719311966986617 5 13 "GO:0000137" "Golgi cis cisterna" 0.887403816114016
-426 0.235433993639288 5 20 "GO:0000138" "Golgi trans cisterna" 0.612895730437877
-44 0.63887606499247 3 315 "GO:0000139" "Golgi membrane" 0.850866759285426
193 0.65186430934048 5 14 "GO:0000144;GO:0000399;GO:0032161" "cleavage apparatus septin structure" 0.85500267617863
37 0.757100255502221 2 184 "GO:0000151" "ubiquitin ligase complex" 0.918552276861908
-840 0.0140758401399706 3 22 "GO:0000152" "nuclear ubiquitin ligase complex" 0.168335557592301
98 0.807777690916207 2 16 "GO:0000153;GO:0000835;GO:0000836;GO:0000839" "cytoplasmic ubiquitin ligase complex" 0.944825802149496
676 0.128676786888766 3 13 "GO:0000159" "protein phosphatase type 2A complex" 0.49992542497607
605 0.131158821675795 2 16 "GO:0000176;GO:0000177" "cytoplasmic exosome (RNase complex)" 0.501197458228093
752 0.0279267953683298 4 22 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.247956092209716
-511 0.290727942078334 2 11 "GO:0000221;GO:0033180" "vacuolar proton-transporting V-type ATPase, V1 domain" 0.633946620113092
161 0.0628505183093503 2 366 "GO:0000228;GO:0044454" "nuclear chromosome" 0.364032921851966
449 0.0888893628477236 8 37 "GO:0000235;GO:0005818" "aster" 0.422004566115273
-228 0.4683622923345 2 26 "GO:0000242" "pericentriolar material" 0.753286077451676
-439 0.189224612101024 4 23 "GO:0000243" "commitment complex" 0.55721418437789
-100 0.671796837251401 3 46 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.864108366736985
-300 0.391553732786013 3 21 "GO:0000313" "organellar ribosome" 0.693203889464059
-104 0.326478727738044 2 238 "GO:0000322;GO:0000324" "storage vacuole" 0.647321720742774
-33 0.655997703192722 2 503 "GO:0000323" "lytic vacuole" 0.85806842426548
-115 0.539208938704812 6 74 "GO:0000325" "plant-type vacuole" 0.788531410184669
7 0.957664503182082 5 148 "GO:0000329" "fungal-type vacuole membrane" 0.995020210753014
580 0.0209022275969131 2 41 "GO:0000331" "contractile vacuole" 0.214889567926159
228 0.476870958110859 2 25 "GO:0000407" "phagophore assembly site" 0.753286077451676
314 0.480772020708365 4 13 "GO:0000421" "autophagosome membrane" 0.755314756394375
39 0.841522769524613 4 70 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.952709767822639
-61 0.692235825455748 2 112 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.870493977933623
157 0.239074804108447 2 148 "GO:0000775" "chromosome, centromeric region" 0.612895730437877
193 0.240121032539225 2 97 "GO:0000776" "kinetochore" 0.612895730437877
276 0.187528290018197 2 59 "GO:0000779" "condensed chromosome, centromeric region" 0.555007969447795
269 0.153954758345027 3 73 "GO:0000781" "chromosome, telomeric region" 0.518360395408847
-1 0.992253944954607 2 305 "GO:0000785" "chromatin" 0.996350072633961
-704 0.145497574730529 3 11 "GO:0000791" "euchromatin" 0.513623968627048
-471 0.0223330185713722 3 61 "GO:0000792" "heterochromatin" 0.224897426346909
159 0.262130385899579 2 130 "GO:0000793;GO:0000794" "condensed chromosome" 0.616719874007771
293 0.249291078781728 3 40 "GO:0000795;GO:0099086" "synaptonemal structure" 0.616719874007771
231 0.552794402327682 2 17 "GO:0000800" "lateral element" 0.794462692055378
55 0.877678616017496 3 20 "GO:0000803" "sex chromosome" 0.952709767822639
131 0.795813459031448 2 10 "GO:0000805;GO:0046536" "X chromosome" 0.939490617468824
178 0.700954180882552 2 12 "GO:0000837;GO:1990112" "RQC complex" 0.874266775507828
209 0.229277024294624 2 86 "GO:0000922" "spindle pole" 0.608729777618922
144 0.403521972460383 4 88 "GO:0000932" "P-body" 0.701673222141794
664 0.0067749871524559 3 43 "GO:0000935;GO:0030428" "cell septum" 0.101798524906132
830 0.0730940489099371 2 12 "GO:0000940" "outer kinetochore" 0.375729058431782
309 0.254699406272386 2 35 "GO:0000974" "Prp19 complex" 0.616719874007771
-297 0.539652146584432 2 11 "GO:0001411" "hyphal tip" 0.788531410184669
233 0.537868250890418 2 18 "GO:0001518;GO:0034706;GO:0044299;GO:0071439" "voltage-gated sodium channel complex" 0.788531410184669
-341 0.150410590393437 2 46 "GO:0001650" "fibrillar center" 0.518360395408847
-209 0.291696501627952 7 66 "GO:0001669" "acrosomal vesicle" 0.633946620113092
1076 0.0338190853488683 2 10 "GO:0001673" "male germ cell nucleus" 0.275249777978289
-154 0.700420417681978 7 16 "GO:0001674;GO:0042585" "female germ cell nucleus" 0.874266775507828
-680 0.180089065275613 3 10 "GO:0001725;GO:0097517" "contractile actin filament bundle" 0.551816077171654
312 0.158153297976349 4 53 "GO:0001726" "ruffle" 0.523603574091189
694 0.0179875572484626 2 30 "GO:0001750" "photoreceptor outer segment" 0.197272248978075
290 0.323304200025155 2 30 "GO:0001891" "phagocytic cup" 0.647321720742774
329 0.325498044729465 2 23 "GO:0001917" "photoreceptor inner segment" 0.647321720742774
378 0.331071728307218 4 17 "GO:0001931;GO:0031254;GO:0097204;GO:1990753" "equatorial cell cortex" 0.647321720742774
101 0.814220685465487 2 14 "GO:0002199;GO:0005832" "chaperonin-containing T-complex" 0.948034993727025
-34 0.61758061246204 2 630 "GO:0005576" "extracellular region" 0.841872693515951
310 0.365253722511243 5 22 "GO:0005619;GO:0031160" "spore wall" 0.673236497243499
581 0.00315022934688417 3 67 "GO:0005628;GO:0042763;GO:0042764" "intracellular immature spore" 0.0710013229720817
148 0.116400677946621 2 306 "GO:0005635" "nuclear envelope" 0.479899979198695
-156 0.627001395456593 2 25 "GO:0005637" "nuclear inner membrane" 0.846596354234017
411 0.321233725334366 2 15 "GO:0005640" "nuclear outer membrane" 0.646883034522125
466 0.358105618937972 3 10 "GO:0005641" "nuclear envelope lumen" 0.664746276430851
250 0.253114622642354 2 54 "GO:0005643" "nuclear pore" 0.616719874007771
-746 0.0332565754054046 3 21 "GO:0005656;GO:0036387;GO:0031261" "DNA replication preinitiation complex" 0.275249777978289
-35 0.85403537547407 2 71 "GO:0005657;GO:0043596" "replication fork" 0.952709767822639
526 0.276847459215303 3 11 "GO:0005665" "RNA polymerase II, core complex" 0.621580885441255
120 0.79549694077343 2 12 "GO:0005666" "RNA polymerase III complex" 0.939490617468824
-339 0.0633640921994889 2 78 "GO:0005667" "transcription regulator complex" 0.364032921851966
-651 0.159898298660305 2 12 "GO:0005669" "transcription factor TFIID complex" 0.526406758510892
26 0.953411821224112 2 13 "GO:0005675;GO:0019908;GO:0032806" "nuclear cyclin-dependent protein kinase holoenzyme complex" 0.992361149622255
-558 0.163873850443716 2 16 "GO:0005677" "chromatin silencing complex" 0.530552908066395
-228 0.622133781352121 2 12 "GO:0005680" "anaphase-promoting complex" 0.843912953408201
66 0.508286768918502 2 271 "GO:0005681" "spliceosomal complex" 0.777160020282122
-51 0.848256762251755 2 37 "GO:0005682" "U5 snRNP" 0.952709767822639
-804 0.0962960861332521 2 11 "GO:0005683" "U7 snRNP" 0.440855519328795
-22 0.869048374198863 2 145 "GO:0005684" "U2-type spliceosomal complex" 0.952709767822639
-592 0.0402075874644578 2 31 "GO:0005685" "U1 snRNP" 0.295800887783843
-466 0.0521400967606341 2 45 "GO:0005686" "U2 snRNP" 0.339489963352573
-714 0.0368447137528867 4 22 "GO:0005687;GO:0034709;GO:0034719" "methylosome" 0.284092134989363
-371 0.185034040218877 2 33 "GO:0005689" "U12-type spliceosomal complex" 0.551816077171654
87 0.210925393739379 2 600 "GO:0005694;GO:0044427" "chromosome" 0.581962019730075
-271 0.418476098324862 2 23 "GO:0005697" "telomerase holoenzyme complex" 0.714947503260551
-184 0.393563421256377 3 56 "GO:0005700" "polytene chromosome" 0.693879788850199
124 0.694652035694628 2 26 "GO:0005703" "polytene chromosome puff" 0.871661869201396
-609 0.128820374012605 3 16 "GO:0005705" "polytene chromosome interband" 0.49992542497607
-261 0.478195257358402 2 19 "GO:0005721" "pericentric heterochromatin" 0.753286077451676
-882 0.000608163623791682 3 39 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 0.0209637578554074
-408 0.358463862375681 2 13 "GO:0005736" "RNA polymerase I complex" 0.664746276430851
-18 0.828719046580776 3 420 "GO:0005740;GO:0031966" "mitochondrial envelope" 0.952050325556882
166 0.272260298630288 2 114 "GO:0005741" "mitochondrial outer membrane" 0.616719874007771
-94 0.344477927516811 2 274 "GO:0005743;GO:0019866" "organelle inner membrane" 0.659686488643305
-828 0.102314999009764 3 10 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 0.454758340249574
81 0.792973057263917 -1 27 "GO:0005746;GO:0070469" "obsolete respirasome" 0.939490617468824
-845 0.0679073001565706 2 12 "GO:0005750;GO:0045275" "respiratory chain complex III" 0.375729058431782
212 0.633667715432421 2 13 "GO:0005753;GO:0045259;GO:0000275;GO:0045261;GO:0005754;GO:0045267" "proton-transporting ATP synthase complex" 0.850440907809458
-315 0.0687219293386595 3 87 "GO:0005758;GO:0031970" "organelle envelope lumen" 0.375729058431782
38 0.710096223502501 2 261 "GO:0005759" "mitochondrial matrix" 0.881602514772173
-59 0.88653085661463 2 15 "GO:0005761" "mitochondrial ribosome" 0.952709767822639
7 0.938711745163741 7 308 "GO:0005764" "lysosome" 0.982294790474915
69 0.651062911601525 5 113 "GO:0005765" "lysosomal membrane" 0.85500267617863
150 0.46094370069278 5 63 "GO:0005766;GO:0042582" "azurophil granule" 0.750313912794359
-219 0.477984730951265 2 27 "GO:0005767" "secondary lysosome" 0.753286077451676
70 0.357226469262436 2 486 "GO:0005768" "endosome" 0.664746276430851
102 0.446203524657297 8 146 "GO:0005769" "early endosome" 0.746563659163281
-82 0.540798161442935 2 145 "GO:0005770" "late endosome" 0.788531410184669
-135 0.681216469720625 9 24 "GO:0005771" "multivesicular body" 0.864108366736985
-154 0.0295689919057806 2 568 "GO:0005774;GO:0044437" "obsolete vacuolar part" 0.25861834711623
-59 0.727315049183927 2 92 "GO:0005775" "vacuolar lumen" 0.891435011244147
27 0.89597571519302 2 59 "GO:0005776" "autophagosome" 0.958105418071368
2 0.988660213071044 5 130 "GO:0005777;GO:0042579" "microbody" 0.996350072633961
