"cluster","term","pval","direction","nseqs","season","division"
2,"cytosolic ribosome",1.00000000000132e-15,"down",14,"summer","CC"
6,"external encapsulating structure",0.00235767829208677,"down",19,"summer","CC"
4,"plastid stroma",0.00520126474670774,"up",6,"summer","CC"
1,"cell pole",0.0196664688039386,"up",2,"summer","CC"
5,"I band",0.0480035477181755,"up",2,"summer","CC"
7,"methyltransferase complex",0.0480035477181755,"down",2,"summer","CC"
10,"ciliary base",0.0835425812345527,"down",1,"summer","CC"
3,"lipid droplet",0.0885095944731043,"up",1,"summer","CC"
9,"respiratory chain complex II (succinate dehydrogenase)",0.0928180612869516,"up",2,"summer","CC"
8,"DNA polymerase complex",0.09404172903417,"up",0,"summer","CC"
