"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
43 0.90983126819906 3 23 "GO:0000030" "mannosyltransferase activity" 0.966963529938404
386 0.0846369802652745 2 66 "GO:0000049" "tRNA binding" 0.470509479620825
986 0.0249213825770598 4 17 "GO:0000146" "microfilament motor activity" 0.242887716399984
-128 0.581467463135141 3 61 "GO:0000149" "SNARE binding" 0.847152894174838
456 0.0956501043093007 4 44 "GO:0000175;GO:0016896;GO:0004532" "RNA exonuclease activity" 0.476140592774975
495 0.172044538632741 2 25 "GO:0000217" "DNA secondary structure binding" 0.606813665812274
-86 0.589259789921766 6 133 "GO:0000287" "magnesium ion binding" 0.847152894174838
-186 0.630584687879058 2 22 "GO:0000295;GO:0015216;GO:0015215;GO:0005346" "nucleotide transmembrane transporter activity" 0.874807036258447
-558 0.0867281392294706 3 31 "GO:0000339" "RNA cap binding" 0.470509479620825
-839 0.0339391529286581 5 21 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.287210081658769
170 0.682746033816479 3 19 "GO:0000900" "mRNA regulatory element binding translation repressor activity" 0.888932577445779
-159 0.384975327972342 3 99 "GO:0000976;GO:0001067" "transcription regulatory region nucleic acid binding" 0.762071043968642
-171 0.431342389344338 2 70 "GO:0000977;GO:0000978;GO:0000987" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.781516700353222
-210 0.396753156852175 3 54 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.768395098131001
333 0.200222658882342 -1 49 "GO:0000988;GO:0000989" "obsolete transcription factor activity, protein binding" 0.639390283317668
-791 0.0211475867580807 3 28 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.227252638654296
-454 0.427763487784799 2 10 "GO:0001016" "RNA polymerase III transcription regulatory region sequence-specific DNA binding" 0.780985685532429
504 0.148657905405666 -1 27 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.569144557942593
-701 0.100930036272177 2 18 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.488068818259027
-987 0.00129508711060996 3 35 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.0547983733676839
684 0.191077454420625 -1 12 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.624924814699339
-591 0.302732608258841 3 10 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.714111413906743
-394 0.268408972633413 4 26 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.695079116706704
-82 0.721536516943628 3 62 "GO:0001664" "G protein-coupled receptor binding" 0.898686672843865
-18 0.937520367732998 2 64 "GO:0001671;GO:0060590" "ATPase regulator activity" 0.973468234593926
-402 0.146762451581186 2 43 "GO:0001727" "lipid kinase activity" 0.569144557942593
344 0.528478493120738 3 11 "GO:0001846;GO:0001848;GO:0001849" "opsonin binding" 0.839044568769776
-179 0.250256243087341 2 138 "GO:0001882;GO:0001883;GO:0005525;GO:0032561;GO:0019001;GO:0032549;GO:0032550" "guanyl nucleotide binding" 0.6782889835231
