"cluster","term","pval","direction","nseqs","season","division"
3,"structural constituent of ribosome",1e-15,"down",12,"summer","MF"
4,"ATP-dependent activity",0.000252214654488132,"up",21,"summer","MF"
6,"ligase activity",0.000846698198709877,"up",14,"summer","MF"
1,"mRNA binding",0.00968982726412338,"down",15,"summer","MF"
9,"phosphatidylinositol bisphosphate binding",0.0173596260499801,"up",0,"summer","MF"
7,"molecular function inhibitor activity",0.0269368319413956,"down",2,"summer","MF"
10,"phosphatidylinositol transfer activity",0.0302251073987561,"up",1,"summer","MF"
8,"calcium ion transmembrane transporter activity",0.0324354907951216,"up",2,"summer","MF"
5,"aspartic-type peptidase activity",0.0462268463173149,"down",4,"summer","MF"
11,"transferase activity, transferring nitrogenous groups",0.0805826996994505,"up",1,"summer","MF"
2,"protease binding",0.0812413589499975,"up",3,"summer","MF"
12,"ubiquitin-like protein binding",0.0922083526935671,"down",0,"summer","MF"
