"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-557 0.206240992122 2 21 "GO:0000001" "mitochondrion inheritance" 0.481365114286067
-73 0.817795212391383 -1 41 "GO:0000002" "obsolete mitochondrial genome maintenance" 0.92385830947337
-449 0.404923640110252 2 14 "GO:0000011" "vacuole inheritance" 0.675042940749578
131 0.507354565185885 2 106 "GO:0000018" "regulation of DNA recombination" 0.750630017781293
-321 0.40905485625978 3 27 "GO:0000019" "regulation of mitotic recombination" 0.678407094606298
331 0.325136015286226 2 36 "GO:0000022;GO:0051231" "spindle elongation" 0.613761198289391
-638 0.0172877154359277 2 57 "GO:0000027" "ribosomal large subunit assembly" 0.115121208627948
-1300 0.000111867275340887 2 36 "GO:0000028" "ribosomal small subunit assembly" 0.00482393519030947
-430 0.227862856938515 5 32 "GO:0000038" "very long-chain fatty acid metabolic process" 0.511678124272486
343 0.204372566061844 2 56 "GO:0000041" "transition metal ion transport" 0.479098323707528
188 0.533328975406373 2 45 "GO:0000045;GO:1905037" "autophagosome organization" 0.766442542246479
-892 0.125464592009905 3 12 "GO:0000050" "urea cycle" 0.372809073400861
-263 0.421379058877669 3 38 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.68853805554133
-43 0.924416100703653 2 20 "GO:0000055" "ribosomal large subunit export from nucleus" 0.971975878572136
-1309 0.0400984806650499 2 10 "GO:0000056" "ribosomal small subunit export from nucleus" 0.196110964912333
769 0.115845399551644 -1 17 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.354350633922676
63 0.650973373415686 3 219 "GO:0000070;GO:0000819;GO:0140014" "mitotic nuclear division" 0.840088265838637
-388 0.00394080509026177 2 232 "GO:0000075;GO:1901988" "negative regulation of cell cycle phase transition" 0.0478855216466172
-632 0.103494356953496 4 27 "GO:0000076" "DNA replication checkpoint signaling" 0.33707633563241
-249 0.499122387618156 3 30 "GO:0000079;GO:1904029" "obsolete regulation of cyclin-dependent protein kinase activity" 0.745001162759588
-72 0.716568159337274 2 106 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.873909854611258
383 0.510667438141365 -1 12 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.753344383995095
84 0.6524930394984 2 119 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.840821934280737
62 0.801999298017205 3 66 "GO:0000096" "sulfur amino acid metabolic process" 0.917829676730257
-173 0.612584701987141 2 35 "GO:0000097" "sulfur amino acid biosynthetic process" 0.820841557104659
-111 0.848328613564212 4 12 "GO:0000103" "sulfate assimilation" 0.938882765403068
-194 0.161717611090121 4 217 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.423580350233087
-458 0.0875034824376452 2 57 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.307853863224153
-494 0.359113408798977 3 14 "GO:0000147" "actin cortical patch assembly" 0.644436821316382
-353 0.27471562599219 2 39 "GO:0000154" "rRNA modification" 0.560204413787995
398 0.512648070100498 2 11 "GO:0000160" "phosphorelay signal transduction system" 0.754338917174309
285 0.112438705088387 2 128 "GO:0000165" "MAPK cascade" 0.350293622196067
1007 0.0530536529361725 3 15 "GO:0000183;GO:0140718" "facultative heterochromatin formation" 0.229998238679716
-1198 5.94017748724505e-17 3 204 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 3.50074459914975e-14
1685 2.06212638479944e-05 -1 26 "GO:0000186" "obsolete activation of MAPKK activity" 0.00130208551725908
715 0.00115017068273808 -1 85 "GO:0000187" "obsolete activation of MAPK activity" 0.0219838028873614
-474 0.332531832274975 -1 17 "GO:0000188" "obsolete inactivation of MAPK activity" 0.61878431905266
141 0.37677515954265 2 164 "GO:0000209" "protein polyubiquitination" 0.655776497214453
295 0.279830118064535 6 55 "GO:0000212" "meiotic spindle organization" 0.567010311763645
2 0.986345772948464 4 483 "GO:0000226" "microtubule cytoskeleton organization" 0.994208455460397
-1178 0.0194496863596175 2 16 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.124405314297592
-469 0.0208252668627045 2 100 "GO:0000245" "spliceosomal complex assembly" 0.130102727255341
227 0.531774144697488 2 31 "GO:0000266" "mitochondrial fission" 0.766442542246479
265 0.145138345386753 2 125 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 0.402832958624457
768 0.0288896288882767 2 33 "GO:0000272;GO:0009251" "polysaccharide catabolic process" 0.162148774204677
205 0.0373475224020817 2 449 "GO:0000280;GO:0048285" "organelle fission" 0.188676520904928
142 0.356426655337786 4 175 "GO:0000281" "mitotic cytokinesis" 0.641386591997156
-533 0.359915729273579 2 12 "GO:0000282" "cellular bud site selection" 0.644436821316382
-244 0.243891880063871 2 94 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.526894421879634
5 0.989234892777678 3 31 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.99558137063996
-1599 0.0121103193780284 3 10 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.0948930575389771
-385 0.1911112521791 -1 47 "GO:0000291;GO:0043928" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.46604785358986
-32 0.819088178789314 3 217 "GO:0000302" "response to reactive oxygen species" 0.92385830947337
222 0.714528942957418 2 11 "GO:0000303" "response to superoxide" 0.871833796513951
323 0.509356608236797 2 17 "GO:0000305" "response to oxygen radical" 0.752332901723189
-188 0.757541016636024 -1 11 "GO:0000335;GO:0000337;GO:0010529" "obsolete negative regulation of transposition, DNA-mediated" 0.892818681899792
-1708 0.00334285138954328 2 12 "GO:0000349" "generation of catalytic spliceosome for first transesterification step" 0.0429829909579092
-327 0.49153879156234 2 18 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.738475908305552
78 0.880265729315905 3 15 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.950809547411289
-700 0.00405519510989105 5 69 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.0486073556222873
-1013 0.000678905034274204 2 46 "GO:0000387" "spliceosomal snRNP assembly" 0.0156902496810038
-117 0.81098712458195 3 17 "GO:0000389" "mRNA 3'-splice site recognition" 0.922074106920185
-530 0.362631349920129 2 12 "GO:0000390" "spliceosomal complex disassembly" 0.646515961683215
-705 0.0449167550997149 2 33 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.209532514554871
-718 0.0813817698923304 3 24 "GO:0000394" "RNA splicing, via endonucleolytic cleavage and ligation" 0.297894346106915
-1238 0.0141147142625573 3 16 "GO:0000395" "mRNA 5'-splice site recognition" 0.102577582318005
-598 0.00200053795403053 2 110 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.0305568425749767
522 0.3158726995848 2 15 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.60707507248722
-776 0.01000824533602 6 45 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0838820363402828
582 0.127238004505684 6 28 "GO:0000459;GO:0000467;GO:0031125" "rRNA 3'-end processing" 0.374279114801695
-280 0.169452403281652 5 99 "GO:0000460;GO:0000466;GO:0000469" "maturation of 5.8S rRNA" 0.43608711645118
-695 0.000291807022901512 6 112 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.00881905669213458
-716 0.0141276251665352 2 48 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 0.102577582318005
