"cluster","term","pval","direction","nseqs","season","division"
1,"cytoplasmic translation",1e-15,"down",86,"winter","BP"
4,"protein-RNA complex organization",5.34110320377736e-11,"down",50,"winter","BP"
3,"monoatomic cation transport",8.20542138403829e-10,"up",59,"winter","BP"
14,"sporulation",3.473383987552e-06,"up",16,"winter","BP"
11,"cyclic nucleotide metabolic process",3.50922697317596e-06,"up",8,"winter","BP"
9,"lipid localization",5.17878270149896e-06,"up",16,"winter","BP"
12,"protein folding",5.18413561069487e-06,"down",42,"winter","BP"
15,"regulation of peptidase activity",0.000221870022282063,"down",14,"winter","BP"
23,"protein trimerization",0.00078910849735924,"down",11,"winter","BP"
8,"response to purine-containing compound",0.00177900404064614,"up",18,"winter","BP"
6,"meiotic cell cycle",0.00486351249873019,"up",46,"winter","BP"
22,"membrane protein proteolysis",0.00786727495773479,"up",4,"winter","BP"
7,"supramolecular fiber organization",0.0111425213402919,"up",29,"winter","BP"
19,"response to cadmium ion",0.015441655963492,"down",19,"winter","BP"
17,"pollen germination",0.0174117596825587,"up",3,"winter","BP"
10,"response to amphetamine",0.0214321586138616,"up",1,"winter","BP"
13,"seedling development",0.0232041532243075,"down",7,"winter","BP"
16,"mononuclear cell proliferation",0.024271122989819,"down",5,"winter","BP"
18,"inflorescence development",0.024271122989819,"down",6,"winter","BP"
20,"mitochondrial protein catabolic process",0.024271122989819,"up",2,"winter","BP"
21,"mitochondrial respiratory chain complex assembly",0.0265538885140167,"down",2,"winter","BP"
2,"primary amino compound biosynthetic process",0.0276378144375392,"down",4,"winter","BP"
5,"peptidyl-proline modification",0.0305568425749777,"down",13,"winter","BP"
25,"non-proteinogenic amino acid biosynthetic process",0.0489753062665181,"down",4,"winter","BP"
