"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-444 0.196133446356727 2 22 "GO:0000109" "nucleotide-excision repair complex" 0.369563342652868
-368 0.392249237602164 3 14 "GO:0000118" "histone deacetylase complex" 0.577532797072533
-110 0.790639288824977 2 15 "GO:0000123" "histone acetyltransferase complex" 0.880826279945697
68 0.809560618537038 2 33 "GO:0000131" "incipient cellular bud site" 0.896791157774488
154 0.730812140816567 2 13 "GO:0000137" "Golgi cis cisterna" 0.834806850913271
-660 0.0668095834041955 2 20 "GO:0000138" "Golgi trans cisterna" 0.183804769365533
142 0.127788991683178 2 317 "GO:0000139" "Golgi membrane" 0.28050141089355
695 0.106147769727443 2 14 "GO:0000144;GO:0000399;GO:0032161" "cleavage apparatus septin structure" 0.250141816401589
-323 0.00711184814971775 2 186 "GO:0000151" "ubiquitin ligase complex" 0.0378867546884964
-229 0.505008655233362 2 22 "GO:0000152" "nuclear ubiquitin ligase complex" 0.669536361915724
-1316 0.00107408545622249 4 16 "GO:0000153;GO:0000835;GO:0000836;GO:0000839" "cytoplasmic ubiquitin ligase complex" 0.00909065893921184
-610 0.171401490872362 5 13 "GO:0000159" "protein phosphatase type 2A complex" 0.338186106569711
582 0.16133041780643 3 15 "GO:0000176;GO:0000177" "cytoplasmic exosome (RNase complex)" 0.327126729531377
373 0.287962484938617 4 21 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.476683661508558
-670 0.167324467396614 5 11 "GO:0000221;GO:0033180" "vacuolar proton-transporting V-type ATPase, V1 domain" 0.335663829708745
66 0.445203480564134 2 369 "GO:0000228;GO:0044454" "nuclear chromosome" 0.622647349905925
-49 0.853490989801085 2 37 "GO:0000235;GO:0005818" "aster" 0.921958422087862
-189 0.550236285856676 2 26 "GO:0000242" "pericentriolar material" 0.707101893666693
-119 0.722116081240451 5 23 "GO:0000243" "commitment complex" 0.829725536484126
1 0.998125387966043 3 46 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.998280053746647
-623 0.0759887322344443 4 21 "GO:0000313" "organellar ribosome" 0.194519793390992
240 0.0241260235057994 3 238 "GO:0000322;GO:0000324" "storage vacuole" 0.0965095840685698
164 0.0288129134738484 6 503 "GO:0000323" "lytic vacuole" 0.105990081963427
95 0.617568598310826 3 73 "GO:0000325" "plant-type vacuole" 0.765106128139839
128 0.337558072664772 2 148 "GO:0000329" "fungal-type vacuole membrane" 0.530034071594406
-550 0.0289392715258504 6 41 "GO:0000331" "contractile vacuole" 0.105990081963427
488 0.130024592518051 2 25 "GO:0000407" "phagophore assembly site" 0.281160188987372
517 0.246749614121677 2 13 "GO:0000421" "autophagosome membrane" 0.43034307700983
-145 0.452631686628467 2 70 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.631528972295909
-694 6.00101980779994e-06 3 112 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.000185084084598461
106 0.427746473680382 2 149 "GO:0000775" "chromosome, centromeric region" 0.611364472138302
26 0.873790933716942 2 98 "GO:0000776" "kinetochore" 0.932680304477465
25 0.904999955382024 3 60 "GO:0000779" "condensed chromosome, centromeric region" 0.948711938915682
63 0.7385248036646 2 74 "GO:0000781" "chromosome, telomeric region" 0.840635712233826
46 0.627093265914292 2 306 "GO:0000785" "chromatin" 0.772009776944906
814 0.0934237521482725 2 11 "GO:0000791" "euchromatin" 0.225293492834929
143 0.48924601331726 2 61 "GO:0000792" "heterochromatin" 0.654562017817156
65 0.644796716532744 2 132 "GO:0000793;GO:0000794" "condensed chromosome" 0.786638222639592
594 0.0183568784103565 2 41 "GO:0000795;GO:0099086" "synaptonemal structure" 0.0767173032415905
977 0.012289237963189 2 17 "GO:0000800" "lateral element" 0.0580765600518448
570 0.104759942264021 2 21 "GO:0000803" "sex chromosome" 0.249550106368765
866 0.0740113769222991 3 11 "GO:0000805;GO:0046536" "dosage compensation complex" 0.193629136500032
-1191 0.0103185042745845 2 12 "GO:0000837;GO:1990112" "RQC complex" 0.0495626516795616
-136 0.435701974718312 2 86 "GO:0000922" "spindle pole" 0.615232185987785
-356 0.0392887249405146 2 88 "GO:0000932" "P-body" 0.128621188911405
647 0.00779931830320247 2 44 "GO:0000935;GO:0030428" "cell septum" 0.0394000045316952
-214 0.645687687866286 2 12 "GO:0000940" "outer kinetochore" 0.786638222639592
-787 0.00385317015512709 2 35 "GO:0000974" "Prp19 complex" 0.0223560169396483
-1033 0.0421700117090325 2 10 "GO:0001411" "hyphal tip" 0.134209232215184
273 0.471361007653082 5 18 "GO:0001518;GO:0034706;GO:0044299;GO:0071439" "voltage-gated sodium channel complex" 0.643863754043604
144 0.546027019112363 2 46 "GO:0001650" "fibrillar center" 0.70478377356794
159 0.423312475561267 2 66 "GO:0001669" "acrosomal vesicle" 0.607992918330643
-487 0.33828113101759 7 10 "GO:0001673" "male germ cell nucleus" 0.530034071594406
-13 0.974582465056687 4 16 "GO:0001674;GO:0042585" "female germ cell nucleus" 0.984664352626239
