"cluster","term","pval","direction","nseqs","season","division"
3,"ribosome",1e-15,"down",77,"winter","CC"
6,"spliceosomal complex",3.03439679213055e-06,"down",33,"winter","CC"
5,"plasmodesma",1.95081574780234e-05,"down",64,"winter","CC"
8,"mitochondrial protein-containing complex",0.000253721667458742,"down",21,"winter","CC"
11,"neuron projection membrane",0.000253721667458742,"up",4,"winter","CC"
7,"enzyme activator complex",0.000273578096385256,"down",7,"winter","CC"
1,"endosome",0.000729512434441728,"up",42,"winter","CC"
2,"I band",0.00147769364016382,"up",15,"winter","CC"
9,"phragmoplast",0.00394676465178098,"up",1,"winter","CC"
12,"extrinsic component of membrane",0.00607631955290432,"up",9,"winter","CC"
13,"multi-eIF complex",0.00736174416240778,"down",6,"winter","CC"
15,"new mitotic spindle pole body",0.00821899900890147,"up",3,"winter","CC"
4,"lateral element",0.0580765600518458,"up",3,"winter","CC"
10,"axonemal central apparatus",0.0635604901170293,"up",3,"winter","CC"
14,"protein-DNA complex",0.082097908116457,"down",13,"winter","CC"
