"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-160 0.673512620179918 5 23 "GO:0000030" "mannosyltransferase activity" 0.804900846612204
174 0.434494824241807 2 67 "GO:0000049" "tRNA binding" 0.637122929437922
1102 0.0123553624500744 4 17 "GO:0000146" "microfilament motor activity" 0.0651290423724852
-413 0.0768093362353984 2 61 "GO:0000149" "SNARE binding" 0.230881659528706
86 0.753286139659129 2 44 "GO:0000175;GO:0016896;GO:0004532" "RNA exonuclease activity" 0.855149540848427
1039 0.00427266990121223 4 25 "GO:0000217" "DNA secondary structure binding" 0.0309086758811097
-174 0.273534651605437 2 133 "GO:0000287" "magnesium ion binding" 0.481874515781599
-236 0.54320609485843 6 22 "GO:0000295;GO:0015216;GO:0015215;GO:0005346" "nucleotide transmembrane transporter activity" 0.72117507877985
-326 0.318602868205976 2 31 "GO:0000339" "RNA cap binding" 0.530291241414449
-442 0.264499465068155 2 21 "GO:0000340" "RNA 7-methylguanosine cap binding" 0.470836744100381
-542 0.193101322311957 3 19 "GO:0000900" "mRNA regulatory element binding translation repressor activity" 0.390800295155151
183 0.318954584909573 2 99 "GO:0000976;GO:0001067" "transcription regulatory region nucleic acid binding" 0.530291241414449
90 0.678258173218237 2 70 "GO:0000977;GO:0000978;GO:0000987" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 0.805553428356733
-241 0.331680632945469 2 54 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.540870096889494
-342 0.188938717326392 -1 49 "GO:0000988;GO:0000989" "obsolete transcription factor activity, protein binding" 0.389328266005899
74 0.829320455135854 2 28 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.896562654200923
-332 0.563179625030781 2 10 "GO:0001016" "RNA polymerase III transcription regulatory region sequence-specific DNA binding" 0.730079860166187
-483 0.167173474285384 -1 27 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.366703104884068
-819 0.055668818227635 2 18 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.190639297058481
-434 0.15793833841862 3 35 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.353445802298193
-713 0.1736231030637 -1 12 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.374805428835924
811 0.157555713621654 2 10 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.353445802298193
144 0.686721210822366 3 26 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.810712540554182
-312 0.177640212615877 2 62 "GO:0001664" "G protein-coupled receptor binding" 0.377167491947331
-260 0.254220203863252 2 64 "GO:0001671;GO:0060590" "ATPase regulator activity" 0.459759943156945
451 0.10410442031511 5 43 "GO:0001727" "lipid kinase activity" 0.276527366462011
-1928 0.000427035101400019 2 11 "GO:0001846;GO:0001848;GO:0001849" "opsonin binding" 0.00569380135200025
-120 0.44151862006666 3 138 "GO:0001882;GO:0001883;GO:0005525;GO:0032561;GO:0019001;GO:0032549;GO:0032550" "guanyl nucleotide binding" 0.642227688784132
-844 0.107407231364746 2 12 "GO:0001965" "G-protein alpha-subunit binding" 0.280911220492413
-221 0.365074349008769 2 56 "GO:0002020" "protease binding" 0.566768306910246
-136 0.696649835664426 3 27 "GO:0002039" "p53 binding" 0.818831437844125
-492 0.36839939949166 3 11 "GO:0002161" "aminoacyl-tRNA deacylase activity" 0.566768306910246
-144 0.0942185458093602 3 479 "GO:0003677" "DNA binding" 0.260441508741321
886 0.000115438019158031 2 63 "GO:0003678" "DNA helicase activity" 0.00218049591742947
112 0.35422692847048 2 232 "GO:0003682" "chromatin binding" 0.562790447102632
-199 0.364699677369057 4 69 "GO:0003684" "damaged DNA binding" 0.566768306910246
82 0.781808650479912 2 38 "GO:0003688" "DNA replication origin binding" 0.871842342136749
32 0.803106810710631 4 209 "GO:0003690" "double-stranded DNA binding" 0.881635567148579
81 0.623520978037186 2 124 "GO:0003697" "single-stranded DNA binding" 0.76949957362121
-321 0.0660906489424281 2 110 "GO:0003700" "DNA-binding transcription factor activity" 0.210007669536687
-333 0.0660227861961401 2 102 "GO:0003712" "transcription coregulator activity" 0.210007669536687
-306 0.212665167149973 3 55 "GO:0003713" "transcription coactivator activity" 0.414361930263558
-635 0.0291932806662256 3 39 "GO:0003714" "transcription corepressor activity" 0.12330081275176
490 0.00086926677181399 2 156 "GO:0003724;GO:0008186" "ATP-dependent activity, acting on RNA" 0.0103702000847985
226 0.344009607426215 2 58 "GO:0003725" "double-stranded RNA binding" 0.554866192639077
-90 0.584767304085607 2 123 "GO:0003727" "single-stranded RNA binding" 0.741707213468799
-649 1.16968570640945e-14 2 507 "GO:0003729" "mRNA binding" 1.98846570089607e-12
-210 0.288072790326405 2 85 "GO:0003730" "mRNA 3'-UTR binding" 0.5009961570894
-1815 4.41427484153448e-44 2 200 "GO:0003735" "structural constituent of ribosome" 3.00170689224345e-41
-863 0.000351507403142154 2 57 "GO:0003743" "translation initiation factor activity" 0.00531166742525922
-251 0.389109662359805 2 39 "GO:0003746" "translation elongation factor activity" 0.589297484197478
-911 0.0960574439883814 2 11 "GO:0003747;GO:0008079" "translation termination factor activity" 0.261951129486258
-551 0.00403970192396048 3 91 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.0298586663944905
-619 0.0540998220425336 4 32 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.187693260147566
531 0.000562799979688272 1 142 "GO:0003774;GO:0003777;GO:0120544" "polypeptide conformation or assembly isomerase activity" 0.00722082992807594
100 0.561702451685562 2 113 "GO:0003779" "actin binding" 0.730079860166187
-1353 0.0039210483158427 2 15 "GO:0003785" "actin monomer binding" 0.0296256983863671
-52 0.927639917011374 2 10 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 0.954275450615344
1513 0.00840461430550149 2 10 "GO:0003843" "1,3-beta-D-glucan synthase activity" 0.0496968498064436
112 0.71968374383303 2 34 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.837852091203683
-184 0.532195743207532 5 38 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.712388002718744
484 0.258101233600341 5 18 "GO:0003904;GO:0003913" "deoxyribodipyrimidine photo-lyase activity" 0.463747216968032
-618 0.259151145323314 3 11 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.463747216968032
-443 0.241992378496578 4 23 "GO:0003916" "DNA topoisomerase activity" 0.452073674114486
-740 0.157871421583469 2 12 "GO:0003917" "DNA topoisomerase type I (single strand cut, ATP-independent) activity" 0.353445802298193
-604 0.00010451884818764 2 139 "GO:0003924" "GTPase activity" 0.0020903769637528
-150 0.765285535688995 2 13 "GO:0003950" "NAD+ poly-ADP-ribosyltransferase activity" 0.864442133336406
-253 0.54406296384421 3 19 "GO:0003993" "acid phosphatase activity" 0.72117507877985
661 0.249617986480746 3 10 "GO:0004017" "AMP kinase activity" 0.455067642913961
181 0.689565842571366 -1 16 "GO:0004033" "obsolete aldo-keto reductase (NADPH) activity" 0.812659918454989
1422 0.000175653060487181 2 23 "GO:0004112;GO:0004114" "cyclic-nucleotide phosphodiesterase activity" 0.00298610202828208
1694 0.000120538663658863 2 17 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 0.00221530516994667
-1051 0.0672517129627203 2 10 "GO:0004130" "cytochrome-c peroxidase activity" 0.210742694998386
689 0.155703628946837 2 14 "GO:0004143" "ATP-dependent diacylglycerol kinase activity" 0.353445802298193
1151 0.0177572683886127 2 14 "GO:0004144;GO:0016411" "acylglycerol O-acyltransferase activity" 0.0838537673906711
176 0.156598585180921 2 221 "GO:0004175" "endopeptidase activity" 0.353445802298193
842 0.0099408824558333 3 31 "GO:0004176" "ATP-dependent peptidase activity" 0.0558661162807161
-172 0.617214553913719 2 28 "GO:0004177" "aminopeptidase activity" 0.767286831190729
-352 0.31461541327549 3 27 "GO:0004180" "carboxypeptidase activity" 0.527684681701378
254 0.563664597922424 3 17 "GO:0004181" "metallocarboxypeptidase activity" 0.730079860166187
-1379 0.0162782126827041 2 10 "GO:0004185" "serine-type carboxypeptidase activity" 0.0791438009609077
393 0.221314869753468 2 32 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.422736268068422
351 0.0536771613298694 5 101 "GO:0004197" "cysteine-type endopeptidase activity" 0.187433458597756
784 0.0042635374777418 2 44 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.0309086758811097
91 0.722031360949056 2 51 "GO:0004222" "metalloendopeptidase activity" 0.837852091203683
501 0.151943890326738 2 27 "GO:0004252" "serine-type endopeptidase activity" 0.351434848374768
28 0.951986117934634 2 15 "GO:0004312" "fatty acid synthase activity" 0.966863128992913
-167 0.646320465605149 2 25 "GO:0004332;GO:0016832" "aldehyde-lyase activity" 0.78904473359336
-558 0.180874760785007 2 19 "GO:0004364" "glutathione transferase activity" 0.379613695474706
695 0.204151028132588 3 11 "GO:0004373;GO:0019863;GO:0019865" "IgE binding" 0.406618906467709
493 5.2811298159873e-05 3 230 "GO:0004386;GO:0120545;GO:0070035" "nucleic acid conformation isomerase activity" 0.00115844137899076
514 0.307690044108497 3 13 "GO:0004407;GO:0033558;GO:0019213" "deacetylase activity" 0.519179230753791
-801 0.163114976635739 2 10 "GO:0004430" "1-phosphatidylinositol 4-kinase activity" 0.36021629254302
205 0.482450304848952 2 39 "GO:0004497" "monooxygenase activity" 0.678262284852422
181 0.196691541168188 2 173 "GO:0004518" "nuclease activity" 0.394543504408165
126 0.48971638562652 4 101 "GO:0004519" "endonuclease activity" 0.682544420551548
-222 0.424222299040566 2 43 "GO:0004520" "DNA endonuclease activity" 0.626156311814862
177 0.570214744725735 2 34 "GO:0004521" "RNA endonuclease activity" 0.734324956415237
211 0.586821295362079 3 22 "GO:0004529;GO:0016895" "DNA exonuclease activity, producing 5'-phosphomonoesters" 0.741707213468799
-1586 0.00247839042127385 5 12 "GO:0004535" "poly(A)-specific ribonuclease activity" 0.0230863765269345
135 0.563366689691771 2 61 "GO:0004536" "DNA nuclease activity" 0.730079860166187
105 0.612859654518871 2 78 "GO:0004540" "RNA nuclease activity" 0.764393231960005
-173 0.721173768777187 2 14 "GO:0004550" "nucleoside diphosphate kinase activity" 0.837852091203683
461 0.00598886393081803 4 119 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.039321317310747
1105 0.00194244236479248 2 26 "GO:0004556;GO:0016160" "amylase activity" 0.019142910261723
1029 0.0340783441907343 5 14 "GO:0004559;GO:0015923;GO:0004571;GO:0015924" "mannosidase activity" 0.137936155057734
-1042 0.00346979583985722 3 26 "GO:0004601;GO:0016684" "peroxidase activity" 0.0274355950128245
-1716 0.000408149449946023 2 14 "GO:0004618;GO:0016774" "phosphotransferase activity, carboxyl group as acceptor" 0.00555083251926591
-323 0.150017157799993 2 66 "GO:0004620;GO:0016298" "lipase activity" 0.350555557745688
367 0.502400321293508 5 11 "GO:0004622;GO:0120558" "lysophospholipase activity" 0.690166097938556
-936 0.0156543782852664 3 22 "GO:0004623" "phospholipase A2 activity" 0.0788516832146752
246 0.653829599286218 6 11 "GO:0004629" "phospholipase C activity" 0.792573192136971
-1155 0.0442971182010954 3 10 "GO:0004634" "phosphopyruvate hydratase activity" 0.162821839874297
392 0.454370560451673 -1 12 "GO:0004652" "obsolete polynucleotide adenylyltransferase activity" 0.651839622588898
451 0.370689538629672 3 13 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 0.567722716820218
-823 0.151841842605805 2 10 "GO:0004659" "prenyltransferase activity" 0.351434848374768
464 1.20452328626875e-09 3 627 "GO:0004672;GO:0016773;GO:0004674" "phosphotransferase activity, alcohol group as acceptor" 7.44614395147955e-08
1316 0.00211497321183427 3 18 "GO:0004675;GO:0019199" "transmembrane receptor protein kinase activity" 0.020256081465455
326 0.0818848071550061 2 95 "GO:0004683" "calcium/calmodulin-dependent protein kinase activity" 0.240007193385363
345 0.548433534799168 6 10 "GO:0004686" "elongation factor-2 kinase activity" 0.722741867564795
1174 0.000133656007724055 2 35 "GO:0004690;GO:0004691" "cyclic nucleotide-dependent protein kinase activity" 0.00233041244236814
-100 0.719467537588506 5 43 "GO:0004693;GO:0097472" "cyclin-dependent protein serine/threonine kinase activity" 0.837852091203683
-183 0.660866176384798 5 19 "GO:0004707" "MAP kinase activity" 0.792573192136971
206 0.707106446164049 2 11 "GO:0004708" "MAP kinase kinase activity" 0.826172480054215
1448 0.000718578130339116 5 18 "GO:0004709" "MAP kinase kinase kinase activity" 0.00904876164130739
305 0.149996546482422 4 74 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.350555557745688
609 0.0418087090367587 2 37 "GO:0004713" "protein tyrosine kinase activity" 0.158826380698301
7 0.96720348150916 4 118 "GO:0004721" "phosphoprotein phosphatase activity" 0.975813601522595
-85 0.678797227130012 5 80 "GO:0004722" "protein serine/threonine phosphatase activity" 0.805553428356733
511 0.136992540079202 2 28 "GO:0004725" "protein tyrosine phosphatase activity" 0.329169354253913
-414 0.333255238073376 3 18 "GO:0004740;GO:0009927" "pyruvate dehydrogenase (acetyl-transferring) kinase activity" 0.542137707870564
-591 0.259152856540959 3 12 "GO:0004748;GO:0061731;GO:0016728;GO:0051063" "oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor" 0.463747216968032
73 0.85825072394626 4 20 "GO:0004791;GO:0047134" "protein-disulfide reductase [NAD(P)H] activity" 0.909050611033422
111 0.846777425822101 2 10 "GO:0004806" "triacylglycerol lipase activity" 0.905705512615005
-666 0.00539614370296994 3 58 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 0.0363304724556392
824 0.151294163756501 2 10 "GO:0004839" "ubiquitin activating enzyme activity" 0.351434848374768
36 0.756307995901884 3 253 "GO:0004842;GO:0019787;GO:0016755" "aminoacyltransferase activity" 0.857149062022135
-151 0.574899675039029 2 46 "GO:0004843;GO:0101005" "deubiquitinase activity" 0.737607130238754
-178 0.273031302133983 2 127 "GO:0004857;GO:0140678" "molecular function inhibitor activity" 0.481874515781599
-694 0.00601384852987896 4 52 "GO:0004860;GO:0019210" "kinase inhibitor activity" 0.039321317310747
-866 0.0853430026445551 2 13 "GO:0004864;GO:0019212" "phosphatase inhibitor activity" 0.245903566941938
1106 1.22135071180191e-06 2 64 "GO:0004888" "transmembrane signaling receptor activity" 4.37114991592262e-05
1088 0.00334478308939882 2 24 "GO:0004930" "G protein-coupled receptor activity" 0.0270768154856095
188 0.424497146686252 2 60 "GO:0005048" "signal sequence binding" 0.626156311814862
-89 0.853887065579773 2 14 "GO:0005080" "protein kinase C binding" 0.907255007178509
84 0.738736052744298 5 52 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.847117227430224
451 0.0573777677853121 3 59 "GO:0005096" "GTPase activator activity" 0.195084410470061
-225 0.0259173511770274 3 340 "GO:0005102" "signaling receptor binding" 0.110841501889174
-225 0.571261620505383 2 21 "GO:0005112" "Notch binding" 0.734324956415237
104 0.787940061180157 2 22 "GO:0005126" "cytokine receptor binding" 0.874060753022034
-930 0.00681483985201945 2 28 "GO:0005178" "integrin binding" 0.0437178405601248
-1045 5.80403512610905e-25 1 339 "GO:0005198" "structural molecule activity" 1.97337194287708e-22
-201 0.463101257498491 2 44 "GO:0005200" "structural constituent of cytoskeleton" 0.658805136190322
770 1.4016599587998e-08 2 184 "GO:0005216;GO:0005261" "monoatomic ion channel activity" 7.33175978449126e-07
174 0.684213842495655 6 18 "GO:0005217" "intracellularly ligand-gated monoatomic ion channel activity" 0.809157239820949
951 0.0696012147595825 7 12 "GO:0005227" "calcium-activated cation channel activity" 0.216113360897334
