"cluster","term","pval","direction","nseqs","season","division"
4,"structural constituent of ribosome",1e-15,"down",63,"winter","MF"
1,"ATP-dependent activity",2.32869085011382e-14,"up",69,"winter","MF"
3,"mRNA binding",1.98946570089607e-12,"down",92,"winter","MF"
22,"monoatomic ion transmembrane transporter activity",1.22949735168858e-11,"up",67,"winter","MF"
19,"phosphotransferase activity, alcohol group as acceptor",7.44614405147954e-08,"up",65,"winter","MF"
24,"ABC-type transporter activity",1.48801577224436e-05,"up",6,"winter","MF"
21,"transmembrane signaling receptor activity",4.37114991602262e-05,"up",12,"winter","MF"
13,"calcium ion binding",0.000103091231057308,"up",32,"winter","MF"
18,"protein kinase C inhibitor activity",0.000299897554807775,"down",3,"winter","MF"
23,"monoatomic anion transmembrane transporter activity",0.000442083643416103,"up",22,"winter","MF"
8,"GTPase activity",0.0020903769637538,"down",19,"winter","MF"
2,"protein-containing complex binding",0.00212534271648674,"down",85,"winter","MF"
9,"3',5'-cyclic-AMP phosphodiesterase activity",0.00221530516994767,"up",3,"winter","MF"
30,"ubiquitin-like protein ligase binding",0.00406549019027556,"down",27,"winter","MF"
29,"ammonium channel activity",0.00547106392481502,"up",0,"winter","MF"
17,"phosphotransferase activity, carboxyl group as acceptor",0.00555083251926691,"down",4,"winter","MF"
28,"transcription factor binding",0.0134187904402949,"down",27,"winter","MF"
15,"amylase activity",0.019142910261724,"up",0,"winter","MF"
14,"poly(A)-specific ribonuclease activity",0.0230863765269355,"down",1,"winter","MF"
27,"phosphatidylinositol-4,5-bisphosphate binding",0.0244369395229943,"up",8,"winter","MF"
16,"peroxidase activity",0.0274355950128255,"down",3,"winter","MF"
32,"NAD binding",0.0286658819160978,"down",3,"winter","MF"
6,"actin monomer binding",0.0296256983863681,"down",2,"winter","MF"
5,"cis-trans isomerase activity",0.0298586663944915,"down",8,"winter","MF"
10,"acetyltransferase activity",0.035398083915211,"down",9,"winter","MF"
20,"aminoacyl-tRNA ligase activity",0.0363304724556402,"down",4,"winter","MF"
35,"snRNP binding",0.0458646433217973,"down",2,"winter","MF"
7,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen",0.0485930983482604,"up",4,"winter","MF"
26,"D-glucose binding",0.0485930983482604,"up",2,"winter","MF"
31,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",0.0508243736344462,"up",3,"winter","MF"
11,"ATP-dependent peptidase activity",0.0558661162807171,"up",6,"winter","MF"
37,"sequence-specific single stranded DNA binding",0.0559771932695181,"down",1,"winter","MF"
36,"flavin adenine dinucleotide binding",0.0617895768115976,"up",4,"winter","MF"
34,"xylosyltransferase activity",0.0651290423724862,"down",1,"winter","MF"
12,"serine-type exopeptidase activity",0.0724847130626918,"down",0,"winter","MF"
33,"snoRNA binding",0.0791438009609087,"down",6,"winter","MF"
25,"calmodulin binding",0.0873276919668921,"up",14,"winter","MF"
