"Organism","Season","Division","GO_Term","p.adj","z_score","abs_z_score","Direction","Gene_Count","delta.rank"
"Host","Summer","BP","cytoplasmic translation",1.09730530901093e-15,-4.10244554382807,4.10244554382807,"Down",89,-2186
"Host","Summer","MF","structural constituent of ribosome",5.34561226678741e-15,-2.97675443652463,2.97675443652463,"Down",124,-1555
"Host","Summer","CC","cytosolic ribosome",1.04725703599672e-13,-3.08200923102685,3.08200923102685,"Down",92,-1614
"Host","Summer","BP","peptide biosynthetic process",5.92321519552687e-12,-2.06692485692913,2.06692485692913,"Down",310,-1045
"Host","Summer","BP","translational initiation",1.89925859548279e-11,-3.25505524910678,3.25505524910678,"Down",107,-1711
"Host","Summer","CC","ribosome",3.38616699195429e-11,-2.18645148797403,2.18645148797403,"Down",159,-1112
"Host","Summer","CC","obsolete intrinsic component of plasma membrane",1.27439221809927e-10,0.801714288148424,0.801714288148424,"Up",630,563
"Host","Summer","BP","cotranslational protein targeting to membrane",1.42684276502225e-10,-4.01503054500419,4.01503054500419,"Down",63,-2137
"Host","Summer","CC","plasma membrane region",1.57459448901362e-10,0.826690002098105,0.826690002098105,"Up",582,577
"Host","Summer","CC","cytosolic small ribosomal subunit",2.70304236353156e-09,-4.08638972771756,4.08638972771756,"Down",33,-2177
"Host","Summer","CC","obsolete cytosolic part",4.40177219744864e-09,-1.89744679798487,1.89744679798487,"Down",172,-950
"Host","Summer","BP","peptide metabolic process",1.69320370692786e-08,-1.61379404669922,1.61379404669922,"Down",394,-791
"Host","Summer","CC","respiratory chain complex",2.7379966496192e-08,-2.9392908656001,2.9392908656001,"Down",59,-1534
"Host","Summer","BP","oxidative phosphorylation",8.295546503277e-08,-2.98389035479596,2.98389035479596,"Down",90,-1559
"Host","Summer","CC","inner mitochondrial membrane protein complex",1.13751917350486e-07,-2.49151199407369,2.49151199407369,"Down",78,-1283
"Host","Summer","MF","oxidoreduction-driven active transmembrane transporter activity",3.70633774441269e-07,-3.7349457528542,3.7349457528542,"Down",38,-1980
"Host","Summer","BP","protein localization to endoplasmic reticulum",3.9595220145603e-07,-2.93037096776093,2.93037096776093,"Down",86,-1529
"Host","Summer","CC","small ribosomal subunit",5.49258377724338e-07,-2.82154821412304,2.82154821412304,"Down",54,-1468
"Host","Summer","CC","cytosolic large ribosomal subunit",5.49258377724338e-07,-2.81262831628387,2.81262831628387,"Down",54,-1463
"Host","Summer","CC","mitochondrial protein-containing complex",6.1563944974222e-07,-1.65839353589508,1.65839353589508,"Down",175,-816
"Host","Winter","CC","obsolete mitochondrial part",5.38641570243431e-15,1.26805479071047,1.26805479071047,"Up",690,643
"Host","Winter","CC","mitochondrial envelope",8.99391343596838e-12,1.3264748447376,1.3264748447376,"Up",470,677
"Host","Winter","CC","cilium",9.69727669587397e-11,-0.955343736086528,0.955343736086528,"Down",459,-651
"Host","Winter","CC","organelle envelope",1.97262512297808e-10,1.03952928525143,1.03952928525143,"Up",757,510
"Host","Winter","CC","plasma membrane bounded cell projection cytoplasm",8.53372154560477e-09,-1.622019646749,1.622019646749,"Down",139,-1039
"Host","Winter","CC","anchoring junction",2.94001800378207e-08,-1.05156500154297,1.05156500154297,"Down",287,-707
"Host","Winter","CC","mitochondrial protein-containing complex",7.23737274305171e-08,1.65981280006883,1.65981280006883,"Up",176,871
"Host","Winter","CC","obsolete axoneme part",9.28483089541237e-08,-2.6185970389764,2.6185970389764,"Down",49,-1619
"Host","Winter","CC","axonemal dynein complex",1.11174778961894e-07,-3.30073708158723,3.30073708158723,"Down",31,-2016
"Host","Winter","CC","organelle inner membrane",3.02215708517466e-07,1.22338063174856,1.22338063174856,"Up",326,617
"Host","Winter","CC","inner dynein arm",3.32298629393878e-07,-3.99318654549696,3.99318654549696,"Down",20,-2419
"Host","Winter","CC","cell leading edge",4.54198332313943e-07,-1.06359265972502,1.06359265972502,"Down",232,-714
"Host","Winter","BP","ribonucleoprotein complex biogenesis",5.34746854318793e-07,1.46049732162335,1.46049732162335,"Up",390,755
"Host","Winter","BP","cell projection assembly",5.34746854318793e-07,-1.10826681868694,1.10826681868694,"Down",398,-740
"Host","Winter","BP","cell morphogenesis",9.4569680371028e-07,-0.737127651926389,0.737127651926389,"Down",798,-524
"Host","Winter","CC","obsolete mitochondrial membrane part",1.86877627845338e-06,1.64434866812048,1.64434866812048,"Up",143,862
"Host","Winter","CC","cytoplasmic region",2.28578454780658e-06,-0.754310020757896,0.754310020757896,"Down",381,-534
