"Organism","Season","Division","GO_Term","p.adj","z_score","abs_z_score","Direction","Gene_Count"
"Host","Summer","BP","cytoplasmic translation",2.09730530901093e-15,-1.73166439612225,1.73166439612225,"Down",9
"Host","Summer","MF","structural constituent of ribosome",6.34561226678742e-15,-1.47994138903519,1.47994138903519,"Down",12
"Host","Summer","CC","cytosolic ribosome",1.05725703599672e-13,-1.29754292861655,1.29754292861655,"Down",13
"Host","Summer","CC","plasma membrane region",1.57460448901362e-10,1.15034938037601,1.15034938037601,"Up",40
"Host","Summer","CC","respiratory chain complex",2.7379967496192e-08,-1.0245923925401,1.0245923925401,"Down",6
"Host","Summer","BP","oxidative phosphorylation",8.295546603277e-08,-0.913249926683609,0.913249926683609,"Down",6
"Host","Summer","MF","oxidoreduction-driven active transmembrane transporter activity",3.70633775441269e-07,-0.812217801499913,0.812217801499913,"Down",5
"Host","Summer","BP","response to topologically incorrect protein",5.68873341507808e-06,-0.718868052822716,0.718868052822716,"Down",20
"Host","Summer","CC","endoplasmic reticulum protein-containing complex",1.68763557695925e-05,-0.631401894239761,0.631401894239761,"Down",12
"Host","Summer","BP","G protein-coupled receptor signaling pathway",5.14674201321929e-05,0.548522282698098,0.548522282698098,"Up",24
"Host","Summer","CC","peptidase complex",9.52579632017596e-05,-0.469252883812802,0.469252883812802,"Down",5
"Host","Summer","CC","myosin complex",0.000448576758093631,0.392830813649729,0.392830813649729,"Up",5
"Host","Summer","MF","RNA binding",0.000452549126926169,-0.318639363964375,0.318639363964375,"Down",52
"Host","Summer","CC","spliceosomal tri-snRNP complex",0.00156942242722719,-0.246163646661359,0.246163646661359,"Down",2
"Host","Summer","MF","gated channel activity",0.00274882139006219,0.174959940165732,0.174959940165732,"Up",11
"Host","Summer","CC","intraciliary transport particle",0.00284062354190077,-0.104633455614075,0.104633455614075,"Down",3
"Host","Summer","CC","spindle microtubule",0.00299663923053019,0.0348213172603476,0.0348213172603476,"Up",5
"Host","Summer","MF","oxidoreductase activity, acting on a sulfur group of donors",0.00434139031407272,-0.0348213172603477,0.0348213172603477,"Down",7
"Host","Summer","MF","unfolded protein binding",0.00474263858155569,-0.104633455614075,0.104633455614075,"Down",4
"Host","Summer","MF","nucleoside-triphosphatase regulator activity",0.00502085083404883,0.174959940165732,0.174959940165732,"Up",29
"Host","Winter","CC","mitochondrial envelope",8.99491343596838e-12,1.73166439612225,1.73166439612225,"Up",25
"Host","Winter","CC","cilium",9.69737669587398e-11,-1.47994138903519,1.47994138903519,"Down",24
