"organism","season","division","go_name","annotate_label","p.adj","delta.rank","nseqs","annotation_type","label_side","has_manual"
"Host","Summer","BP","translational initiation","transl. init",4.32374995566834e-10,-1099,233,"Top significant","left",FALSE
"Host","Summer","BP","oxidative phosphorylation","oxid. phosph",8.77529237781281e-09,-1377,126,"Top significant","left",FALSE
"Host","Summer","BP","response to endoplasmic reticulum stress","ER stress",1.47882711492969e-05,-796,249,"Keyword (bold)","left",FALSE
"Host","Summer","BP","peptide transport","peptide transport",5.19713079148507e-05,-396,1004,"Top significant","left",FALSE
"Host","Summer","BP","protein localization to mitochondrion","prot. local. to mito",0.00022977313271818,-1141,94,"Top significant","left",FALSE
"Host","Summer","BP","RNA processing","RNA processing",0.000549258354330929,-363,932,"Top significant","left",FALSE
"Host","Summer","BP","cell-cell signaling","cell-cell signal",2.73452128849062e-06,444,1002,"Top significant","right",FALSE
"Host","Summer","BP","chemosensory behavior","chemosen. behav",0.000244867927441304,953,133,"Keyword (bold)","right",FALSE
"Host","Summer","BP","locomotory behavior","locomo. behav",0.000418995942147116,610,314,"Top significant","right",FALSE
"Host","Summer","BP","regulation of monoatomic ion transport","reg. ion transport",0.000574368009215899,423,649,"Keyword (bold)","right",FALSE
"Host","Summer","BP","inorganic anion transport","inorg. anion transport",0.0227993896489522,518,217,"Keyword (bold)","right",FALSE
"Host","Summer","BP","regulation of cytosolic calcium ion concentration","reg. cyto. Ca2+ ion",0.0355683347656201,404,328,"Keyword (bold)","right",FALSE
"Host","Summer","BP","ossification","ossification",0.0451165863230957,538,165,"Keyword (bold)","right",FALSE
"Host","Summer","CC","obsolete cytosolic part","cyto",7.01119915951731e-09,-804,239,"Top significant","left",FALSE
"Host","Summer","CC","small ribosomal subunit","small ribo. subunit",7.21924155180039e-07,-1468,54,"Top significant","left",FALSE
"Host","Summer","CC","mitochondrial protein-containing complex","mito. prot",2.27012771524673e-06,-697,226,"Top significant","left",FALSE
"Host","Summer","CC","endoplasmic reticulum protein-containing complex","ER prot",2.41082604247001e-05,-964,95,"Keyword (bold)","left",FALSE
"Host","Summer","CC","oxidoreductase complex","oxidored. cplx",3.44109334632349e-05,-932,98,"Top significant","left",FALSE
"Host","Summer","CC","organelle envelope","organelle env",7.11760063471555e-05,-309,963,"Top significant","left",FALSE
"Host","Summer","CC","rough endoplasmic reticulum membrane","rough ER memb",0.000708485998887435,-1339,34,"Keyword (bold)","left",FALSE
"Host","Summer","CC","endoplasmic reticulum chaperone complex","ER chaperone cplx",0.00761453592689457,-1821,12,"Keyword (bold)","left",FALSE
"Host","Summer","CC","proton-transporting two-sector ATPase complex","H+ ATPase cplx",0.017598478659272,-919,39,"Keyword (bold)","left",FALSE
"Host","Summer","CC","rough endoplasmic reticulum","rough ER",0.0181501325756362,-667,73,"Keyword (bold)","left",FALSE
"Host","Summer","CC","proton-transporting ATP synthase complex","H+ ATP synth. cplx",0.0242874839842683,-1400,15,"Keyword (bold)","left",FALSE
"Host","Summer","CC","obsolete endoplasmic reticulum part","ER",0.0242874839842683,-210,767,"Keyword (bold)","left",FALSE
"Host","Summer","CC","obsolete intrinsic component of plasma membrane","intrins. comp. of PM",2.02584812684478e-10,563,630,"Top significant","right",FALSE
"Host","Summer","CC","plasma membrane region","PM region",2.02584812684478e-10,545,658,"Top significant","right",FALSE
"Host","Summer","CC","anchoring junction","anchor. junct",7.79219842854082e-06,590,290,"Top significant","right",FALSE
"Host","Summer","CC","synaptic membrane","synap. memb",2.41082604247001e-05,781,147,"Top significant","right",FALSE
"Host","Summer","MF","structural constituent of ribosome","struct. const. of ribo",5.34561226678741e-15,-1555,124,"Top significant","left",FALSE
"Host","Summer","MF","oxidoreduction-driven active transmembrane transporter activity","redox-driven TM transporter",3.70633774441269e-07,-1980,38,"Top significant","left",FALSE
"Host","Summer","MF","electron transfer activity","electron transfer",3.41971011776737e-05,-1119,89,"Top significant","left",FALSE
"Host","Summer","MF","proton transmembrane transporter activity","H+ TM transporter",7.00119531847492e-05,-1108,83,"Keyword (bold)","left",TRUE
"Host","Summer","MF","structural molecule activity","struct. mol",0.000175962678027779,-554,314,"Top significant","left",FALSE
"Host","Summer","MF","NADH dehydrogenase activity","NADH DH",0.000315888281287385,-1783,27,"Top significant","left",FALSE
"Host","Summer","MF","oxidoreductase activity, acting on NAD(P)H","oxidored., acting on NAD(P)H",0.000315888281287385,-1050,79,"Top significant","left",FALSE
"Host","Summer","MF","RNA binding","RNA bind",0.000452549126925169,-366,679,"Top significant","left",FALSE
"Host","Summer","MF","active monoatomic ion transmembrane transporter activity","active ion TM transporter",0.00192077100476197,-944,78,"Keyword (bold)","left",FALSE
"Host","Summer","MF","actin binding","actin bind",4.5082054459798e-05,822,160,"Top significant","right",FALSE
"Host","Summer","MF","cytoskeletal protein binding","cytoskel. prot. bind",0.000843286871221481,418,468,"Top significant","right",FALSE
"Host","Summer","MF","monoatomic cation channel activity","cation ch",0.0133510650404387,557,163,"Keyword (bold)","right",FALSE
"Host","Summer","MF","ligand-gated monoatomic ion channel activity","lig.-gated ion ch",0.0159190409096359,689,102,"Keyword (bold)","right",FALSE
"Host","Summer","MF","ligand-gated monoatomic cation channel activity","lig.-gated cation ch",0.0237512633791609,796,70,"Keyword (bold)","right",FALSE
"Host","Winter","BP","cilium movement","cilium movmt",3.9233806239409e-08,-1138,178,"Top significant","left",FALSE
"Host","Winter","BP","behavior","behav",1.60517026014931e-07,-381,1709,"Top significant","left",FALSE
"Host","Winter","BP","microtubule-based movement","MT-based movmt",8.75020163918788e-07,-770,309,"Top significant","left",FALSE
"Host","Winter","BP","central nervous system development","central NS dev",8.09024109979525e-05,-337,1339,"Top significant","left",FALSE
"Host","Winter","BP","sensory organ development","sens. organ dev",0.000131397508153186,-451,647,"Top significant","left",FALSE
"Host","Winter","BP","chemosensory behavior","chemosen. behav",0.000556477967471867,-911,124,"Keyword (bold)","left",FALSE
"Host","Winter","BP","inorganic anion transport","inorg. anion transport",0.00793817203470542,-631,171,"Keyword (bold)","left",FALSE
"Host","Winter","BP","sodium ion transport","Na+ ion transport",0.0301215102672729,-605,136,"Keyword (bold)","left",FALSE
"Host","Winter","BP","regulation of monoatomic ion transport","reg. ion transport",0.0497353526701818,-269,635,"Keyword (bold)","left",FALSE
"Host","Winter","BP","oxidative phosphorylation","oxid. phosph",1.45982227896299e-07,1273,126,"Top significant","right",FALSE
"Host","Winter","BP","obsolete ncRNA metabolic process","ncRNA metab",1.45982227896299e-07,668,482,"Top significant","right",FALSE
"Host","Winter","BP","RNA processing","RNA processing",1.60517026014931e-07,486,937,"Top significant","right",FALSE
"Host","Winter","BP","mitochondrion organization","mito. org",8.09024109979525e-05,455,668,"Top significant","right",FALSE
"Host","Winter","BP","amide metabolic process","amide metab",8.09024109979525e-05,473,612,"Top significant","right",FALSE
"Host","Winter","CC","cilium","cilium",8.45023481861679e-11,-651,459,"Top significant","left",FALSE
"Host","Winter","CC","plasma membrane bounded cell projection cytoplasm","PM bound. cell proj.",6.19692459359339e-09,-1039,139,"Top significant","left",FALSE
"Host","Winter","CC","anchoring junction","anchor. junct",2.04955211918333e-08,-707,287,"Top significant","left",FALSE
"Host","Winter","CC","cell leading edge","cell leading edge",5.27719645098574e-07,-714,232,"Top significant","left",FALSE
"Host","Winter","CC","dynein complex","dynein cplx",1.34065866301118e-06,-1200,75,"Top significant","left",FALSE
"Host","Winter","CC","cytoplasmic region","cyto. region",2.06561105619132e-06,-534,381,"Top significant","left",FALSE
"Host","Winter","CC","obsolete intrinsic component of plasma membrane","intrins. comp. of PM",3.92307441742481e-06,-419,606,"Top significant","left",FALSE
"Host","Winter","CC","organelle envelope","organelle env",5.7821209402758e-14,533,975,"Top significant","right",FALSE
"Host","Winter","CC","mitochondrial protein-containing complex","mito. prot",6.09270878161228e-09,823,228,"Top significant","right",FALSE
"Host","Winter","CC","ribonucleoprotein complex","RNP cplx",1.76965548368159e-06,331,1156,"Top significant","right",FALSE
"Host","Winter","MF","gated channel activity","gated ch",3.82091176050046e-06,-987,140,"Top significant","left",TRUE
"Host","Winter","MF","dynein light intermediate chain binding","dynein light interm. chain",5.51551095524479e-06,-1714,43,"Top significant","left",TRUE
"Host","Winter","MF","polypeptide conformation or assembly isomerase activity","polypep. conform. or assemb.",6.24424538660489e-06,-1069,108,"Top significant","left",FALSE
"Host","Winter","MF","channel activity","ch",6.24424538660489e-06,-740,222,"Top significant","left",TRUE
"Host","Winter","MF","microtubule motor activity","MT motor",9.96866310619784e-06,-1257,72,"Top significant","left",FALSE
"Host","Winter","MF","ligand-gated monoatomic ion channel activity","lig.-gated ion ch",0.000148096737235434,-980,94,"Keyword (bold)","left",TRUE
"Host","Winter","MF","extracellular ligand-gated monoatomic ion channel activity","EC lig.-gated ion ch",0.00257156094334511,-1468,29,"Keyword (bold)","left",TRUE
"Host","Winter","MF","monoatomic cation channel activity","cation ch",0.00507600226573861,-603,155,"Keyword (bold)","left",TRUE
"Host","Winter","MF","ligand-gated monoatomic anion channel activity","lig.-gated anion ch",0.00790408216878428,-1241,33,"Keyword (bold)","left",TRUE
"Host","Winter","MF","ligand-gated monoatomic cation channel activity","lig.-gated cation ch",0.0130243995454279,-843,66,"Keyword (bold)","left",TRUE
"Host","Winter","MF","transmitter-gated monoatomic ion channel activity","transmit.-gated ion ch",0.0184470775891448,-1528,18,"Keyword (bold)","left",TRUE
"Host","Winter","MF","metal ion transmembrane transporter activity","metal ion TM transporter",0.0187864327104469,-441,219,"Keyword (bold)","left",TRUE
"Host","Winter","MF","excitatory extracellular ligand-gated monoatomic ion channel activity","excit. EC lig.-gated ion",0.0450104605392683,-1356,18,"Keyword (bold)","left",FALSE
"Host","Winter","MF","RNA binding","RNA bind",6.24424538660489e-06,440,682,"Top significant","right",TRUE
"Host","Winter","MF","oxidoreduction-driven active transmembrane transporter activity","redox-driven TM transporter",1.07081328889816e-05,1713,38,"Top significant","right",TRUE
"Host","Winter","MF","proton transmembrane transporter activity","H+ TM transporter",1.12025430865353e-05,1156,83,"Keyword (bold)","right",TRUE
"Host","Winter","MF","ATPase regulator activity","ATPase reg",0.000148096737235434,1616,34,"Top significant","right",TRUE
"Host","Winter","MF","active monoatomic ion transmembrane transporter activity","active ion TM transporter",0.0203910215959604,739,75,"Keyword (bold)","right",TRUE
"Symbiont","Summer","BP","cytoplasmic translation","cyto. transl",1.86342551319675e-21,-1278,275,"Top significant","left",FALSE
"Symbiont","Summer","BP","protein targeting to membrane","prot. targeting to memb",6.31398361050901e-18,-1404,188,"Top significant","left",FALSE
"Symbiont","Summer","BP","translational initiation","transl. init",2.05382340218051e-13,-1156,212,"Top significant","left",FALSE
"Symbiont","Summer","BP","establishment of protein localization to membrane","prot. local. to memb",8.89440201554283e-13,-1096,224,"Top significant","left",FALSE
"Symbiont","Summer","BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","nucl.-txd mRNA catabol., nonsense-med.",2.35467200419935e-12,-1126,204,"Top significant","left",FALSE
