"broad_category","organism","season","count","avg_lfc"
"Biomineralization","Host","Summer",2,-0.00882560920218001
"Biomineralization","Host","Winter",4,1.51075335416704
"Ca2+ Signaling","Symbiont","Winter",3,0.641682665801972
"Ca2+ Transport","Host","Summer",3,2.15044677410175
"Ca2+ Transport","Host","Winter",2,0.00421964766199601
"Ca2+ Transport","Symbiont","Winter",5,0.69670096899061
"Cl- Channels","Host","Summer",1,2.06212254589932
"Cl- Channels","Host","Winter",1,2.0470012116824
"Cl- Channels","Symbiont","Winter",1,0.663862429317851
"Ion Pumps","Host","Summer",2,1.03396879011909
"K+ Channels","Host","Summer",2,-1.06824792302839
"K+ Channels","Symbiont","Winter",5,0.712899352248647
"Metabolite Transport","Symbiont","Winter",2,-0.407219168889494
"Na+ Channels","Host","Summer",1,-1.23927502182943
"Na+ Channels","Host","Winter",1,1.22126218741236
"Na+ Channels","Symbiont","Winter",3,0.990641488487968
"pH/CO2 Regulation","Host","Summer",1,-3.85205342967306
"pH/CO2 Regulation","Host","Winter",5,-0.724801503108728
