"organism","season","category","gene_id","log2FoldChange","padj","description"
"Host","Winter","Ca2+ ATPase","Montipora_capitata_HIv3___RNAseq.g25591.t1",-0.543015221431354,0.00052061600460893,"Plasma membrane calcium-transporting ATPase 3"
"Host","Winter","Ca2+ Channel","Montipora_capitata_HIv3___RNAseq.g24595.t1",0.551454516755346,0.0375681348414104,"Voltage-dependent calcium channel subunit alpha-2/delta-1"
"Host","Winter","Carbonic Anhydrase","Montipora_capitata_HIv3___RNAseq.g9307.t1",1.75880931674748,0.000940514553274928,"Carbonic anhydrase 14"
"Host","Winter","Carbonic Anhydrase","Montipora_capitata_HIv3___TS.g42117.t1",1.72456662696141,4.89575911438857e-10,"Carbonic anhydrase 14"
"Host","Winter","Cl- Transport","Montipora_capitata_HIv3___TS.g48244.t1",-2.59006036073123,0.00375329246116496,"Molybdate-anion transporter"
"Host","Summer","Cl- Transport","Montipora_capitata_HIv3___RNAseq.34213_t",2.06212254589932,0.00277025834469732,"Chloride intracellular channel protein 2"
"Host","Winter","Cl- Transport","Montipora_capitata_HIv3___RNAseq.34213_t",2.0470012116824,0.0231424767334753,"Chloride intracellular channel protein 2"
"Host","Summer","Cl- Transport","Montipora_capitata_HIv3___RNAseq.g9239.t1",1.18963995476407,0.0197260185258719,"Solute carrier organic anion transporter family member 4A1"
"Host","Summer","H+ ATPase","Montipora_capitata_HIv3___RNAseq.g24139.t1",1.15932081870911,1.43034292229958e-05,"Proton-coupled amino acid transporter 1"
"Host","Summer","K+ Channel","Montipora_capitata_HIv3___RNAseq.g26824.t1",-3.62774107583397,0.012425443702786,"Potassium channel AKT3"
"Host","Summer","K+ Channel","Montipora_capitata_HIv3___TS.g22430.t1",1.49124522977719,0.0358640028950536,"Potassium voltage-gated channel protein Shaw"
"Host","Summer","Na+ Transport","Montipora_capitata_HIv3___TS.g7322.t1",-1.23927502182943,5.58813540199517e-05,"Sodium-coupled monocarboxylate transporter 2"
"Host","Winter","Na+ Transport","Montipora_capitata_HIv3___RNAseq.g44252.t1",1.22126218741236,0.0106416251348316,"Epithelial sodium channel subunit alpha"
"Host","Winter","Na+ Transport","Montipora_capitata_HIv3___TS.g2560.t1",0.604749896851412,0.00397627669033706,"Sodium- and chloride-dependent GABA transporter 1"
"Host","Summer","Na+/K+ ATPase","Montipora_capitata_HIv3___TS.g28207.t1a",0.908616761529072,0.00477457263018735,"Sodium/potassium/calcium exchanger 5"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g49577.t1",12.7504899151756,5.33811960675766e-15,"Lymphotoxin-alpha"
"Host","Winter","Other Transport","Montipora_capitata_HIv3___RNAseq.g40524.t1",9.25253284481508,1.26968846178045e-13,"Laminin subunit alpha-3"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g46820.t1",8.46976827192742,4.01027195560469e-08,"Protein phosphatase 1 regulatory subunit 3B"
