"season","organism","division","parent_category","n_terms","mean_padj"
"summer","host","BP","Ion Homeostasis/Regulation",1,0.0446190417106515
"summer","host","BP","Ion Transport",1,0.0260608802666786
"summer","host","MF","Ion Transport",2,0.0185511642097998
"summer","host","BP","Oxidative Phosphorylation",1,8.295546503277e-08
"summer","host","BP","Proton Transport",2,0.0288166445314886
"summer","host","CC","Proton Transport",2,0.0230609537758845
"summer","host","MF","Proton Transport",1,7.00119531847492e-05
"summer","symbiont","MF","Calcium Homeostasis",1,0.0324354907951206
"summer","symbiont","BP","Metal Ion Homeostasis",1,0.0489153352315799
"winter","host","MF","ATPase Activity",2,0.00198258418767143
"winter","host","BP","Calcium Homeostasis",2,0.0354568819323062
"winter","host","BP","Ion Transport",2,0.000448564570910428
"winter","host","MF","Ion Transport",4,0.0182151720746104
"winter","host","MF","Metal Ion Homeostasis",1,0.0187864327104469
"winter","host","BP","Oxidative Phosphorylation",1,1.76958353092017e-05
"winter","host","BP","Proton Transport",1,0.00824970907434605
"winter","host","MF","Proton Transport",1,1.12025430865353e-05
"winter","symbiont","CC","ATPase Activity",2,0.0211157024504422
"winter","symbiont","MF","ATPase Activity",3,0.0203422832310857
"winter","symbiont","BP","Calcium Homeostasis",3,0.0159076167323766
"winter","symbiont","CC","Calcium Homeostasis",1,0.00201088168608599
"winter","symbiont","MF","Calcium Homeostasis",7,0.0134206268216497
"winter","symbiont","BP","Ion Homeostasis/Regulation",7,0.0197042395970729
"winter","symbiont","BP","Ion Transport",13,0.0144452944974415
"winter","symbiont","MF","Ion Transport",5,0.0104559463813018
"winter","symbiont","BP","Metal Ion Homeostasis",1,5.19742674189159e-07
"winter","symbiont","MF","Metal Ion Homeostasis",2,0.00734979026158731
"winter","symbiont","CC","Proton Transport",1,0.0394000045316952
