"organism","division","parent_category","n_terms","mean_padj"
"host","BP","Ion Homeostasis/Regulation",1,0.0446190417106515
"host","BP","Ion Transport",1,0.0260608802666786
"host","MF","Ion Transport",2,0.0185511642097998
"host","BP","Oxidative Phosphorylation",1,8.295546503277e-08
"host","BP","Protein Phosphorylation",1,0.0475948316619792
"host","BP","Proton Transport",1,0.0452689566761511
"host","CC","Proton Transport",2,0.0230609537758845
"host","MF","Proton Transport",1,7.00119531847492e-05
"symbiont","MF","Calcium Homeostasis",1,0.0324354907951206
"symbiont","BP","Metal Ion Homeostasis",1,0.0489153352315799
