"organism","division","parent_category","n_terms","mean_padj"
"host","MF","ATPase Activity",2,0.00198258418767143
"host","BP","Ion Transport",2,0.0109739876174962
"host","MF","Ion Transport",4,0.0182151720746104
"host","MF","Metal Ion Homeostasis",1,0.0187864327104469
"host","MF","Proton Transport",1,1.12025430865353e-05
"symbiont","CC","ATPase Activity",2,0.0211157024504422
"symbiont","MF","ATPase Activity",2,0.0296395154687747
"symbiont","BP","Calcium Homeostasis",3,0.0159076167323766
"symbiont","CC","Calcium Homeostasis",1,0.00201088168608599
"symbiont","MF","Calcium Homeostasis",7,0.0134206268216497
"symbiont","BP","Ion Transport",17,0.0137309651531993
"symbiont","MF","Ion Transport",4,0.0067462321865955
"symbiont","BP","Metal Ion Homeostasis",1,5.19742674189159e-07
"symbiont","MF","Metal Ion Homeostasis",2,0.00734979026158731
"symbiont","CC","Proton Transport",1,0.0394000045316952
