"organism","division","name","p.adj"
"host","BP","oxidative phosphorylation",8.77529237781281e-09
"host","BP","regulation of monoatomic ion transport",0.000574368009215899
"host","BP","positive regulation of cell cycle phase transition",0.00380129606100199
"host","MF","nucleoside-triphosphatase regulator activity",0.00502085083404783
"host","BP","obsolete regulation of phosphatidylinositol 3-kinase signaling",0.00635920612168291
"host","CC","transferase complex, transferring phosphorus-containing groups",0.0216290050119912
"host","BP","developmental growth involved in morphogenesis",0.0399484404538055
"host","BP","mesenchyme morphogenesis",0.0486564240723727
"host","BP","morphogenesis of an epithelial sheet",0.0499730156478459
"symbiont","BP","positive regulation of phospholipid metabolic process",0.00191830072470469
"symbiont","MF","phosphatidylinositol bisphosphate binding",0.0173596260499791
"symbiont","BP","obsolete phytosteroid metabolic process",0.0293551394531029
"symbiont","MF","phosphatidylinositol transfer activity",0.0302251073987551
