"go_id","term_name","host_division","host_direction","symbiont_direction","symbiont_division","pattern","chord_color"
"GO:0000028","ribosomal small subunit assembly","BP","down","down","BP","synergistic_down","#377EB8"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP","down","down","BP","synergistic_down","#377EB8"
"GO:0002181","cytoplasmic translation","BP","down","down","BP","synergistic_down","#377EB8"
"GO:0006364;GO:0016072","rRNA metabolic process","BP","down","down","BP","synergistic_down","#377EB8"
"GO:0006413","translational initiation","BP","down","down","BP","synergistic_down","#377EB8"
"GO:0022613","ribonucleoprotein complex biogenesis","BP","down","down","BP","synergistic_down","#377EB8"
"GO:0042254","ribosome biogenesis","BP","down","down","BP","synergistic_down","#377EB8"
"GO:0042255","ribosome assembly","BP","down","down","BP","synergistic_down","#377EB8"
"GO:0042274","ribosomal small subunit biogenesis","BP","down","down","BP","synergistic_down","#377EB8"
"GO:0051668;GO:0072657","localization within membrane","BP","down","down","BP","synergistic_down","#377EB8"
"GO:0090150","establishment of protein localization to membrane","BP","down","down","BP","synergistic_down","#377EB8"
"GO:0005791","rough endoplasmic reticulum","CC","down","down","CC","synergistic_down","#377EB8"
"GO:0005844","obsolete polysome","CC","down","down","CC","synergistic_down","#377EB8"
"GO:0042788","obsolete polysomal ribosome","CC","down","down","CC","synergistic_down","#377EB8"
"GO:0044445","obsolete cytosolic part","CC","down","down","CC","synergistic_down","#377EB8"
"GO:0097546","ciliary base","CC","down","down","CC","synergistic_down","#377EB8"
"GO:0003735","structural constituent of ribosome","MF","down","down","MF","synergistic_down","#377EB8"
"GO:0005198","structural molecule activity","MF","down","down","MF","synergistic_down","#377EB8"
"GO:0008092","cytoskeletal protein binding","MF","up","up","MF","synergistic_up","#E41A1C"
"GO:0008574","plus-end-directed microtubule motor activity","MF","up","up","MF","synergistic_up","#E41A1C"
"GO:0019843","rRNA binding","MF","down","down","MF","synergistic_down","#377EB8"
"GO:0032182;GO:0043130","ubiquitin-like protein binding","MF","down","down","MF","synergistic_down","#377EB8"
"GO:0046873","metal ion transmembrane transporter activity","MF","up","up","MF","synergistic_up","#E41A1C"
