"go_id","term_name","host_division","host_direction","symbiont_direction","symbiont_division","pattern","chord_color"
"GO:0001508","action potential","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0001708","cell fate specification","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0001895;GO:0045494","retina homeostasis","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0002064","epithelial cell development","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0002181","cytoplasmic translation","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0002685","regulation of leukocyte migration","BP","down","down","BP","synergistic_down","#377EB8"
"GO:0003013;GO:0008015","circulatory system process","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0006364;GO:0016072","rRNA metabolic process","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0006399","tRNA metabolic process","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0006403","RNA localization","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0006413","translational initiation","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0006457","protein folding","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0006913;GO:0051169","nuclear transport","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0007186","G protein-coupled receptor signaling pathway","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0007267","cell-cell signaling","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0007268;GO:0098916;GO:0099537;GO:0099536","synaptic signaling","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0007417;GO:0007420;GO:0060322","central nervous system development","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0007600","sensory perception","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0007606","sensory perception of chemical stimulus","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0007626","locomotory behavior","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0022613","ribonucleoprotein complex biogenesis","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0030029;GO:0030036","actin filament-based process","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0030855","epithelial cell differentiation","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0032984","protein-containing complex disassembly","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0033108","mitochondrial respiratory chain complex assembly","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0033555","multicellular organismal response to stress","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0034470","obsolete ncRNA processing","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0034660","obsolete ncRNA metabolic process","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0035150","regulation of tube size","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0035637","obsolete multicellular organismal signaling","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0040008","regulation of growth","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0042254","ribosome biogenesis","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0042273","ribosomal large subunit biogenesis","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0044057","regulation of system process","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0048638","regulation of developmental growth","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0048878","chemical homeostasis","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0050878","regulation of body fluid levels","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0050906","detection of stimulus involved in sensory perception","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0051606","detection of stimulus","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0061077","obsolete chaperone-mediated protein folding","BP","up","down","BP","antagonistic_host_up","#90EE90"
"GO:0097435","supramolecular fiber organization","BP","down","up","BP","antagonistic_host_down","#228B22"
"GO:0005681","spliceosomal complex","CC","up","down","CC","antagonistic_host_up","#90EE90"
"GO:0005685","U1 snRNP","CC","up","down","CC","antagonistic_host_up","#90EE90"
"GO:0005732","sno(s)RNA-containing ribonucleoprotein complex","CC","up","down","CC","antagonistic_host_up","#90EE90"
"GO:0005871","kinesin complex","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0005884","actin filament","CC","down","down","CC","synergistic_down","#377EB8"
"GO:0005911;GO:0070161","anchoring junction","CC","down","down","CC","synergistic_down","#377EB8"
"GO:0008076;GO:0034705","potassium channel complex","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0016324","apical plasma membrane","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0019898","extrinsic component of membrane","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0030018;GO:0031674","I band","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0030425;GO:0097447","dendritic tree","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0031226","obsolete intrinsic component of plasma membrane","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0031253","cell projection membrane","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0031256","leading edge membrane","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0031312","extrinsic component of organelle membrane","CC","up","up","CC","synergistic_up","#E41A1C"
"GO:0031514","motile cilium","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0031594","neuromuscular junction","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0031941","filamentous actin","CC","down","down","CC","synergistic_down","#377EB8"
"GO:0032589","neuron projection membrane","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0032809;GO:0044298","neuronal cell body membrane","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0035770","ribonucleoprotein granule","CC","up","down","CC","antagonistic_host_up","#90EE90"
"GO:0043209","myelin sheath","CC","up","down","CC","antagonistic_host_up","#90EE90"
"GO:0044429","obsolete mitochondrial part","CC","up","down","CC","antagonistic_host_up","#90EE90"
"GO:0044455","obsolete mitochondrial membrane part","CC","up","down","CC","antagonistic_host_up","#90EE90"
"GO:0044456;GO:0045202","synapse","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0045121;GO:0098857","membrane raft","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0045177","apical part of cell","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0045211","postsynaptic membrane","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0070069","cytochrome complex","CC","up","down","CC","antagonistic_host_up","#90EE90"
"GO:0071004;GO:0071010","prespliceosome","CC","up","down","CC","antagonistic_host_up","#90EE90"
"GO:0097440","apical dendrite","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0098590","plasma membrane region","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0098797","plasma membrane protein complex","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:0098798","mitochondrial protein-containing complex","CC","up","down","CC","antagonistic_host_up","#90EE90"
"GO:0098800","inner mitochondrial membrane protein complex","CC","up","down","CC","antagonistic_host_up","#90EE90"
"GO:0099568","cytoplasmic region","CC","down","up","CC","antagonistic_host_down","#228B22"
"GO:1990204","oxidoreductase complex","CC","up","down","CC","antagonistic_host_up","#90EE90"
"GO:0000217","DNA secondary structure binding","MF","up","up","MF","synergistic_up","#E41A1C"
"GO:0003735","structural constituent of ribosome","MF","up","down","MF","antagonistic_host_up","#90EE90"
"GO:0003743","translation initiation factor activity","MF","up","down","MF","antagonistic_host_up","#90EE90"
"GO:0003924","GTPase activity","MF","up","down","MF","antagonistic_host_up","#90EE90"
"GO:0004553;GO:0016798","hydrolase activity, acting on glycosyl bonds","MF","down","up","MF","antagonistic_host_down","#228B22"
"GO:0004709","MAP kinase kinase kinase activity","MF","down","up","MF","antagonistic_host_down","#228B22"
"GO:0005178","integrin binding","MF","down","down","MF","synergistic_down","#377EB8"
"GO:0005244;GO:0022832;GO:0022843","voltage-gated monoatomic ion channel activity","MF","down","up","MF","antagonistic_host_down","#228B22"
"GO:0005509","calcium ion binding","MF","down","up","MF","antagonistic_host_down","#228B22"
"GO:0005543","phospholipid binding","MF","down","up","MF","antagonistic_host_down","#228B22"
"GO:0008289","lipid binding","MF","down","up","MF","antagonistic_host_down","#228B22"
"GO:0015081","sodium ion transmembrane transporter activity","MF","down","up","MF","antagonistic_host_down","#228B22"
"GO:0015103","obsolete inorganic anion transmembrane transporter activity","MF","down","up","MF","antagonistic_host_down","#228B22"
"GO:0016407","acetyltransferase activity","MF","up","down","MF","antagonistic_host_up","#90EE90"
"GO:0019843","rRNA binding","MF","up","down","MF","antagonistic_host_up","#90EE90"
"GO:0019904","protein domain specific binding","MF","down","down","MF","synergistic_down","#377EB8"
"GO:0022836;GO:0022839;GO:0022834","gated channel activity","MF","down","up","MF","antagonistic_host_down","#228B22"
"GO:0030165","PDZ domain binding","MF","down","up","MF","antagonistic_host_down","#228B22"
"GO:0030515","snoRNA binding","MF","up","down","MF","antagonistic_host_up","#90EE90"
"GO:0031267;GO:0051020","GTPase binding","MF","down","up","MF","antagonistic_host_down","#228B22"
"GO:0031369","translation initiation factor binding","MF","up","down","MF","antagonistic_host_up","#90EE90"
"GO:0031625;GO:0044389","ubiquitin-like protein ligase binding","MF","up","down","MF","antagonistic_host_up","#90EE90"
