sample,tp1,tp2,delta,wd,g_day
1BS,109.36,117.5,8.14,12.5356,0.404374194
2BS,141.22,153.98,12.76,19.6504,0.633883871
3BS,155.42,161.28,5.86,9.0244,0.291109677
1DS,120.05,130.63,10.58,16.2932,0.525587097
2DS,169.91,179.52,9.61,14.7994,0.4774
3DS,189.13,196.73,7.6,11.704,0.377548387
1BW,74.5,79.11,4.61,7.0994,0.229012903
2BW,149.28,155.52,6.24,9.6096,0.309987097
3BW,101.34,103.68,2.34,3.6036,0.116245161
1DW,151.18,162.18,11,16.94,0.546451613
2DW,264.64,277.79,13.15,20.251,0.653258065
3DW,113.75,120.31,6.56,10.1024,0.325883871
