date,season,mesocosm,treatment,temp,sal_cor,do_perc,do_mg,ph_nbs,pH_total,tit temp,TA_seacarb
7/11/2023,S,1,B,26.2,34.93,110.6,7.36,7.74,7.71,25,2164.3
7/11/2023,S,2,B,26.1,34.93,109.2,7.28,7.77,7.76,25,2150
7/11/2023,S,3,B,26,34.93,110.2,7.34,7.83,7.82,25,2165.6
7/11/2023,S,1,D,26.2,34.9,106.6,7.27,8.03,8.02,25,2171.8
7/11/2023,S,2,D,26.3,34.93,111.7,7.42,8.03,8.01,25,2166.7
7/11/2023,S,3,D,26.3,34.91,110.4,7.37,8.05,8.03,25,2141.7
7/17/2023,S,1,B,27.2,34.94,7.66,117.1,7.85,NA,24.4,2186
7/17/2023,S,2,B,27.1,34.9,7.57,115.5,7.77,NA,25.7,2183.4
7/17/2023,S,3,B,27.1,34.89,7.38,112.6,7.7,NA,24.9,2180.7
7/17/2023,S,1,D,27.1,34.95,7.71,118.1,8.09,NA,25.7,2182.4
7/17/2023,S,2,D,27.1,34.91,7.63,116.4,8.08,NA,25.5,2181.7
7/17/2023,S,3,D,27.1,34.91,7.55,115.7,8.1,NA,25.8,2182.2
7/18/2023,S,1,B,26.7,34.93,115.4,7.62,7.82,7.8,NA,NA
7/18/2023,S,2,B,26.7,34.92,117,7.73,7.78,7.77,NA,NA
7/18/2023,S,3,B,26.7,34.91,118.9,7.85,7.8,7.78,NA,NA
7/18/2023,S,1,D,26.8,34.94,119.5,7.88,8.09,8.07,NA,NA
7/18/2023,S,2,D,26.8,34.94,120.7,7.96,8.1,8.08,NA,NA
7/18/2023,S,3,D,26.8,34.94,123.5,8.14,8.12,8.1,NA,NA
7/19/2023,S,1,B,26.4,34.9,111.8,7.42,7.77,7.77,NA,NA
7/19/2023,S,2,B,26.4,34.91,112.6,7.47,7.76,7.73,NA,NA
7/19/2023,S,3,B,26.4,34.94,114.1,7.57,7.76,7.74,NA,NA
7/19/2023,S,1,D,26.5,34.98,115.8,7.67,8.06,8.04,NA,NA
7/19/2023,S,2,D,26.5,34.97,116.9,7.75,8.07,8.06,NA,NA
7/19/2023,S,3,D,26.5,35,118.9,7.88,8.08,8.06,NA,NA
7/20/2023,S,1,B,26.7,35.46,117.3,7.76,7.83,7.82,NA,NA
7/20/2023,S,2,B,26.6,35.1,118.6,7.86,7.81,7.79,NA,NA
7/20/2023,S,3,B,26.6,35.04,120.2,7.95,7.8,7.79,NA,NA
