Season,Treatment,Sample,Temp,Salinity,pH(T),AT,pCO2,OmegaArag
Summer,Amb.,1,27.1 ± 0.4,34.95 ± 0.07,8.05 ± 0.03,2173.7 ± 7.2,366 ± 27,3.43 ± 0.19
Summer,Amb.,2,27.1 ± 0.4,34.94 ± 0.06,8.06 ± 0.03,2172.6 ± 7.4,366 ± 33,3.44 ± 0.23
Summer,Amb.,3,27.1 ± 0.4,34.97 ± 0.16,8.07 ± 0.03,2162.9 ± 20.2,356 ± 22,3.47 ± 0.19
Summer,OA,1,27.1 ± 0.4,34.96 ± 0.14,7.79 ± 0.05,2165.5 ± 16.2,791 ± 117,2.04 ± 0.24
Summer,OA,2,27.0 ± 0.4,34.93 ± 0.07,7.78 ± 0.04,2167.3 ± 14.7,751 ± 46,2.10 ± 0.14
Summer,OA,3,27.0 ± 0.4,34.96 ± 0.12,7.79 ± 0.04,2167.8 ± 9.8,703 ± 46,2.21 ± 0.12
Winter,Amb.,1,23.9 ± 0.5,34.74 ± 0.13,8.11 ± 0.04,2180.8 ± 9.3,327 ± 39,3.38 ± 0.25
Winter,Amb.,2,23.9 ± 0.5,34.74 ± 0.13,8.10 ± 0.04,2176.5 ± 16.1,331 ± 37,3.34 ± 0.24
Winter,Amb.,3,24.0 ± 0.5,34.74 ± 0.12,8.12 ± 0.04,2179.4 ± 9.5,313 ± 37,3.47 ± 0.25
Winter,OA,1,24.0 ± 0.5,34.74 ± 0.12,7.82 ± 0.08,2184.2 ± 12.9,717 ± 151,2.02 ± 0.30
Winter,OA,2,24.0 ± 0.5,34.74 ± 0.12,7.82 ± 0.06,2176.5 ± 11.6,706 ± 109,2.01 ± 0.22
Winter,OA,3,23.9 ± 0.5,34.75 ± 0.12,7.86 ± 0.07,2186.4 ± 9.5,650 ± 98,2.15 ± 0.23
